#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Ferrosmectite: Ferrosmectite
#------------------------------------------
# energy, Ferrosmectite
 6880.00000,  4.08772e-4
 6890.23828,  1.93933e-4
 6900.47607,  9.48923e-5
 6910.71436,  1.32002e-4
 6920.95215, -1.03535e-4
 6931.19043,  1.08555e-4
 6941.42871, -5.91035e-7
 6951.66650,  4.72595e-5
 6961.90479, -5.01552e-5
 6972.14307, -3.16628e-5
 6982.38086,  2.77067e-5
 6992.61914,  7.44282e-6
 7002.85693,  7.33019e-5
 7013.09521,  4.29669e-4
 7023.33350,  4.90490e-4
 7033.57129,  7.52081e-4
 7043.80957,  0.00101157
 7054.04785,  0.00172068
 7064.28564,  0.00208913
 7074.52393,  0.00293716
 7084.76172,  0.00449275
 7095.00000,  0.00707039
 7095.25000,  0.00700089
 7095.50000,  0.00711216
 7095.75000,  0.00740056
 7096.00000,  0.00729614
 7096.25000,  0.00748530
 7096.50000,  0.00764235
 7096.75000,  0.00769945
 7097.00000,  0.00778536
 7097.25000,  0.00784055
 7097.50000,  0.00796224
 7097.75000,  0.00805158
 7098.00000,  0.00833938
 7098.25000,  0.00831418
 7098.50000,  0.00849861
 7098.75000,  0.00848635
 7099.00000,  0.00869858
 7099.25000,  0.00883466
 7099.50000,  0.00896219
 7099.75000,  0.00905217
 7100.00000,  0.00937844
 7100.25000,  0.00932918
 7100.50000,  0.00946993
 7100.75000,  0.00960999
 7101.00000,  0.00978338
 7101.25000,  0.01001954
 7101.50000,  0.01012825
 7101.75000,  0.01026116
 7102.00000,  0.01039731
 7102.25000,  0.01059198
 7102.50000,  0.01083942
 7102.75000,  0.01096707
 7103.00000,  0.01112944
 7103.25000,  0.01146663
 7103.50000,  0.01155271
 7103.75000,  0.01187284
 7104.00000,  0.01206840
 7104.25000,  0.01220124
 7104.50000,  0.01249805
 7104.75000,  0.01269623
 7105.00000,  0.01296074
 7105.25000,  0.01324428
 7105.50000,  0.01359506
 7105.75000,  0.01379959
 7106.00000,  0.01397747
 7106.25000,  0.01445692
 7106.50000,  0.01482997
 7106.75000,  0.01504698
 7107.00000,  0.01541111
 7107.25000,  0.01585029
 7107.50000,  0.01621192
 7107.75000,  0.01666982
 7108.00000,  0.01701627
 7108.25000,  0.01758552
 7108.50000,  0.01810230
 7108.75000,  0.01877369
 7109.00000,  0.01938802
 7109.25000,  0.02023740
 7109.50000,  0.02106149
 7109.75000,  0.02219667
 7110.00000,  0.02335542
 7110.25000,  0.02480294
 7110.50000,  0.02640646
 7110.75000,  0.02868756
 7111.00000,  0.03162360
 7111.25000,  0.03479794
 7111.50000,  0.03876279
 7111.75000,  0.04324354
 7112.00000,  0.04808084
 7112.25000,  0.05281523
 7112.50000,  0.05729179
 7112.75000,  0.06153838
 7113.00000,  0.06491054
 7113.25000,  0.06667568
 7113.50000,  0.06768152
 7113.75000,  0.06749854
 7114.00000,  0.06652936
 7114.25000,  0.06486939
 7114.50000,  0.06235512
 7114.75000,  0.06010279
 7115.00000,  0.05739234
 7115.25000,  0.05576479
 7115.50000,  0.05428355
 7115.75000,  0.05382994
 7116.00000,  0.05417520
 7116.25000,  0.05489603
 7116.50000,  0.05639240
 7116.75000,  0.05819611
 7117.00000,  0.06023015
 7117.25000,  0.06263492
 7117.50000,  0.06581633
 7117.75000,  0.06873126
 7118.00000,  0.07269009
 7118.25000,  0.07656481
 7118.50000,  0.08168672
 7118.75000,  0.08708855
 7119.00000,  0.09394307
 7119.25000,  0.10121342
 7119.50000,  0.11071679
 7119.75000,  0.12049754
 7120.00000,  0.13244857
 7120.25000,  0.14587736
 7120.50000,  0.16133412
 7120.75000,  0.17831974
 7121.00000,  0.19788763
 7121.25000,  0.21881223
 7121.50000,  0.24321628
 7121.75000,  0.26910007
 7122.00000,  0.29565346
 7122.25000,  0.32515048
 7122.50000,  0.35700741
 7122.75000,  0.39003965
 7123.00000,  0.42111351
 7123.25000,  0.45467108
 7123.50000,  0.48619422
 7123.75000,  0.51868505
 7124.00000,  0.54765400
 7124.25000,  0.57913785
 7124.50000,  0.60767091
 7124.75000,  0.64010104
 7125.00000,  0.67029467
 7125.25000,  0.70554675
 7125.50000,  0.73910662
 7125.75000,  0.77904935
 7126.00000,  0.81525725
 7126.25000,  0.85829376
 7126.50000,  0.89826705
 7126.75000,  0.93999968
 7127.00000,  0.97483889
 7127.25000,  1.01495368
 7127.50000,  1.04715848
 7127.75000,  1.07898877
 7128.00000,  1.10290667
 7128.25000,  1.12773329
 7128.50000,  1.14648206
 7128.75000,  1.16561770
 7129.00000,  1.18050775
 7129.25000,  1.19704492
 7129.50000,  1.21054836
 7129.75000,  1.22518395
 7130.00000,  1.23872089
 7130.25000,  1.25227618
 7130.50000,  1.26679101
 7130.75000,  1.27960495
 7131.00000,  1.29136896
 7131.25000,  1.30363963
 7131.50000,  1.31279540
 7131.75000,  1.32087877
 7132.00000,  1.32601996
 7132.25000,  1.32881789
 7132.50000,  1.32950610
 7132.75000,  1.32768024
 7133.00000,  1.32351602
 7133.25000,  1.31811327
 7133.50000,  1.31111747
 7133.75000,  1.30257373
 7134.00000,  1.29346638
 7134.25000,  1.28368071
 7134.50000,  1.27275584
 7134.75000,  1.26224179
 7135.00000,  1.25142182
 7135.25000,  1.24061121
 7135.50000,  1.23055985
 7135.75000,  1.22180359
 7136.00000,  1.21233845
 7136.25000,  1.20444167
 7136.50000,  1.19641737
 7136.75000,  1.18979678
 7137.00000,  1.18368816
 7137.25000,  1.17718185
 7137.50000,  1.17176098
 7137.75000,  1.16633928
 7138.00000,  1.16059279
 7138.25000,  1.15565148
 7138.50000,  1.15005770
 7138.75000,  1.14550462
 7139.00000,  1.14002951
 7139.25000,  1.13551872
 7139.50000,  1.13106073
 7139.75000,  1.12655390
 7140.00000,  1.12153317
 7140.25000,  1.11756652
 7140.50000,  1.11317584
 7140.75000,  1.10899400
 7141.00000,  1.10440489
 7141.25000,  1.10078800
 7141.50000,  1.09680038
 7141.75000,  1.09397577
 7142.00000,  1.09031888
 7142.25000,  1.08753027
 7142.50000,  1.08466007
 7142.75000,  1.08334595
 7143.00000,  1.08038924
 7143.25000,  1.08014066
 7143.50000,  1.07873412
 7143.75000,  1.07782916
 7144.00000,  1.07732383
 7144.25000,  1.07721693
 7144.50000,  1.07658107
 7144.75000,  1.07666014
 7145.00000,  1.07625446
 7145.25000,  1.07528218
 7145.50000,  1.07401195
 7145.75000,  1.07235483
 7146.00000,  1.07063768
 7146.25000,  1.06846764
 7146.50000,  1.06493996
 7146.75000,  1.06077869
 7147.00000,  1.05665632
 7147.25000,  1.05103056
 7147.50000,  1.04529755
 7147.75000,  1.03928457
 7148.00000,  1.03189968
 7148.25000,  1.02559183
 7148.50000,  1.01835695
 7148.75000,  1.01074676
 7149.00000,  1.00342129
 7149.25000,  0.99626802
 7149.50000,  0.98823095
 7149.75000,  0.98005219
 7150.00000,  0.97313867
 7150.25000,  0.96521645
 7150.50000,  0.95803971
