#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Jarosite: Jarosite
#------------------------------------------
# energy, Jarosite
 7050.00000,  3.59638e-4
 7060.00000, -1.62735e-4
 7070.00000, -4.83634e-4
 7080.00000,  1.69225e-5
 7090.00000,  2.69809e-4
 7100.00000,  0.00338436
 7100.35107,  0.00349001
 7100.70166,  0.00395148
 7101.05273,  0.00420275
 7101.40332,  0.00412280
 7101.75439,  0.00446598
 7102.10547,  0.00512620
 7102.45605,  0.00478435
 7102.80713,  0.00536279
 7103.15771,  0.00545344
 7103.50879,  0.00602860
 7103.85986,  0.00619012
 7104.21045,  0.00691381
 7104.56152,  0.00712331
 7104.91211,  0.00746526
 7105.26318,  0.00797393
 7105.61426,  0.00823881
 7105.96484,  0.00815148
 7106.31592,  0.00915990
 7106.66650,  0.00940336
 7107.01758,  0.01028147
 7107.36865,  0.01073191
 7107.71924,  0.01127196
 7108.07031,  0.01174992
 7108.42090,  0.01267490
 7108.77197,  0.01348822
 7109.12305,  0.01470990
 7109.47363,  0.01575128
 7109.82471,  0.01693810
 7110.17529,  0.01910280
 7110.52637,  0.02096511
 7110.87695,  0.02431031
 7111.22803,  0.02862310
 7111.57910,  0.03527805
 7111.92969,  0.04225501
 7112.28076,  0.04729886
 7112.63135,  0.04990932
 7112.98242,  0.04944078
 7113.33350,  0.04996060
 7113.68408,  0.05060912
 7114.03516,  0.04966759
 7114.38574,  0.04811611
 7114.73682,  0.04579881
 7115.08789,  0.04480792
 7115.43848,  0.04543375
 7115.78955,  0.04746014
 7116.14014,  0.05137084
 7116.49121,  0.05589981
 7116.84229,  0.06051774
 7117.19287,  0.06515848
 7117.54395,  0.07102016
 7117.89453,  0.07718334
 7118.24561,  0.08345764
 7118.59668,  0.09064198
 7118.94727,  0.09884500
 7119.29834,  0.10852868
 7119.64893,  0.12101664
 7120.00000,  0.13737765
 7120.35107,  0.15910218
 7120.70166,  0.18447079
 7121.05273,  0.21378060
 7121.40332,  0.25246318
 7121.75439,  0.29447104
 7122.10547,  0.33723130
 7122.45605,  0.38655473
 7122.80713,  0.43404743
 7123.15771,  0.47685905
 7123.50879,  0.51918559
 7123.85986,  0.56285432
 7124.21045,  0.60432584
 7124.56152,  0.64701582
 7124.91211,  0.69342795
 7125.26318,  0.74470903
 7125.61426,  0.79630661
 7125.96484,  0.84702992
 7126.31592,  0.90799199
 7126.66650,  0.97006681
 7127.01758,  1.03051151
 7127.36865,  1.09450865
 7127.71924,  1.15497795
 7128.07031,  1.20718828
 7128.42090,  1.25086999
 7128.77197,  1.28626034
 7129.12305,  1.30824995
 7129.47363,  1.32102946
 7129.82471,  1.32609050
 7130.17529,  1.32601019
 7130.52637,  1.32255276
 7130.87695,  1.31770251
 7131.22803,  1.31208735
 7131.57910,  1.30567626
 7131.92969,  1.29851440
 7132.28076,  1.29332965
 7132.63135,  1.28727266
 7132.98242,  1.28319630
 7133.33350,  1.27876305
 7133.68408,  1.27550295
 7134.03516,  1.27220601
 7134.38574,  1.26913858
 7134.73682,  1.26699403
 7135.08789,  1.26407826
 7135.43848,  1.26284887
 7135.78955,  1.26122584
 7136.14014,  1.25868261
 7136.49121,  1.25529732
 7136.84229,  1.25159308
 7137.19287,  1.24715427
 7137.54395,  1.24079348
 7137.89453,  1.23388439
 7138.24561,  1.22493961
 7138.59668,  1.21651765
 7138.94727,  1.20666396
 7139.29834,  1.19708864
 7139.64893,  1.18848740
 7140.00000,  1.17828463
 7140.60596,  1.16145022
 7141.21191,  1.14304366
 7141.81836,  1.12484460
 7142.42432,  1.10399045
 7143.03027,  1.08889294
 7143.63623,  1.07441073
 7144.24219,  1.06134616
 7144.84863,  1.05122940
 7145.45459,  1.04140823
 7146.06055,  1.03365730
 7146.66650,  1.02568461
 7147.27295,  1.01742506
 7147.87891,  1.00886839
 7148.48486,  0.99779775
 7149.09082,  0.98730725
 7149.69678,  0.97481152
 7150.30322,  0.96299378
 7150.90918,  0.94990139
 7151.51514,  0.93779494
 7152.12109,  0.92549497
 7152.72705,  0.91170628
 7153.33350,  0.89779092
 7153.93945,  0.88524595
 7154.54541,  0.87368405
 7155.15137,  0.86180074
 7155.75781,  0.85162069
 7156.36377,  0.84387455
 7156.96973,  0.83666934
 7157.57568,  0.83211759
 7158.18164,  0.82757660
 7158.78809,  0.82546872
 7159.39404,  0.82499755
 7160.00000,  0.82521426
 7160.60596,  0.82629755
 7161.21191,  0.82919756
 7161.81836,  0.83227289
 7162.42432,  0.83657679
 7163.03027,  0.84132793
 7163.63623,  0.84783335
 7164.24219,  0.85419714
 7164.84863,  0.86103112
 7165.45459,  0.86920918
 7166.06055,  0.87907747
 7166.66650,  0.88695000
 7167.27295,  0.89542082
 7167.87891,  0.90348698
 7168.48486,  0.91225498
 7169.09082,  0.92090694
 7169.69678,  0.93034630
 7170.30322,  0.93856423
 7170.90918,  0.94812518
 7171.51514,  0.95806252
 7172.12109,  0.96803162
 7172.72705,  0.97941855
 7173.33350,  0.98999541
 7173.93945,  1.00262820
 7174.54541,  1.01360540
 7175.15137,  1.02279316
