#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Schwertmannite: Schwertmannite
#------------------------------------------
# energy, Schwertmannite
 6898.12500,  8.15402e-4
 6908.36328,  5.25905e-4
 6918.60107,  4.78798e-4
 6928.83936,  3.80225e-4
 6939.07715,  1.35856e-4
 6949.31543,  1.72163e-5
 6959.55371, -1.86833e-5
 6969.79150, -1.73698e-4
 6980.02979, -2.90371e-4
 6990.26807, -3.84699e-4
 7000.50586, -4.32362e-4
 7010.74414, -4.64745e-4
 7020.98193, -3.12462e-4
 7031.22021, -2.59259e-4
 7041.45850, -1.36978e-4
 7051.69629,  5.19692e-4
 7061.93457,  9.41470e-4
 7072.17285,  0.00170354
 7082.41064,  0.00298245
 7092.64893,  0.00522695
 7102.88672,  0.01001997
 7113.12500,  0.03745059
 7113.37500,  0.04302619
 7113.62500,  0.05043704
 7113.87500,  0.05904300
 7114.12500,  0.06736370
 7114.37500,  0.07408302
 7114.62500,  0.07966819
 7114.87500,  0.08468202
 7115.12500,  0.09014033
 7115.37500,  0.09487804
 7115.62500,  0.09722515
 7115.87500,  0.09577548
 7116.12500,  0.09112239
 7116.37500,  0.08528474
 7116.62500,  0.08052360
 7116.87500,  0.07737943
 7117.12500,  0.07605491
 7117.37500,  0.07588970
 7117.62500,  0.07646914
 7117.87500,  0.07755209
 7118.12500,  0.07904097
 7118.37500,  0.08104135
 7118.62500,  0.08300933
 7118.87500,  0.08549244
 7119.12500,  0.08787341
 7119.37500,  0.09079390
 7119.62500,  0.09396574
 7119.87500,  0.09732285
 7120.12500,  0.10157267
 7120.37500,  0.10649680
 7120.62500,  0.11253846
 7120.87500,  0.11958810
 7121.12500,  0.12813926
 7121.37500,  0.13816779
 7121.62500,  0.15030241
 7121.87500,  0.16426830
 7122.12500,  0.18083116
 7122.37500,  0.19956592
 7122.62500,  0.22087694
 7122.87500,  0.24586539
 7123.12500,  0.27296997
 7123.37500,  0.30335678
 7123.62500,  0.33553401
 7123.87500,  0.37003387
 7124.12500,  0.40547675
 7124.37500,  0.44090241
 7124.62500,  0.47731017
 7124.87500,  0.51257699
 7125.12500,  0.54743042
 7125.37500,  0.58073609
 7125.62500,  0.61319894
 7125.87500,  0.64571140
 7126.12500,  0.67685422
 7126.37500,  0.70768888
 7126.62500,  0.73894898
 7126.87500,  0.76912394
 7127.12500,  0.80018703
 7127.37500,  0.83068345
 7127.62500,  0.86100009
 7127.87500,  0.89217059
 7128.12500,  0.92248138
 7128.37500,  0.95294609
 7128.62500,  0.98359845
 7128.87500,  1.01341040
 7129.12500,  1.04166809
 7129.37500,  1.07039507
 7129.62500,  1.09653811
 7129.87500,  1.12164078
 7130.12500,  1.14383041
 7130.37500,  1.16500597
 7130.62500,  1.18264922
 7130.87500,  1.19850477
 7131.12500,  1.21208198
 7131.37500,  1.22358053
 7131.62500,  1.23307061
 7131.87500,  1.24134441
 7132.12500,  1.24736068
 7132.37500,  1.25237554
 7132.62500,  1.25666236
 7132.87500,  1.25894295
 7133.12500,  1.26064816
 7133.37500,  1.26149474
 7133.62500,  1.26218335
 7133.87500,  1.26108005
 7134.12500,  1.25994094
 7134.37500,  1.25743612
 7134.62500,  1.25461916
 7134.87500,  1.25117556
 7135.12500,  1.24689856
 7135.37500,  1.24229918
 7135.62500,  1.23746321
 7135.87500,  1.23247781
 7136.12500,  1.22725403
 7136.37500,  1.22185604
 7136.62500,  1.21658028
 7136.87500,  1.21169240
 7137.12500,  1.20645361
 7137.37500,  1.20133004
 7137.62500,  1.19667001
 7137.87500,  1.19202783
 7138.12500,  1.18752234
 7138.37500,  1.18291389
 7138.62500,  1.17813348
 7138.87500,  1.17315912
 7139.12500,  1.16869918
 7139.37500,  1.16332552
 7139.62500,  1.15790966
 7139.87500,  1.15293913
 7140.12500,  1.14771613
 7140.37500,  1.14206081
 7140.62500,  1.13659404
 7140.87500,  1.13134202
 7141.12500,  1.12571217
 7141.37500,  1.12048321
 7141.62500,  1.11534811
 7141.87500,  1.11049877
 7142.12500,  1.10554271
 7142.37500,  1.10077368
 7142.62500,  1.09642969
 7142.87500,  1.09196192
 7143.12500,  1.08768567
 7143.37500,  1.08413943
 7143.62500,  1.08058878
 7143.87500,  1.07709780
 7144.12500,  1.07373273
 7144.37500,  1.07053764
 7144.62500,  1.06767461
 7144.87500,  1.06458172
 7145.12500,  1.06174399
 7145.37500,  1.05919227
 7145.62500,  1.05643601
 7145.87500,  1.05390806
 7146.12500,  1.05174160
 7146.37500,  1.04922818
 7146.62500,  1.04703918
 7146.87500,  1.04477497
 7147.12500,  1.04199677
 7147.37500,  1.03984320
 7147.62500,  1.03691708
 7147.87500,  1.03438126
 7148.12500,  1.03153033
 7148.37500,  1.02833189
 7148.62500,  1.02556773
 7148.87500,  1.02229425
 7149.12500,  1.01856125
 7149.37500,  1.01509757
 7149.62500,  1.01121055
 7149.87500,  1.00699450
 7150.12500,  1.00315360
 7150.37500,  0.99884285
 7150.62500,  0.99503110
 7150.87500,  0.99002766
 7151.12500,  0.98593417
 7151.37500,  0.98078533
 7151.62500,  0.97702336
 7151.87500,  0.97232217
 7152.12500,  0.96811745
 7152.37500,  0.96348616
 7152.62500,  0.95895968
 7152.87500,  0.95509994
 7153.12500,  0.95094303
 7153.37500,  0.94677786
 7153.62500,  0.94285078
 7153.87500,  0.93869537
 7154.12500,  0.93508222
 7154.37500,  0.93141198
 7154.62500,  0.92799526
 7154.87500,  0.92484204
 7155.12500,  0.92087211
 7155.37500,  0.91793122
 7155.62500,  0.91480957
 7155.87500,  0.91164089
 7156.12500,  0.90837984
 7156.37500,  0.90570413
 7156.62500,  0.90315944
 7156.87500,  0.90050453
 7157.12500,  0.89772953
 7157.37500,  0.89523239
 7157.62500,  0.89297361
 7157.87500,  0.89072343
 7158.12500,  0.88875246
 7158.37500,  0.88684744
 7158.62500,  0.88481775
 7158.87500,  0.88326462
 7159.12500,  0.88170008
 7159.37500,  0.88031046
 7159.62500,  0.87914223
 7159.87500,  0.87832770
 7160.12500,  0.87715847
 7160.37500,  0.87652889
 7160.62500,  0.87602154
 7160.87500,  0.87529152
 7161.12500,  0.87500574
 7161.37500,  0.87503129
 7161.62500,  0.87511374
 7161.87500,  0.87529220
 7162.12500,  0.87551213
 7162.37500,  0.87584719
