#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Hematite on sand: Hematite on sand
#------------------------------------------
# energy, Hematite on sand
 6880.00000,  5.11165e-4
 6890.23828,  2.10545e-4
 6900.47607, -6.01519e-4
 6910.71436, -4.74919e-5
 6920.95215,  3.48296e-4
 6931.19043,  7.40882e-4
 6941.42871,  1.85188e-4
 6951.66650, -8.20645e-5
 6961.90479, -4.72793e-4
 6972.14307, -4.55276e-4
 6982.38086, -5.39511e-4
 6992.61914, -5.70728e-4
 7002.85693, -3.77714e-4
 7013.09521, -2.13940e-5
 7023.33350,  3.60616e-4
 7033.57129,  4.71225e-4
 7043.80957,  4.13273e-4
 7054.04785,  4.99818e-4
 7064.28564,  0.00106475
 7074.52393,  0.00194307
 7084.76172,  0.00301443
 7095.00000,  0.00550396
 7095.25000,  0.00561518
 7095.50000,  0.00558602
 7095.75000,  0.00577536
 7096.00000,  0.00589451
 7096.25000,  0.00585263
 7096.50000,  0.00603182
 7096.75000,  0.00604840
 7097.00000,  0.00616989
 7097.25000,  0.00632193
 7097.50000,  0.00620950
 7097.75000,  0.00624521
 7098.00000,  0.00631297
 7098.25000,  0.00659175
 7098.50000,  0.00663106
 7098.75000,  0.00660872
 7099.00000,  0.00686505
 7099.25000,  0.00701395
 7099.50000,  0.00685339
 7099.75000,  0.00706339
 7100.00000,  0.00726470
 7100.25000,  0.00729645
 7100.50000,  0.00727890
 7100.75000,  0.00753830
 7101.00000,  0.00762566
 7101.25000,  0.00770485
 7101.50000,  0.00782660
 7101.75000,  0.00805265
 7102.00000,  0.00820989
 7102.25000,  0.00824919
 7102.50000,  0.00829375
 7102.75000,  0.00852338
 7103.00000,  0.00878919
 7103.25000,  0.00872573
 7103.50000,  0.00900116
 7103.75000,  0.00911553
 7104.00000,  0.00934368
 7104.25000,  0.00934139
 7104.50000,  0.00950163
 7104.75000,  0.00962505
 7105.00000,  0.00999372
 7105.25000,  0.01024555
 7105.50000,  0.01045919
 7105.75000,  0.01056096
 7106.00000,  0.01084490
 7106.25000,  0.01088746
 7106.50000,  0.01137717
 7106.75000,  0.01135761
 7107.00000,  0.01166804
 7107.25000,  0.01192423
 7107.50000,  0.01244421
 7107.75000,  0.01266861
 7108.00000,  0.01289499
 7108.25000,  0.01336751
 7108.50000,  0.01366431
 7108.75000,  0.01431797
 7109.00000,  0.01444643
 7109.25000,  0.01486496
 7109.50000,  0.01564384
 7109.75000,  0.01615921
 7110.00000,  0.01700942
 7110.25000,  0.01761261
 7110.50000,  0.01848325
 7110.75000,  0.01949396
 7111.00000,  0.02064152
 7111.25000,  0.02261955
 7111.50000,  0.02453859
 7111.75000,  0.02762454
 7112.00000,  0.03048444
 7112.25000,  0.03470707
 7112.50000,  0.03895726
 7112.75000,  0.04428003
 7113.00000,  0.04912001
 7113.25000,  0.05406061
 7113.50000,  0.05831809
 7113.75000,  0.06160063
 7114.00000,  0.06473736
 7114.25000,  0.06737426
 7114.50000,  0.06923075
 7114.75000,  0.07015689
 7115.00000,  0.06963786
 7115.25000,  0.06855347
 7115.50000,  0.06760477
 7115.75000,  0.06692514
 7116.00000,  0.06689662
 7116.25000,  0.06767711
 7116.50000,  0.06827811
 7116.75000,  0.06923218
 7117.00000,  0.07046720
 7117.25000,  0.07177872
 7117.50000,  0.07363246
 7117.75000,  0.07489893
 7118.00000,  0.07675562
 7118.25000,  0.07851437
 7118.50000,  0.08108143
 7118.75000,  0.08384902
 7119.00000,  0.08782285
 7119.25000,  0.09238017
 7119.50000,  0.09800965
 7119.75000,  0.10443795
 7120.00000,  0.11324032
 7120.25000,  0.12245744
 7120.50000,  0.13524985
 7120.75000,  0.14779142
 7121.00000,  0.16576922
 7121.25000,  0.18310818
 7121.50000,  0.20601848
 7121.75000,  0.22856276
 7122.00000,  0.25875699
 7122.25000,  0.28729821
 7122.50000,  0.32276887
 7122.75000,  0.35516462
 7123.00000,  0.39328591
 7123.25000,  0.42777167
 7123.50000,  0.46323824
 7123.75000,  0.49442091
 7124.00000,  0.52916123
 7124.25000,  0.55949414
 7124.50000,  0.59223771
 7124.75000,  0.62226871
 7125.00000,  0.65796486
 7125.25000,  0.69033866
 7125.50000,  0.72739904
 7125.75000,  0.76368183
 7126.00000,  0.80509947
 7126.25000,  0.84455203
 7126.50000,  0.88623276
 7126.75000,  0.92686734
 7127.00000,  0.96806251
 7127.25000,  1.00980857
 7127.50000,  1.04746551
 7127.75000,  1.08510955
 7128.00000,  1.12256485
 7128.25000,  1.15786394
 7128.50000,  1.18814966
 7128.75000,  1.21960460
 7129.00000,  1.24743695
 7129.25000,  1.27175349
 7129.50000,  1.29112498
 7129.75000,  1.30812001
 7130.00000,  1.32019555
 7130.25000,  1.32966653
 7130.50000,  1.33672615
 7130.75000,  1.34344254
 7131.00000,  1.34913570
 7131.25000,  1.35600178
 7131.50000,  1.36210499
 7131.75000,  1.37118461
 7132.00000,  1.37882945
 7132.25000,  1.38823658
 7132.50000,  1.39682476
 7132.75000,  1.40596178
 7133.00000,  1.41180629
 7133.25000,  1.41519609
 7133.50000,  1.41639272
 7133.75000,  1.41430659
 7134.00000,  1.41026184
 7134.25000,  1.40380489
 7134.50000,  1.39496123
 7134.75000,  1.38310973
 7135.00000,  1.37067731
 7135.25000,  1.35793772
 7135.50000,  1.34595257
 7135.75000,  1.33223722
 7136.00000,  1.32013182
 7136.25000,  1.30809804
 7136.50000,  1.29784624
 7136.75000,  1.28773751
 7137.00000,  1.27908093
 7137.25000,  1.26993919
 7137.50000,  1.26231668
 7137.75000,  1.25225683
 7138.00000,  1.24450017
 7138.25000,  1.23515754
 7138.50000,  1.22582915
 7138.75000,  1.21507209
 7139.00000,  1.20374842
 7139.25000,  1.19278700
 7139.50000,  1.18189084
 7139.75000,  1.17028531
 7140.00000,  1.15878729
 7140.25000,  1.14771819
 7140.50000,  1.13652701
 7140.75000,  1.12626280
 7141.00000,  1.11527707
 7141.25000,  1.10631150
 7141.50000,  1.09637472
 7141.75000,  1.08769663
 7142.00000,  1.07903368
 7142.25000,  1.07099416
 7142.50000,  1.06420457
 7142.75000,  1.05831706
 7143.00000,  1.05127108
 7143.25000,  1.04713270
 7143.50000,  1.04261106
 7143.75000,  1.03891284
 7144.00000,  1.03574212
 7144.25000,  1.03347164
 7144.50000,  1.03189010
 7144.75000,  1.03081158
 7145.00000,  1.02953349
 7145.25000,  1.02972003
 7145.50000,  1.02932374
 7145.75000,  1.03009352
 7146.00000,  1.03065828
 7146.25000,  1.03067105
 7146.50000,  1.03054538
 7146.75000,  1.03129027
 7147.00000,  1.03053330
 7147.25000,  1.03002404
 7147.50000,  1.02878457
 7147.75000,  1.02659184
 7148.00000,  1.02390395
 7148.25000,  1.02121184
 7148.50000,  1.01712466
 7148.75000,  1.01319643
 7149.00000,  1.00779059
 7149.25000,  1.00320395
 7149.50000,  0.99723686
 7149.75000,  0.99189107
 7150.00000,  0.98592605
 7150.25000,  0.97994632
 7150.50000,  0.97399487
 7150.75000,  0.96908890
 7151.00000,  0.96292911
 7151.25000,  0.95754519
 7151.50000,  0.95174807
 7151.75000,  0.94646033
 7152.00000,  0.94117044
 7152.25000,  0.93675938
 7152.50000,  0.93171405
 7152.75000,  0.92682305
 7153.00000,  0.92278367
 7153.25000,  0.91862561
 7153.50000,  0.91369483
 7153.75000,  0.90977107
 7154.00000,  0.90603100
 7154.25000,  0.90163565
 7154.50000,  0.89794620
 7154.75000,  0.89391815
 7155.00000,  0.88929065
 7155.25000,  0.88593648
 7155.50000,  0.88110958
 7155.75000,  0.87724123
 7156.00000,  0.87391130
 7156.25000,  0.87014402
 7156.50000,  0.86563528
 7156.75000,  0.86232421
 7157.00000,  0.85879371
 7157.25000,  0.85545452
 7157.50000,  0.85193535
 7157.75000,  0.84925011
 7158.00000,  0.84610370
 7158.25000,  0.84362489
 7158.50000,  0.84156995
 7158.75000,  0.83918170
 7159.00000,  0.83806654
 7159.25000,  0.83674651
 7159.50000,  0.83498641
 7159.75000,  0.83436475
 7160.00000,  0.83373780
 7161.09473,  0.83375281
 7162.20947,  0.83719116
 7163.34326,  0.84354887
 7164.49707,  0.85232563
 7165.67041,  0.86234526
 7166.86377,  0.87430251
 7168.07617,  0.88806086
 7169.30859,  0.90635469
 7170.56006,  0.92863818
 7171.83154,  0.95575348
 7173.12305,  0.98630231
 7174.43359,  1.01763991
 7175.76367,  1.04372064
 7177.11377,  1.06056424
 7178.48340,  1.07234283
 7179.87256,  1.07917428
 7181.28174,  1.08346526
 7182.70996,  1.08374033
 7184.15820,  1.08240785
 7185.62598,  1.07981697
 7187.11328,  1.07754175
 7188.62012,  1.07542495
 7190.14648,  1.07348859
 7191.69287,  1.06944986
 7193.25879,  1.06337479
 7194.84424,  1.05642989
 7196.44922,  1.04883843
 7198.07373,  1.04177130
 7199.71826,  1.03434259
 7201.38184,  1.02628540
 7203.06543,  1.01777293
 7204.76855,  1.01003107
 7206.49170,  1.00410493
 7208.23389,  0.99993456
 7209.99609,  0.99777493
 7211.77783,  0.99655811
 7213.57910,  0.99702646
 7215.39990,  0.99934152
 7217.24023,  1.00359300
 7219.10059,  1.00911236
 7220.98047,  1.01476973
 7222.87988,  1.01864600
 7224.79883,  1.02116595
 7226.73730,  1.02142759
 7228.69580,  1.02037446
 7230.67334,  1.01881213
 7232.67090,  1.01718223
 7234.68799,  1.01750158
 7236.72510,  1.02009162
 7238.78125,  1.02255041
 7240.85742,  1.02403237
 7242.95312,  1.02430457
 7245.06836,  1.02176665
 7247.20312,  1.01791574
 7249.35742,  1.01555516
 7251.53174,  1.01460644
 7253.72559,  1.01607087
 7255.93896,  1.01912610
 7258.17188,  1.02553022
 7260.42432,  1.03329564
 7262.69678,  1.04066109
 7264.98828,  1.04775049
 7267.29980,  1.05346681
 7269.63086,  1.05743413
 7271.98193,  1.05913920
 7274.35205,  1.06196941
 7276.74219,  1.06707262
 7279.15186,  1.07259586
 7281.58105,  1.07584293
 7284.02979,  1.07750160
 7286.49805,  1.07781512
 7288.98633,  1.07695199
 7291.49414,  1.07494079
 7294.02148,  1.07266250
 7296.56836,  1.07019255
 7299.13477,  1.06669859
 7301.72119,  1.06233407
 7304.32666,  1.05715748
 7306.95215,  1.05174535
 7309.59717,  1.04684927
 7312.26221,  1.04190563
 7314.94629,  1.03675938
 7317.65039,  1.03233573
 7320.37354,  1.02994871
 7323.11670,  1.03096727
 7325.87988,  1.03536161
 7328.66211,  1.04238402
 7331.46436,  1.05071856
 7334.28564,  1.05961171
 7337.12695,  1.06839535
 7339.98828,  1.07591410
 7342.86865,  1.08181944
 7345.76855,  1.08530553
 7348.68848,  1.08615183
 7351.62793,  1.08488240
 7354.58691,  1.08330222
 7357.56543,  1.08213056
 7360.56396,  1.08003699
 7363.58154,  1.07760699
 7366.61914,  1.07518320
 7369.67627,  1.07215678
 7372.75293,  1.06953359
 7375.84961,  1.06810476
 7378.96533,  1.06836339
 7382.10107,  1.06888345
 7385.25635,  1.06956632
 7388.43115,  1.07020557
 7391.62598,  1.07133891
 7394.83984,  1.07381970
 7398.07373,  1.07871947
 7401.32715,  1.08465442
 7404.60010,  1.09060523
 7407.89258,  1.09676971
 7411.20459,  1.10123695
 7414.53662,  1.10446436
 7417.88818,  1.10588495
 7421.25928,  1.10658349
 7424.64990,  1.10556321
 7428.06006,  1.10423201
 7431.49023,  1.10200304
 7434.93994,  1.09958935
 7438.40918,  1.09680826
 7441.89795,  1.09403193
 7445.40625,  1.09185179
 7448.93457,  1.09179238
 7452.48193,  1.09223890
 7456.04932,  1.09400507
 7459.63623,  1.09691230
 7463.24316,  1.10041914
 7466.86914,  1.10358591
 7470.51514,  1.10676294
 7474.18018,  1.11059882
 7477.86523,  1.11401686
 7481.57031,  1.11712965
 7485.29443,  1.11985200
 7489.03857,  1.12158287
 7492.80176,  1.12306159
 7496.58496,  1.12404209
 7500.38770,  1.12506152
 7504.21045,  1.12569678
 7508.05225,  1.12649812
 7511.91406,  1.12742816
 7515.79541,  1.12786764
 7519.69629,  1.12948994
 7523.61670,  1.13109178
 7527.55713,  1.13260537
 7531.51660,  1.13397879
 7535.49609,  1.13553036
 7539.49512,  1.13718693
 7543.51367,  1.13940215
 7547.55176,  1.14165538
 7551.60986,  1.14374692
 7555.68750,  1.14541067
 7559.78467,  1.14765747
 7563.90137,  1.14947333
 7568.03760,  1.15122151
 7572.19385,  1.15339099
 7576.36914,  1.15490621
 7580.56445,  1.15640141
 7584.77930,  1.15763283
 7589.01367,  1.15895817
 7593.26807,  1.16008121
 7597.54199,  1.16156250
 7601.83496,  1.16332840
 7606.14795,  1.16509090
 7610.48047,  1.16736392
 7614.83301,  1.16893146
 7619.20459,  1.17193064
 7623.59619,  1.17568460
 7628.00732,  1.17888671
 7632.43799,  1.18058595
 7636.88818,  1.18170638
 7641.35840,  1.18295914
 7645.84814,  1.18447322
 7650.35742,  1.18559590
 7654.88623,  1.18739442
 7659.43457,  1.18956839
 7664.00244,  1.19180791
 7668.59033,  1.19393123
 7673.19775,  1.19578142
 7677.82471,  1.19859609
 7682.47119,  1.20076348
 7687.13721,  1.20304257
 7691.82324,  1.20591590
 7696.52832,  1.20911841
 7701.25342,  1.21196702
 7705.99805,  1.21513171
 7710.76270,  1.21807855
 7715.54639,  1.22077249
 7720.35010,  1.22303388
 7725.17334,  1.22558214
 7730.01611,  1.22826593
 7734.87842,  1.23024147
 7739.76025,  1.23225974
 7744.66211,  1.23408911
 7749.58350,  1.23603581
 7754.52441,  1.23709761
 7759.48486,  1.23855512
 7764.46484,  1.24033920
 7769.46484,  1.24260099
 7774.48438,  1.24492470
 7779.52344,  1.24746994
 7784.58203,  1.24987049
 7789.66016,  1.25279363
 7794.75781,  1.25587461
 7799.87549,  1.25914417
 7805.01270,  1.26193591
 7810.16943,  1.26471992
 7815.34570,  1.26787566
 7820.54199,  1.27144691
 7825.75732,  1.27491256
 7830.99268,  1.27732438
 7836.24756,  1.27977116
 7841.52197,  1.28223981
 7846.81592,  1.28413107
 7852.12988,  1.28668562
 7857.46338,  1.28975168
 7862.81641,  1.29252451
 7868.18896,  1.29528316
 7873.58105,  1.29833614
 7878.99268,  1.30167929
 7884.42432,  1.30494602
 7889.87549,  1.30836118
 7895.34619,  1.31138055
 7900.83643,  1.31510149
 7906.34668,  1.31904970
 7911.87598,  1.32281738
 7917.42529,  1.32569482
 7922.99414,  1.32926307
 7928.58252,  1.33232239
 7934.19043,  1.33432826
 7939.81836,  1.33753353
 7945.46582,  1.34051042
 7951.13281,  1.34387805
 7956.81934,  1.34717527
 7962.52539,  1.35027074
 7968.25098,  1.35324882
 7973.99658,  1.35581205
 7979.76172,  1.35857613
 7985.54639,  1.36206493
 7991.35059,  1.36578238
 7997.17480,  1.36869378
 8003.01807,  1.37130059
 8008.88135,  1.37386903
 8014.76416,  1.37654983
 8020.66650,  1.37903252
 8026.58838,  1.38178521
 8032.53027,  1.38525430
 8038.49170,  1.38875569
 8044.47217,  1.39181702
 8050.47314,  1.39545426
 8056.49316,  1.39882562
 8062.53271,  1.40324094
 8068.59229,  1.40835380
 8074.67139,  1.41105601
 8080.77002,  1.41309712
 8086.88818,  1.41628723
 8093.02588,  1.41926913
 8099.18359,  1.42172817
 8105.36084,  1.42460508
