#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Jarosite: Jarosite
#------------------------------------------
# energy, Jarosite
 7050.00000,  3.59638e-4
 7060.00000, -1.62735e-4
 7070.00000, -4.83634e-4
 7080.00000,  1.69225e-5
 7090.00000,  2.69809e-4
 7100.00000,  0.00338436
 7100.35107,  0.00349001
 7100.70166,  0.00395148
 7101.05273,  0.00420275
 7101.40332,  0.00412280
 7101.75439,  0.00446598
 7102.10547,  0.00512620
 7102.45605,  0.00478435
 7102.80713,  0.00536279
 7103.15771,  0.00545344
 7103.50879,  0.00602860
 7103.85986,  0.00619012
 7104.21045,  0.00691381
 7104.56152,  0.00712331
 7104.91211,  0.00746526
 7105.26318,  0.00797393
 7105.61426,  0.00823881
 7105.96484,  0.00815148
 7106.31592,  0.00915990
 7106.66650,  0.00940336
 7107.01758,  0.01028147
 7107.36865,  0.01073191
 7107.71924,  0.01127196
 7108.07031,  0.01174992
 7108.42090,  0.01267490
 7108.77197,  0.01348822
 7109.12305,  0.01470990
 7109.47363,  0.01575128
 7109.82471,  0.01693810
 7110.17529,  0.01910280
 7110.52637,  0.02096511
 7110.87695,  0.02431031
 7111.22803,  0.02862310
 7111.57910,  0.03527805
 7111.92969,  0.04225501
 7112.28076,  0.04729886
 7112.63135,  0.04990932
 7112.98242,  0.04944078
 7113.33350,  0.04996060
 7113.68408,  0.05060912
 7114.03516,  0.04966759
 7114.38574,  0.04811611
 7114.73682,  0.04579881
 7115.08789,  0.04480792
 7115.43848,  0.04543375
 7115.78955,  0.04746014
 7116.14014,  0.05137084
 7116.49121,  0.05589981
 7116.84229,  0.06051774
 7117.19287,  0.06515848
 7117.54395,  0.07102016
 7117.89453,  0.07718334
 7118.24561,  0.08345764
 7118.59668,  0.09064198
 7118.94727,  0.09884500
 7119.29834,  0.10852868
 7119.64893,  0.12101664
 7120.00000,  0.13737765
 7120.35107,  0.15910218
 7120.70166,  0.18447079
 7121.05273,  0.21378060
 7121.40332,  0.25246318
 7121.75439,  0.29447104
 7122.10547,  0.33723130
 7122.45605,  0.38655473
 7122.80713,  0.43404743
 7123.15771,  0.47685905
 7123.50879,  0.51918559
 7123.85986,  0.56285432
 7124.21045,  0.60432584
 7124.56152,  0.64701582
 7124.91211,  0.69342795
 7125.26318,  0.74470903
 7125.61426,  0.79630661
 7125.96484,  0.84702992
 7126.31592,  0.90799199
 7126.66650,  0.97006681
 7127.01758,  1.03065238
 7127.36865,  1.09479040
 7127.71924,  1.15540038
 7128.07031,  1.20775158
 7128.42090,  1.25157397
 7128.77197,  1.28710519
 7129.12305,  1.30923568
 7129.47363,  1.32215586
 7129.82471,  1.32735778
 7130.17529,  1.32741815
 7130.52637,  1.32410159
 7130.87695,  1.31939201
 7131.22803,  1.31391772
 7131.57910,  1.30764751
 7131.92969,  1.30062632
 7132.28076,  1.29558246
 7132.63135,  1.28966614
 7132.98242,  1.28573065
 7133.33350,  1.28143828
 7133.68408,  1.27831886
 7134.03516,  1.27516279
 7134.38574,  1.27223604
 7134.73682,  1.27023236
 7135.08789,  1.26745747
 7135.43848,  1.26636875
 7135.78955,  1.26488659
 7136.14014,  1.26248404
 7136.49121,  1.25923962
 7136.84229,  1.25567626
 7137.19287,  1.25137813
 7137.54395,  1.24515821
 7137.89453,  1.23838980
 7138.24561,  1.22958590
 7138.59668,  1.22130480
 7138.94727,  1.21159179
 7139.29834,  1.20215734
 7139.64893,  1.19369679
 7140.00000,  1.18363489
 7140.60596,  1.16704363
 7141.21191,  1.14888021
 7141.81836,  1.13092450
 7142.42432,  1.11031350
 7143.03027,  1.09545914
 7143.63623,  1.08122008
 7144.24219,  1.06839866
 7144.84863,  1.05852524
 7145.45459,  1.04894723
 7146.06055,  1.04143944
 7146.66650,  1.03370990
 7147.27295,  1.02569370
 7147.87891,  1.01738018
 7148.48486,  1.00655269
 7149.09082,  0.99630533
 7149.69678,  0.98405275
 7150.30322,  0.97247835
 7150.90918,  0.95962911
 7151.51514,  0.94776581
 7152.12109,  0.93570899
 7152.72705,  0.92216345
 7153.33350,  0.90849143
 7153.93945,  0.89618962
 7154.54541,  0.88487086
 7155.15137,  0.87323071
 7155.75781,  0.86329400
 7156.36377,  0.85579101
 7156.96973,  0.84882894
 7157.57568,  0.84452034
 7158.18164,  0.84022250
 7158.78809,  0.83835797
 7159.39404,  0.83812995
 7160.00000,  0.83858981
 7160.60596,  0.83991625
 7161.21191,  0.84305941
 7161.81836,  0.84637808
 7162.42432,  0.85092513
 7163.03027,  0.85591942
 7163.63623,  0.86266799
 7164.24219,  0.86927493
 7164.84863,  0.87635225
 7165.45459,  0.88477346
 7166.06055,  0.89488489
 7166.66650,  0.90300058
 7167.27295,  0.91171474
 7167.87891,  0.92002405
 7168.48486,  0.92903520
 7169.09082,  0.93793031
 7169.69678,  0.94761282
 7170.30322,  0.95607410
 7170.90918,  0.96587820
 7171.51514,  0.97605868
 7172.12109,  0.98627093
 7172.72705,  0.99790101
 7173.33350,  1.00872121
 7173.93945,  1.02159715
 7174.54541,  1.03281750
 7175.15137,  1.04224841
