#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Vivianite: Vivianite
#------------------------------------------
# energy, Vivianite
 6880.00000,  4.55911e-4
 6890.23828,  3.62998e-4
 6900.47607,  2.70134e-4
 6910.71436,  2.33413e-4
 6920.95215,  1.04237e-4
 6931.19043,  3.76140e-5
 6941.42871, -5.20303e-5
 6951.66650, -1.02541e-4
 6961.90479, -1.37299e-4
 6972.14307, -1.30358e-4
 6982.38086, -1.46353e-4
 6992.61914, -1.26645e-4
 7002.85693, -4.27189e-5
 7013.09521, -1.21281e-5
 7023.33350,  9.88890e-5
 7033.57129,  2.75920e-4
 7043.80957,  5.31744e-4
 7054.04785,  9.45409e-4
 7064.28564,  0.00152096
 7074.52393,  0.00245450
 7084.76172,  0.00393437
 7095.00000,  0.00683530
 7095.25000,  0.00720728
 7095.50000,  0.00731873
 7095.75000,  0.00757785
 7096.00000,  0.00758309
 7096.25000,  0.00770191
 7096.50000,  0.00781017
 7096.75000,  0.00801752
 7097.00000,  0.00803745
 7097.25000,  0.00823618
 7097.50000,  0.00831490
 7097.75000,  0.00847532
 7098.00000,  0.00857874
 7098.25000,  0.00869090
 7098.50000,  0.00896876
 7098.75000,  0.00904872
 7099.00000,  0.00915069
 7099.25000,  0.00936176
 7099.50000,  0.00953447
 7099.75000,  0.00962324
 7100.00000,  0.00980530
 7100.25000,  0.01005277
 7100.50000,  0.01029677
 7100.75000,  0.01037438
 7101.00000,  0.01059465
 7101.25000,  0.01088760
 7101.50000,  0.01093965
 7101.75000,  0.01124404
 7102.00000,  0.01142835
 7102.25000,  0.01174256
 7102.50000,  0.01195804
 7102.75000,  0.01218329
 7103.00000,  0.01253098
 7103.25000,  0.01267669
 7103.50000,  0.01302870
 7103.75000,  0.01329543
 7104.00000,  0.01357584
 7104.25000,  0.01389363
 7104.50000,  0.01415613
 7104.75000,  0.01459961
 7105.00000,  0.01491196
 7105.25000,  0.01525241
 7105.50000,  0.01555138
 7105.75000,  0.01603533
 7106.00000,  0.01641296
 7106.25000,  0.01688639
 7106.50000,  0.01744715
 7106.75000,  0.01784969
 7107.00000,  0.01850624
 7107.25000,  0.01899060
 7107.50000,  0.01964310
