# Larch Linear Fit Statistics Report (best results) Wed Mar 11 13:07:41 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Array name: chi3,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Energy fit range: [2.500000, 11.500000],,,,,,,,,,,,,,,,,,,,,,,,,,
# Data Set                 ,  n_varys    ,  chi-square , chi-square_red,  akaike_info, bayesian_info, Green Rust - Sulfate, Green Rust - Sulfate_stderr,  Hornblende , Hornblende_stderr,  Biotite    , Biotite_stderr, Ferrosmectite, Ferrosmectite_stderr, Goethite on sand, Goethite on sand_stderr, Hematite on sand, Hematite on sand_stderr,  Ilmenite   , Ilmenite_stderr,  Nontronite , Nontronite_stderr, Mackinawite_clean, Mackinawite_clean_stderr, Augite_clean, Augite_clean_stderr,  Total      , Total_stderr
GP17_station15_19908_1cm_035_A_fl_avg.csv,4,95.001878,0.3682243,-257.78533,-243.51196,0,0,0,0,0,0,0,0,0,0,0,0,0.0623135,0.0156114,0.5888064,0.0189715,0.0273441,0.0113541,0.4900215,0.0311982,1.1684854,0.0269238
GP17_station15_19908_3cm_036_A_fl.avg.csv,4,126.8436,0.4916418,-182.0521,-167.77873,0,0,0,0,0,0,0,0,0.0793101,0.0282795,0,0,0,0,0.5283155,0.0291767,0.0382144,0.0130772,0.4795376,0.0367586,1.1253776,0.0290391
GP17_station5_19119_7cm_018_A_fl.avg.csv,4,103.88623,0.4026598,-234.36262,-220.08924,0,0,0,0,0,0,0,0,0,0,0,0,0.0405552,0.016325,0.5725351,0.0198388,0.0387478,0.0118734,0.5763814,0.0326244,1.2282195,0.0281546
GP17_station15_19908_5cm_037_A_fl.avg.csv,4,80.638134,0.3125509,-300.73368,-286.46031,0,0,0,0,0.2310521,0.0271559,0,0,0,0,0,0,0.0610709,0.0153945,0.4962346,0.0176136,0,0,0.3618095,0.0451617,1.1501671,0.0250105
GP17_station15_19908_7cm_038_A_fl.avg.csv,4,98.235174,0.3807565,-249.0168,-234.74343,0,0,0,0,0.2120231,0.0299728,0,0,0,0,0,0,0.0195676,0.016992,0.5228034,0.0194407,0,0,0.3971229,0.0498464,1.151517,0.027605
GP17_station15_19908_9cm_040_A_fl.avg.csv,4,92.947318,0.3602609,-263.51365,-249.24027,0,0,0,0,0.2782623,0.0281562,0,0,0.0400361,0.0251076,0,0,0,0,0.4115383,0.0254441,0,0,0.3756949,0.0487413,1.1055315,0.0257096
GP17_station15_19908_11cm_041_A_fl.avg.csv,4,81.233113,0.314857,-298.80765,-284.53427,0,0,0,0,0.261989,0.027256,0,0,0,0,0,0,0.0443047,0.0154532,0.5186887,0.0176785,0,0,0.3022577,0.045328,1.1272401,0.0251032
GP17_station15_19908_15cm_042_A_fl.avg.csv,4,105.103,0.407376,-231.31177,-217.03839,0,0,0.1123394,0.0495149,0.2921015,0.0287975,0,0,0,0,0,0,0,0,0.4533449,0.0195596,0,0,0.2350165,0.0759362,1.0928023,0.0279495
GP17_station5_19119_1cm_015_A_fl.avg.csv,4,120.23005,0.4660079,-196.08164,-181.80826,0,0,0,0,0.1665302,0.0308445,0.4248368,0.0213083,0,0,0,0,0,0,0,0,0.0479335,0.0127604,0.4003467,0.0561945,1.0396472,0.0299096
GP17_station5_19119_3cm_016_A_fl.avg.csv,4,110.69457,0.4290487,-217.73127,-203.45789,0,0,0,0,0,0,0,0,0,0,0,0,0.0552954,0.0168515,0.5211613,0.0204785,0.0424456,0.0122563,0.6171419,0.0336765,1.2360442,0.0290626
GP17_station5_19119_5cm_017_A_fl.avg.csv,4,105.85091,0.4102749,-229.45398,-215.1806,0,0,0,0,0.1525138,0.0307961,0.5890226,0.0203725,0,0,0,0,0.0785618,0.0176116,0,0,0,0,0.2642295,0.0541751,1.0843276,0.0291526
GP17_station5_19119_9cm_021_A_fl.avg.csv,4,98.73721,0.3827024,-247.68125,-233.40787,0,0,0,0,0,0,0.1979342,0.0802563,0,0,0,0,0,0,0.3972858,0.0791153,0.0327587,0.0115081,0.5402619,0.0350357,1.1682407,0.0282677
GP17_station5_19119_11cm_022_A_fl.avg.csv,4,91.27145,0.3537653,-268.2807,-254.00732,0,0,0,0,0.1906655,0.0285968,0.5876593,0.0189176,0,0,0,0,0.0765673,0.0163537,0,0,0,0,0.1939973,0.050306,1.0488894,0.0270705
GP17_station5_19119_15cm_023_A_fl.avg.csv,4,102.63862,0.3978241,-237.52811,-223.25473,0,0,0.1169036,0.0487974,0,0,0,0,0,0,0,0,0.0471927,0.0160906,0.5853419,0.0196544,0,0,0.441131,0.0630813,1.1905693,0.0280961
GP17_station27_20892_1cm_025_A_fl.avg.csv,4,64.954568,0.2517619,-357.39999,-343.12661,0,0,0,0,0,0,0,0,0,0,0,0,0.0911142,0.0129087,0.490411,0.015687,0.0321028,0.0093885,0.4776044,0.025797,1.0912323,0.0222626
GP17_station27_20892_3cm_026_A_fl.avg.csv,4,71.950714,0.2788787,-330.59915,-316.32577,0,0,0,0,0,0,0,0,0.0953146,0.0253064,0,0,0.0643459,0.0160884,0.4416549,0.0224519,0,0,0.4643489,0.0274375,1.0656642,0.0235654
