# Results for GP17_station15_19908_5cm_037_A_fl.avg.csv "Mar-10 12:35": chi(k), k-weighted
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 140
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 7.23213654
#   reduced chi_square   = 0.47706266
#   r-factor             = 0.02619218
#   Akaike info crit     = -11.3668703
#   Bayesian info crit   = 0.88557288
#  
# [[Parameters]]
#   N_Mg302              =  1.1438249 +/- 4.2294535  (init= 3.0200000)
#   N_O203               =  6.1348864 +/- 1.7516937  (init= 4.8600000)
#   N_Si328              =  2.6624752 +/- 4.8366598  (init= 6.0000000)
#   delr_Mg302           = -0.0446014 +/- 0.1508999  (init= 0.0060000)
#   delr_O203            =  0.0069493 +/- 0.0217013  (init=-0.0175000)
#   delr_Si328           = -5.9565e-4 +/- 0.0581587  (init=-0.0163000)
#   e0                   =  6.9216023 +/- 3.2966045  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0010000 +/- 0.0011594  (init= 0.0050000)
#   sigma2_O203          =  0.0090071 +/- 0.0032761  (init= 0.0093500)
#   sigma2_Si328         =  0.0010000 +/- 0.0022075  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Si328, sigma2_Si328 =  0.987
#   N_Mg302, sigma2_Mg302 = -0.984
#   N_Si328, delr_Mg302  =  0.945
#   N_Mg302, delr_Mg302  =  0.945
#   delr_Mg302, sigma2_Si328 =  0.942
#   delr_Mg302, sigma2_Mg302 = -0.930
#   delr_Si328, sigma2_Mg302 =  0.902
#   N_Mg302, N_Si328     =  0.893
#   delr_Mg302, delr_Si328 = -0.889
#   N_Mg302, sigma2_Si328 =  0.888
#   N_Si328, sigma2_Mg302 = -0.886
#   N_O203, sigma2_O203  =  0.886
#   N_Mg302, delr_Si328  = -0.884
#   N_Si328, delr_Si328  = -0.879
#   sigma2_Mg302, sigma2_Si328 = -0.865
#   delr_O203, e0        =  0.856
#   delr_Si328, sigma2_Si328 = -0.851
#   delr_Si328, e0       =  0.461
#   delr_O203, delr_Si328 =  0.345
#   N_Si328, e0          = -0.243
#   N_O203, e0           = -0.227
#   e0, sigma2_Si328     = -0.183
#   delr_Si328, sigma2_O203 = -0.181
#   N_O203, delr_Si328   = -0.181
#   e0, sigma2_Mg302     =  0.175
#   sigma2_Mg302, sigma2_O203 = -0.162
#   N_Si328, delr_O203   = -0.161
#   N_Mg302, sigma2_O203 =  0.156
#   N_Si328, sigma2_O203 =  0.143
#   delr_Mg302, sigma2_O203 =  0.139
#   sigma2_O203, sigma2_Si328 =  0.135
#   e0, sigma2_O203      = -0.134
#   N_O203, sigma2_Mg302 = -0.133
#   N_Mg302, N_O203      =  0.119
#   N_O203, N_Si328      =  0.114
#   delr_O203, sigma2_Si328 = -0.109
#   delr_Mg302, e0       = -0.105
#   N_Mg302, e0          = -0.102
#   N_O203, sigma2_Si328 =  0.102
#  
# [[Dataset]]
#   unique_id            = 'dwbbhxff'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0032543, std=0.0082660)
#   epsilon_r            = 0.5742167
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  4.2944205 +/- 1.2261856  := 'N_O203 * s02'
#      e0     =  6.9216023 +/- 3.2966045  := 'e0'
#      r      =  2.0403493 +/- 0.0217013  := 'reff + delr_O203'
#      deltar =  0.0069493 +/- 0.0217013  := 'delr_O203'
#      sigma2 =  0.0090071 +/- 0.0032761  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  1.8637327 +/- 3.3856618  := 'N_Si328 * s02'
#      e0     =  6.9216023 +/- 3.2966045  := 'e0'
#      r      =  3.2782044 +/- 0.0581587  := 'reff + delr_Si328'
#      deltar = -5.9565e-4 +/- 0.0581587  := 'delr_Si328'
#      sigma2 =  0.0010000 +/- 0.0022075  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  0.8006774 +/- 2.9606174  := 'N_Mg302 * s02'
#      e0     =  6.9216023 +/- 3.2966045  := 'e0'
#      r      =  2.9727986 +/- 0.1508999  := 'reff + delr_Mg302'
#      deltar = -0.0446014 +/- 0.1508999  := 'delr_Mg302'
#      sigma2 =  0.0010000 +/- 0.0011594  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# k              expdata        model        
 0.000000000   -0.000000000    0.000000000
 0.050000000   -1.664323e-4    0.000000000
 0.100000000   -0.001279120    0.000000000
 0.150000000   -0.004133438    0.000000000
 0.200000000   -0.009345438    0.000000000
 0.250000000   -0.017334475    0.000000000
 0.300000000   -0.028304551    0.000000000
 0.350000000   -0.042224161    0.000000000
 0.400000000   -0.058798272    0.000000000
 0.450000000   -0.077599536    0.000000000
 0.500000000   -0.098569223    0.000000000
 0.550000000   -0.120189153    0.000000000
 0.600000000   -0.142314032    0.000000000
 0.650000000   -0.165325562    0.000000000
 0.700000000   -0.187578596    0.000000000
 0.750000000   -0.208142184    0.000000000
 0.800000000   -0.226547640    0.000000000
 0.850000000   -0.240553660    0.000000000
 0.900000000   -0.245304038    0.000000000
 0.950000000   -0.237411938    0.000000000
 1.000000000   -0.210067341    0.000000000
 1.050000000   -0.154997814    0.000000000
 1.100000000   -0.077589872    0.000000000
 1.150000000    0.028284390    0.000000000
 1.200000000    0.158633548    0.000000000
 1.250000000    0.299821019    0.000000000
 1.300000000    0.417799402    0.000000000
 1.350000000    0.530419490    0.000000000
 1.400000000    0.595540765    0.000000000
 1.450000000    0.642428052    0.000000000
 1.500000000    0.719274519    0.000000000
 1.550000000    0.781287870    0.000000000
 1.600000000    0.829015300    0.000000000
 1.650000000    0.833216039    0.000000000
 1.700000000    0.802098058    0.000000000
 1.750000000    0.733162955    0.000000000
 1.800000000    0.617326511    0.000000000
 1.850000000    0.525511328    0.000000000
 1.900000000    0.459207492    0.000000000
 1.950000000    0.430975156    0.000000000
 2.000000000    0.417898702    0.000000000
 2.050000000    0.430245286    0.000000000
 2.100000000    0.460620335    0.000000000
 2.150000000    0.583489264    0.000000000
 2.200000000    0.667641989    0.000000000
 2.250000000    0.692071928    0.000000000
 2.300000000    0.686957407    0.000000000
 2.350000000    0.677745619    0.000000000
 2.400000000    0.680994236    0.000000000
 2.450000000    0.601792270    0.000000000
 2.500000000    0.401119831    0.000000000
 2.550000000    0.099298917    0.000000000
 2.600000000   -0.354998717    0.000000000
 2.650000000   -0.892562992    0.000000000
 2.700000000   -1.420226765    0.000000000
 2.750000000   -1.858130867    0.000000000
 2.800000000   -2.207615303    0.000000000
 2.850000000   -2.494376511    0.000000000
 2.900000000   -2.678800217    0.000000000
 2.950000000   -2.866769939    0.000000000
 3.000000000   -3.023464503    0.000000000
 3.050000000   -3.130700776    0.000000000
 3.100000000   -3.146983014    0.000000000
 3.150000000   -3.080089556    0.000000000
 3.200000000   -2.870179791    0.000000000
 3.250000000   -2.573897274    0.000000000
 3.300000000   -2.196189621    0.000000000
 3.350000000   -1.797306592    0.000000000
 3.400000000   -1.395708672    0.000000000
 3.450000000   -0.974974950    0.000000000
 3.500000000   -0.571283316    0.000000000
 3.550000000    0.048902154    0.000000000
 3.600000000    0.758282295    0.000000000
 3.650000000    1.674032725    0.000000000
 3.700000000    2.609550965    0.000000000
 3.750000000    3.251940472    0.000000000
 3.800000000    3.667310509    0.000000000
 3.850000000    4.221487966    0.000000000
 3.900000000    4.546805398    0.000000000
 3.950000000    4.823488194    0.000000000
 4.000000000    4.682955168    0.000000000
 4.050000000    4.593623116    0.000000000
 4.100000000    4.436450253    0.000000000
 4.150000000    4.090384929    0.000000000
 4.200000000    3.761018828    0.000000000
 4.250000000    3.147014979    0.000000000
 4.300000000    2.744031616    0.000000000
 4.350000000    2.202765906    0.000000000
 4.400000000    1.533607262    0.000000000
 4.450000000    0.827930506    0.000000000
 4.500000000    0.105007838    0.000000000
 4.550000000   -0.618016041    0.000000000
 4.600000000   -1.246022956    0.000000000
 4.650000000   -1.714397528    0.000000000
 4.700000000   -2.195129335    0.000000000
 4.750000000   -2.449170344    0.000000000
 4.800000000   -2.872756528    0.000000000
 4.850000000   -2.993356570    0.000000000
 4.900000000   -2.883940702    0.000000000
 4.950000000   -3.025830341    0.000000000
 5.000000000   -2.770020178    0.000000000
 5.050000000   -2.248514958    0.000000000
 5.100000000   -2.398041177    0.000000000
 5.150000000   -2.367886039    0.000000000
 5.200000000   -2.633255967    0.000000000
 5.250000000   -3.006491154    0.000000000
 5.300000000   -3.472127321    0.000000000
 5.350000000   -4.143833645    0.000000000
 5.400000000   -4.030692130    0.000000000
 5.450000000   -4.148560372    0.000000000
 5.500000000   -3.840395104    0.000000000
 5.550000000   -3.433318318    0.000000000
 5.600000000   -2.356956172    0.000000000
 5.650000000   -1.326229104    0.000000000
 5.700000000   -0.477825167    0.000000000
 5.750000000    0.263712151    0.000000000
 5.800000000    1.281269156    0.000000000
 5.850000000    2.468589555    0.000000000
 5.900000000    2.956857514    0.000000000
 5.950000000    3.802381487    0.000000000
 6.000000000    4.355666330    0.000000000
 6.050000000    4.916769728    0.000000000
 6.100000000    4.804207430    0.000000000
 6.150000000    4.817637491    0.000000000
 6.200000000    4.832351352    0.000000000
 6.250000000    4.221616002    0.000000000
 6.300000000    4.366356462    0.000000000
 6.350000000    4.220129107    0.000000000
 6.400000000    3.302518662    0.000000000
 6.450000000    2.944448558    0.000000000
 6.500000000    2.210622498    0.000000000
 6.550000000    1.387624002    0.000000000
 6.600000000    0.291884158    0.000000000
 6.650000000   -0.732653656    0.000000000
 6.700000000   -1.374072182    0.000000000
 6.750000000   -2.150434197    0.000000000
 6.800000000   -3.075609272    0.000000000
 6.850000000   -3.606319225    0.000000000
 6.900000000   -4.161935793    0.000000000
 6.950000000   -4.366669850    0.000000000
 7.000000000   -4.461262037    0.000000000
 7.050000000   -4.073331765    0.000000000
 7.100000000   -3.384653335    0.000000000
 7.150000000   -2.657408266    0.000000000
 7.200000000   -1.341853872    0.000000000
 7.250000000   -0.626787230    0.000000000
 7.300000000    0.164473046    0.000000000
 7.350000000    1.355082986    0.000000000
 7.400000000    1.296344231    0.000000000
 7.450000000    1.430508154    0.000000000
 7.500000000    2.007055989    0.000000000
 7.550000000    1.505072453    0.000000000
 7.600000000    0.616837477    0.000000000
 7.650000000    0.620862476    0.000000000
