# Results for GP17_station27_20892_11cm_032_A_fl_avg.csv "Mar-10 12:32_1": |chi(R)|
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 116
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 18.7795996
#   reduced chi_square   = 1.23878272
#   r-factor             = 0.02470485
#   Akaike info crit     = 12.6414569
#   Bayesian info crit   = 24.8939001
#  
# [[Parameters]]
#   N_Mg302              =  2.3954055 +/- 14.960281  (init= 3.0200000)
#   N_O203               =  5.6568091 +/- 2.5572619  (init= 4.8600000)
#   N_Si328              =  3.3590398 +/- 6.6505803  (init= 6.0000000)
#   delr_Mg302           = -0.0295148 +/- 0.3367986  (init= 0.0060000)
#   delr_O203            = -0.0126131 +/- 0.0339995  (init=-0.0175000)
#   delr_Si328           = -0.0032562 +/- 0.0375926  (init=-0.0163000)
#   e0                   =  6.5317629 +/- 5.2460830  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0150000 +/- 0.0136009  (init= 0.0050000)
#   sigma2_O203          =  0.0092793 +/- 0.0051585  (init= 0.0093500)
#   sigma2_Si328         =  0.0023587 +/- 0.0097275  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Mg302, sigma2_Mg302 =  0.960
#   N_Si328, sigma2_Si328 =  0.952
#   N_Si328, delr_Mg302  =  0.926
#   N_O203, sigma2_O203  =  0.892
#   N_Mg302, delr_Mg302  =  0.887
#   delr_O203, e0        =  0.861
#   delr_Mg302, sigma2_Mg302 =  0.848
#   N_Mg302, N_Si328     =  0.841
#   delr_Mg302, sigma2_Si328 =  0.821
#   delr_Si328, e0       =  0.791
#   N_Si328, sigma2_Mg302 =  0.785
#   N_Mg302, sigma2_Si328 =  0.722
#   delr_O203, delr_Si328 =  0.665
#   sigma2_Mg302, sigma2_Si328 =  0.629
#   N_Si328, delr_Si328  = -0.482
#   delr_Mg302, delr_Si328 = -0.477
#   delr_Si328, sigma2_Si328 = -0.420
#   N_Mg302, delr_Si328  = -0.380
#   N_Si328, e0          = -0.370
#   delr_Si328, sigma2_Mg302 = -0.366
#   delr_Mg302, e0       = -0.324
#   e0, sigma2_Mg302     = -0.319
#   e0, sigma2_Si328     = -0.293
#   N_Si328, delr_O203   = -0.278
#   N_O203, sigma2_Mg302 =  0.270
#   N_Mg302, N_O203      =  0.256
#   N_O203, e0           = -0.248
#   delr_Mg302, delr_O203 = -0.235
#   N_Mg302, e0          = -0.232
#   N_O203, delr_Si328   = -0.229
#   sigma2_Mg302, sigma2_O203 =  0.227
#   N_Mg302, sigma2_O203 =  0.226
#   delr_O203, sigma2_Si328 = -0.217
#   delr_O203, sigma2_Mg302 = -0.216
#   N_O203, delr_Mg302   =  0.201
#   N_O203, N_Si328      =  0.199
#   delr_Mg302, sigma2_O203 =  0.175
#   N_Si328, sigma2_O203 =  0.172
#   delr_Si328, sigma2_O203 = -0.155
#   N_O203, sigma2_Si328 =  0.154
#   e0, sigma2_O203      = -0.147
#   sigma2_O203, sigma2_Si328 =  0.139
#   N_Mg302, delr_O203   = -0.135
#  
# [[Dataset]]
#   unique_id            = 'dpifd7il'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0017603, std=0.0041114)
#   epsilon_r            = 0.3106080
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  3.9597664 +/- 1.7900833  := 'N_O203 * s02'
#      e0     =  6.5317629 +/- 5.2460830  := 'e0'
#      r      =  2.0207869 +/- 0.0339995  := 'reff + delr_O203'
#      deltar = -0.0126131 +/- 0.0339995  := 'delr_O203'
#      sigma2 =  0.0092793 +/- 0.0051585  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  2.3513279 +/- 4.6554063  := 'N_Si328 * s02'
#      e0     =  6.5317629 +/- 5.2460830  := 'e0'
#      r      =  3.2755438 +/- 0.0375926  := 'reff + delr_Si328'
#      deltar = -0.0032562 +/- 0.0375926  := 'delr_Si328'
#      sigma2 =  0.0023587 +/- 0.0097275  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  1.6767838 +/- 10.472197  := 'N_Mg302 * s02'
#      e0     =  6.5317629 +/- 5.2460830  := 'e0'
#      r      =  2.9878852 +/- 0.3367986  := 'reff + delr_Mg302'
#      deltar = -0.0295148 +/- 0.3367986  := 'delr_Mg302'
#      sigma2 =  0.0150000 +/- 0.0136009  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# r              expdata        model        
 0.000000000    0.007150821    0.028596078
 0.030679616    0.006543265    0.028332625
 0.061359232    0.004985496    0.027791053
 0.092038847    0.003628638    0.027610732
 0.122718463    0.004555580    0.028461542
 0.153398079    0.006879724    0.030551811
 0.184077695    0.008827816    0.033473242
 0.214757310    0.009604397    0.036540163
 0.245436926    0.008888335    0.039208422
 0.276116542    0.006738443    0.041301680
 0.306796158    0.003734501    0.043056257
 0.337475773    0.002675704    0.045008346
 0.368155389    0.005497349    0.047722228
 0.398835005    0.008058680    0.051464704
 0.429514621    0.009081667    0.056058905
 0.460194236    0.008227576    0.061032151
 0.490873852    0.005905516    0.065919230
 0.521553468    0.003865093    0.070533384
 0.552233084    0.004242766    0.075115500
 0.582912699    0.004417104    0.080320427
 0.613592315    0.008065756    0.087010091
 0.644271931    0.024651136    0.095906418
 0.674951547    0.056133425    0.107301657
 0.705631162    0.105627405    0.121023024
 0.736310778    0.176097128    0.136638064
 0.766990394    0.269544853    0.153727641
 0.797670010    0.386576200    0.172084464
 0.828349625    0.526105662    0.191786280
 0.859029241    0.685215063    0.213147580
 0.889708857    0.859199346    0.236583710
 0.920388473    1.041828784    0.262447012
 0.951068088    1.225845465    0.290905072
 0.981747704    1.403698893    0.321910183
 1.012427320    1.568511013    0.355264301
 1.043106936    1.715241217    0.390742394
 1.073786552    1.841984078    0.428218670
 1.104466167    1.951248308    0.467744482
 1.135145783    2.050892951    0.509544597
 1.165825399    2.154128770    0.553923712
 1.196505015    2.277805026    0.601103476
 1.227184630    2.438588964    0.651034575
 1.257864246    2.647980708    0.703238210
 1.288543862    2.908486940    0.756720699
 1.319223478    3.212852931    0.809979303
 1.349903093    3.546121478    0.861090432
 1.380582709    3.888830346    0.907854671
 1.411262325    4.219944663    0.947969359
 1.441941941    4.519045269    0.979204367
 1.472621556    4.767848909    0.999564473
 1.503301172    4.951254390    1.007428442
 1.533980788    5.058050634    1.001659531
 1.564660404    5.081350430    0.981684662
 1.595340019    5.018772034    0.947540887
 1.626019635    4.872376578    0.899888459
 1.656699251    4.648371107    0.839990501
 1.687378867    4.356596220    0.769660104
 1.718058482    4.009828387    0.691176901
 1.748738098    3.622937077    0.607176735
 1.779417714    3.211944193    0.520519881
 1.810097330    2.793037288    0.434145292
 1.840776945    2.381588918    0.350920365
 1.871456561    1.991234320    0.273498084
 1.902136177    1.633063645    0.204196978
 1.932815793    1.315004246    0.144927584
 1.963495408    1.041520446    0.097209949
 1.994175024    0.813856960    0.062354725
 2.024854640    0.631165952    0.041608956
 2.055534256    0.492785366    0.034307456
 2.086213872    0.400922763    0.035064151
 2.116893487    0.359618921    0.039444534
 2.147573103    0.365396240    0.047409926
 2.178252719    0.401743454    0.059726843
 2.208932335    0.448983261    0.075797117
 2.239611950    0.493267356    0.094173701
 2.270291566    0.528443254    0.113440575
 2.300971182    0.556814186    0.132609805
 2.331650798    0.590619499    0.151238122
 2.362330413    0.651120427    0.169426843
 2.393010029    0.760368474    0.187739700
 2.423689645    0.929266210    0.207036341
 2.454369261    1.154362696    0.228234348
 2.485048876    1.423583874    0.252049540
 2.515728492    1.721730596    0.278788330
 2.546408108    2.032956846    0.308247443
 2.577087724    2.341739611    0.339725235
 2.607767339    2.633496367    0.372107614
 2.638446955    2.895191337    0.403985044
 2.669126571    3.115941778    0.433774046
 2.699806187    3.287554795    0.459834750
 2.730485802    3.404921502    0.480584905
 2.761165418    3.466211378    0.494611288
 2.791845034    3.472830279    0.500776253
 2.822524650    3.429127291    0.498313605
 2.853204265    3.341857940    0.486905884
 2.883883881    3.219435034    0.466734944
 2.914563497    3.071025328    0.438499247
 2.945243113    2.905581603    0.403394184
 2.975922728    2.730933292    0.363055354
 3.006602344    2.553083537    0.319468177
 3.037281960    2.375855938    0.274849428
 3.067961576    2.200979284    0.231504740
 3.098641192    2.028593789    0.191656729
 3.129320807    1.858044182    0.157216404
 3.160000423    1.688750230    0.129448364
 3.190680039    1.520948807    0.108537240
 3.221359655    1.356169332    0.093314432
 3.252039270    1.197386367    0.081602020
 3.282718886    1.048839324    0.071150216
 3.313398502    0.915494937    0.060472548
 3.344078118    0.802077766    0.049143273
 3.374757733    0.711637644    0.037770250
 3.405437349    0.643996497    0.028065731
 3.436116965    0.595047039    0.022960569
 3.466796581    0.557822032    0.024161595
 3.497476196    0.524924029    0.028773241
 3.528155812    0.490853388    0.033299968
 3.558835428    0.453341774    0.036108508
 3.589515044    0.413848245    0.036729982
 3.620194659    0.377612040    0.035301997
 3.650874275    0.352955601    0.032323292
 3.681553891    0.348416557    0.028510935
 3.712233507    0.367535821    0.024665533
 3.742913122    0.406243252    0.021479028
 3.773592738    0.456220456    0.019263557
 3.804272354    0.509387404    0.017777529
 3.834951970    0.559738456    0.016413892
 3.865631585    0.603375135    0.014597754
 3.896311201    0.638058699    0.012022328
 3.926990817    0.662758685    0.008671836
 3.957670433    0.677278425    0.004773362
 3.988350049    0.681958063    0.001296154
 4.019029664    0.677456501    0.004000513
 4.049709280    0.664617649    0.007602072
 4.080388896    0.644418432    0.010506968
 4.111068512    0.617979270    0.012452132
 4.141748127    0.586599611    0.013326946
 4.172427743    0.551768873    0.013143830
 4.203107359    0.515102296    0.012027091
 4.233786975    0.478166780    0.010200124
 4.264466590    0.442200277    0.007981314
 4.295146206    0.407791829    0.005821989
 4.325825822    0.374656819    0.004422578
 4.356505438    0.341658843    0.004447327
 4.387185053    0.307153252    0.005413977
 4.417864669    0.269609185    0.006418897
 4.448544285    0.228453627    0.007028535
 4.479223901    0.185342864    0.007107268
 4.509903516    0.146783768    0.006658622
 4.540583132    0.128347968    0.005767844
 4.571262748    0.146337969    0.004585512
 4.601942364    0.193568447    0.003351576
 4.632621979    0.252982599    0.002503752
 4.663301595    0.313794153    0.002588850
 4.693981211    0.369724851    0.003366117
 4.724660827    0.416619745    0.004212581
 4.755340442    0.451626841    0.004817158
 4.786020058    0.472980460    0.005054202
 4.816699674    0.479953881    0.004885353
 4.847379290    0.472832595    0.004334425
 4.878058905    0.452858613    0.003489423
 4.908738521    0.422133226    0.002540720
 4.939418137    0.383481163    0.001923226
