# Results for GP17_station27_20892_1cm_025_A_fl.avg.csv "Mar-10 12:33": chi(k), k-weighted
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 196
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 9.41266768
#   reduced chi_square   = 0.62089982
#   r-factor             = 0.01957853
#   Akaike info crit     = -4.73673287
#   Bayesian info crit   = 7.51571030
#  
# [[Parameters]]
#   N_Mg302              =  0.7344832 +/- 2.3479948  (init= 3.0200000)
#   N_O203               =  5.5958478 +/- 1.5438285  (init= 4.8600000)
#   N_Si328              =  2.5566098 +/- 2.4946244  (init= 6.0000000)
#   delr_Mg302           = -0.0788508 +/- 0.1245152  (init= 0.0060000)
#   delr_O203            = -0.0131754 +/- 0.0206842  (init=-0.0175000)
#   delr_Si328           = -0.0010115 +/- 0.0297347  (init=-0.0163000)
#   e0                   =  6.5439242 +/- 3.0955354  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0015942 +/- 0.0248957  (init= 0.0050000)
#   sigma2_O203          =  0.0091563 +/- 0.0031683  (init= 0.0093500)
#   sigma2_Si328         =  0.0010000 +/- 0.0067378  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Si328, sigma2_Si328 =  0.967
#   N_Mg302, sigma2_Mg302 =  0.963
#   N_O203, sigma2_O203  =  0.885
#   delr_Mg302, sigma2_Si328 =  0.870
#   delr_Mg302, sigma2_Mg302 =  0.853
#   delr_O203, e0        =  0.852
#   N_Mg302, delr_Mg302  =  0.836
#   N_Si328, delr_Mg302  =  0.808
#   sigma2_Mg302, sigma2_Si328 =  0.781
#   N_Si328, sigma2_Mg302 =  0.731
#   N_Mg302, sigma2_Si328 =  0.730
#   delr_Si328, sigma2_Mg302 = -0.654
#   N_Mg302, N_Si328     =  0.645
#   N_Si328, delr_Si328  = -0.604
#   delr_Si328, sigma2_Si328 = -0.588
#   delr_Mg302, delr_Si328 = -0.574
#   N_Mg302, delr_Si328  = -0.545
#   delr_Si328, e0       =  0.497
#   delr_O203, delr_Si328 =  0.396
#   N_Mg302, e0          =  0.273
#   N_Mg302, delr_O203   =  0.270
#   delr_Mg302, e0       =  0.245
#   delr_Mg302, delr_O203 =  0.234
#   N_O203, e0           = -0.197
#   delr_O203, sigma2_Mg302 =  0.159
#   N_O203, delr_Si328   = -0.157
#   e0, sigma2_Mg302     =  0.146
#   delr_Si328, sigma2_O203 = -0.123
#   delr_O203, sigma2_O203 =  0.111
#  
# [[Dataset]]
#   unique_id            = 'duwuhiv3'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0022225, std=0.0055360)
#   epsilon_r            = 0.3921484
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  3.9170934 +/- 1.0806800  := 'N_O203 * s02'
#      e0     =  6.5439242 +/- 3.0955354  := 'e0'
#      r      =  2.0202246 +/- 0.0206842  := 'reff + delr_O203'
#      deltar = -0.0131754 +/- 0.0206842  := 'delr_O203'
#      sigma2 =  0.0091563 +/- 0.0031683  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  1.7896269 +/- 1.7462371  := 'N_Si328 * s02'
#      e0     =  6.5439242 +/- 3.0955354  := 'e0'
#      r      =  3.2777885 +/- 0.0297347  := 'reff + delr_Si328'
#      deltar = -0.0010115 +/- 0.0297347  := 'delr_Si328'
#      sigma2 =  0.0010000 +/- 0.0067378  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  0.5141383 +/- 1.6435964  := 'N_Mg302 * s02'
#      e0     =  6.5439242 +/- 3.0955354  := 'e0'
#      r      =  2.9385492 +/- 0.1245152  := 'reff + delr_Mg302'
#      deltar = -0.0788508 +/- 0.1245152  := 'delr_Mg302'
#      sigma2 =  0.0015942 +/- 0.0248957  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# k              expdata        model        
 0.000000000   -0.000000000    0.000000000
 0.050000000   -1.887707e-4    0.000000000
 0.100000000   -0.001450643    0.000000000
 0.150000000   -0.004703764    0.000000000
 0.200000000   -0.010697407    0.000000000
 0.250000000   -0.019982207    0.000000000
 0.300000000   -0.032847616    0.000000000
 0.350000000   -0.049240179    0.000000000
 0.400000000   -0.069075179    0.000000000
 0.450000000   -0.092542691    0.000000000
 0.500000000   -0.118741673    0.000000000
 0.550000000   -0.146761557    0.000000000
 0.600000000   -0.176788499    0.000000000
 0.650000000   -0.207388389    0.000000000
 0.700000000   -0.237296873    0.000000000
 0.750000000   -0.266795736    0.000000000
 0.800000000   -0.292003165    0.000000000
 0.850000000   -0.313751602    0.000000000
 0.900000000   -0.324323054    0.000000000
 0.950000000   -0.322834188    0.000000000
 1.000000000   -0.301986738    0.000000000
 1.050000000   -0.263162794    0.000000000
 1.100000000   -0.209270491    0.000000000
 1.150000000   -0.122713466    0.000000000
 1.200000000   -0.026148459    0.000000000
 1.250000000    0.080635351    0.000000000
 1.300000000    0.185105240    0.000000000
 1.350000000    0.292325549    0.000000000
 1.400000000    0.388406303    0.000000000
 1.450000000    0.496727790    0.000000000
 1.500000000    0.611714347    0.000000000
 1.550000000    0.721911269    0.000000000
 1.600000000    0.808871733    0.000000000
 1.650000000    0.826941092    0.000000000
 1.700000000    0.811236368    0.000000000
 1.750000000    0.760959854    0.000000000
 1.800000000    0.711083003    0.000000000
 1.850000000    0.657001403    0.000000000
 1.900000000    0.637956310    0.000000000
 1.950000000    0.632846769    0.000000000
 2.000000000    0.635938920    0.000000000
 2.050000000    0.642696816    0.000000000
 2.100000000    0.650057219    0.000000000
 2.150000000    0.688203071    0.000000000
 2.200000000    0.717473131    0.000000000
 2.250000000    0.713907583    0.000000000
 2.300000000    0.716129244    0.000000000
 2.350000000    0.725166876    0.000000000
 2.400000000    0.786148515    0.000000000
 2.450000000    0.777875678    0.000000000
 2.500000000    0.656538469    0.000000000
 2.550000000    0.382780515    0.000000000
 2.600000000   -0.055331623    0.000000000
 2.650000000   -0.515995968    0.000000000
 2.700000000   -1.003472852    0.000000000
 2.750000000   -1.425151911    0.000000000
 2.800000000   -1.840162901    0.000000000
 2.850000000   -2.150997741    0.000000000
 2.900000000   -2.454328292    0.000000000
 2.950000000   -2.713415214    0.000000000
 3.000000000   -2.953078034    0.000000000
 3.050000000   -3.147781345    0.000000000
 3.100000000   -3.202191875    0.000000000
 3.150000000   -3.228958122    0.000000000
 3.200000000   -3.133009118    0.000000000
 3.250000000   -2.976641327    0.000000000
 3.300000000   -2.656750867    0.000000000
 3.350000000   -2.196148919    0.000000000
 3.400000000   -1.775890312    0.000000000
 3.450000000   -1.273519772    0.000000000
 3.500000000   -0.722379291    0.000000000
 3.550000000   -0.130872813    0.000000000
 3.600000000    0.527467031    0.000000000
 3.650000000    1.329906316    0.000000000
 3.700000000    2.247249097    0.000000000
 3.750000000    2.829961417    0.000000000
 3.800000000    3.332167617    0.000000000
 3.850000000    3.679686297    0.000000000
 3.900000000    3.971971784    0.000000000
 3.950000000    4.232976102    0.000000000
 4.000000000    4.220508376    0.000000000
 4.050000000    4.082151202    0.000000000
 4.100000000    3.920708024    0.000000000
 4.150000000    3.836255791    0.000000000
 4.200000000    3.595550324    0.000000000
 4.250000000    3.233395375    0.000000000
 4.300000000    2.760807913    0.000000000
 4.350000000    2.352589408    0.000000000
 4.400000000    1.938328597    0.000000000
 4.450000000    1.344348177    0.000000000
 4.500000000    0.724573564    0.000000000
 4.550000000    0.230821749    0.000000000
 4.600000000   -0.383929908    0.000000000
 4.650000000   -1.018557770    0.000000000
 4.700000000   -1.524412444    0.000000000
 4.750000000   -1.826662320    0.000000000
 4.800000000   -2.189192000    0.000000000
 4.850000000   -2.459459582    0.000000000
 4.900000000   -2.555691547    0.000000000
 4.950000000   -2.733042552    0.000000000
 5.000000000   -2.507906711    0.000000000
 5.050000000   -2.252801905    0.000000000
 5.100000000   -2.214709582    0.000000000
 5.150000000   -2.117102376    0.000000000
 5.200000000   -2.345705677    0.000000000
 5.250000000   -2.656797780    0.000000000
 5.300000000   -3.008238289    0.000000000
 5.350000000   -3.313386711    0.000000000
 5.400000000   -3.779076971    0.000000000
 5.450000000   -4.013463827    0.000000000
 5.500000000   -3.949135618    0.000000000
 5.550000000   -3.346473617    0.000000000
 5.600000000   -2.913425798    0.000000000
 5.650000000   -2.276586708    0.000000000
 5.700000000   -1.719299409    0.000000000
 5.750000000   -0.908349166    0.000000000
 5.800000000    0.022170303    0.000000000
 5.850000000    0.926753633    0.000000000
 5.900000000    1.871046795    0.000000000
 5.950000000    2.509124127    0.000000000
 6.000000000    3.346690413    0.000000000
 6.050000000    4.079427028    0.000000000
 6.100000000    4.357187878    0.000000000
 6.150000000    4.423980306    0.000000000
 6.200000000    4.391448794    0.000000000
 6.250000000    4.681414142    0.000000000
 6.300000000    4.487597996    0.000000000
 6.350000000    4.321273781    0.000000000
 6.400000000    3.982041428    0.000000000
 6.450000000    3.554334968    0.000000000
 6.500000000    3.028929936    0.000000000
 6.550000000    2.163309239    0.000000000
 6.600000000    1.426636683    0.000000000
 6.650000000    0.131343823    0.000000000
 6.700000000   -0.503729203    0.000000000
 6.750000000   -1.334231014    0.000000000
 6.800000000   -1.730502230    0.000000000
 6.850000000   -2.618816149    0.000000000
 6.900000000   -2.845601026    0.000000000
 6.950000000   -3.974688905    0.000000000
 7.000000000   -3.725258702    0.000000000
 7.050000000   -3.922847327    0.000000000
 7.100000000   -3.054314714    0.000000000
 7.150000000   -2.874594451    0.000000000
