# Results for GP17_station5_19119_5cm_017_A_fl.avg.csv "Mar-10 12:33": chi(k), k-weighted
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 153
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 12.5471934
#   reduced chi_square   = 0.82766654
#   r-factor             = 0.01968168
#   Akaike info crit     = 2.49519215
#   Bayesian info crit   = 14.7476353
#  
# [[Parameters]]
#   N_Mg302              =  1.7764421 +/- 6.8047516  (init= 3.0200000)
#   N_O203               =  5.9902407 +/- 1.8619473  (init= 4.8600000)
#   N_Si328              =  3.1836772 +/- 4.6441325  (init= 6.0000000)
#   delr_Mg302           =  9.2792e-4 +/- 0.1622867  (init= 0.0060000)
#   delr_O203            = -0.0124526 +/- 0.0244221  (init=-0.0175000)
#   delr_Si328           = -0.0143408 +/- 0.0306683  (init=-0.0163000)
#   e0                   =  6.2917823 +/- 4.0014993  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0065848 +/- 0.0301785  (init= 0.0050000)
#   sigma2_O203          =  0.0079696 +/- 0.0033624  (init= 0.0093500)
#   sigma2_Si328         =  0.0010000 +/- 0.0013093  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Mg302, sigma2_Mg302 =  0.906
#   N_Si328, sigma2_Si328 =  0.902
#   N_Mg302, delr_Mg302  =  0.899
#   N_O203, sigma2_O203  =  0.884
#   delr_O203, e0        =  0.874
#   N_Si328, delr_Mg302  =  0.863
#   N_Mg302, N_Si328     =  0.821
#   delr_Mg302, sigma2_Mg302 =  0.793
#   delr_Si328, e0       =  0.740
#   N_Si328, delr_Si328  = -0.642
#   delr_O203, delr_Si328 =  0.641
#   delr_Mg302, sigma2_Si328 =  0.608
#   N_Si328, sigma2_Mg302 =  0.591
#   delr_Mg302, delr_Si328 = -0.578
#   N_Mg302, sigma2_Si328 =  0.574
#   delr_Si328, sigma2_Si328 = -0.557
#   N_Mg302, delr_Si328  = -0.528
#   delr_Mg302, e0       = -0.464
#   N_Si328, e0          = -0.438
#   e0, sigma2_Mg302     = -0.426
#   N_Mg302, e0          = -0.411
#   delr_Mg302, delr_O203 = -0.400
#   N_Si328, delr_O203   = -0.376
#   delr_O203, sigma2_Mg302 = -0.359
#   N_Mg302, delr_O203   = -0.344
#   delr_Si328, sigma2_Mg302 = -0.323
#   e0, sigma2_Si328     = -0.262
#   sigma2_Mg302, sigma2_Si328 =  0.260
#   N_O203, e0           = -0.228
#   delr_O203, sigma2_Si328 = -0.224
#   N_O203, delr_Si328   = -0.162
#   N_O203, sigma2_Mg302 =  0.132
#   e0, sigma2_O203      = -0.132
#   N_Mg302, N_O203      =  0.116
#   delr_Si328, sigma2_O203 = -0.108
#  
# [[Dataset]]
#   unique_id            = 'd6i7n5l6'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0022043, std=0.0054062)
#   epsilon_r            = 0.3889475
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  4.1931685 +/- 1.3033631  := 'N_O203 * s02'
#      e0     =  6.2917823 +/- 4.0014993  := 'e0'
#      r      =  2.0209474 +/- 0.0244221  := 'reff + delr_O203'
#      deltar = -0.0124526 +/- 0.0244221  := 'delr_O203'
#      sigma2 =  0.0079696 +/- 0.0033624  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  2.2285740 +/- 3.2508928  := 'N_Si328 * s02'
#      e0     =  6.2917823 +/- 4.0014993  := 'e0'
#      r      =  3.2644592 +/- 0.0306683  := 'reff + delr_Si328'
#      deltar = -0.0143408 +/- 0.0306683  := 'delr_Si328'
#      sigma2 =  0.0010000 +/- 0.0013093  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  1.2435095 +/- 4.7633261  := 'N_Mg302 * s02'
#      e0     =  6.2917823 +/- 4.0014993  := 'e0'
#      r      =  3.0183279 +/- 0.1622867  := 'reff + delr_Mg302'
#      deltar =  9.2792e-4 +/- 0.1622867  := 'delr_Mg302'
#      sigma2 =  0.0065848 +/- 0.0301785  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# k              expdata        model        
 0.000000000   -0.000000000    0.000000000
 0.050000000   -2.065591e-4    0.000000000
 0.100000000   -0.001587677    0.000000000
 0.150000000   -0.005142801    0.000000000
 0.200000000   -0.011676485    0.000000000
 0.250000000   -0.021776872    0.000000000
 0.300000000   -0.035775266    0.000000000
 0.350000000   -0.053694477    0.000000000
 0.400000000   -0.075418706    0.000000000
 0.450000000   -0.100852481    0.000000000
 0.500000000   -0.129214859    0.000000000
 0.550000000   -0.160270233    0.000000000
 0.600000000   -0.192699731    0.000000000
 0.650000000   -0.227069076    0.000000000
 0.700000000   -0.260150977    0.000000000
 0.750000000   -0.293357758    0.000000000
 0.800000000   -0.322696826    0.000000000
 0.850000000   -0.345223836    0.000000000
 0.900000000   -0.357614027    0.000000000
 0.950000000   -0.353620943    0.000000000
 1.000000000   -0.326100576    0.000000000
 1.050000000   -0.277419160    0.000000000
 1.100000000   -0.204567421    0.000000000
 1.150000000   -0.104376646    0.000000000
 1.200000000    0.014471576    0.000000000
 1.250000000    0.142829367    0.000000000
 1.300000000    0.259926637    0.000000000
 1.350000000    0.362500782    0.000000000
 1.400000000    0.457477154    0.000000000
 1.450000000    0.563761853    0.000000000
 1.500000000    0.681436094    0.000000000
 1.550000000    0.798625949    0.000000000
 1.600000000    0.867284375    0.000000000
 1.650000000    0.895708015    0.000000000
 1.700000000    0.874801070    0.000000000
 1.750000000    0.818276609    0.000000000
 1.800000000    0.724491744    0.000000000
 1.850000000    0.651248597    0.000000000
 1.900000000    0.619046417    0.000000000
 1.950000000    0.588629484    0.000000000
 2.000000000    0.604408856    0.000000000
 2.050000000    0.610797633    0.000000000
 2.100000000    0.633942685    0.000000000
 2.150000000    0.672837848    0.000000000
 2.200000000    0.721138760    0.000000000
 2.250000000    0.732429860    0.000000000
 2.300000000    0.740417064    0.000000000
 2.350000000    0.747601648    0.000000000
 2.400000000    0.821194042    0.000000000
 2.450000000    0.820515678    0.000000000
 2.500000000    0.701166730    0.000000000
 2.550000000    0.384123724    0.000000000
 2.600000000   -0.057475791    0.000000000
 2.650000000   -0.585191493    0.000000000
 2.700000000   -1.135383155    0.000000000
 2.750000000   -1.595575760    0.000000000
 2.800000000   -2.010248321    0.000000000
 2.850000000   -2.303635916    0.000000000
 2.900000000   -2.621857326    0.000000000
 2.950000000   -2.888441898    0.000000000
 3.000000000   -3.093973963    0.000000000
 3.050000000   -3.282359212    0.000000000
 3.100000000   -3.389483412    0.000000000
 3.150000000   -3.363121519    0.000000000
 3.200000000   -3.274946882    0.000000000
 3.250000000   -3.034478945    0.000000000
 3.300000000   -2.702374829    0.000000000
 3.350000000   -2.272714419    0.000000000
 3.400000000   -1.860633173    0.000000000
 3.450000000   -1.383475966    0.000000000
 3.500000000   -0.892547622    0.000000000
 3.550000000   -0.256954231    0.000000000
 3.600000000    0.506233423    0.000000000
 3.650000000    1.354913935    0.000000000
 3.700000000    2.274621204    0.000000000
 3.750000000    2.972909970    0.000000000
 3.800000000    3.548932992    0.000000000
 3.850000000    3.972013227    0.000000000
 3.900000000    4.391374419    0.000000000
 3.950000000    4.609747020    0.000000000
 4.000000000    4.731465836    0.000000000
 4.050000000    4.498571474    0.000000000
 4.100000000    4.348945824    0.000000000
 4.150000000    4.259058863    0.000000000
 4.200000000    4.101619931    0.000000000
 4.250000000    3.699559754    0.000000000
 4.300000000    3.301828640    0.000000000
 4.350000000    2.904668569    0.000000000
 4.400000000    2.278428055    0.000000000
 4.450000000    1.664045290    0.000000000
 4.500000000    0.916981674    0.000000000
 4.550000000    0.306271854    0.000000000
 4.600000000   -0.425763617    0.000000000
 4.650000000   -1.115081266    0.000000000
 4.700000000   -1.727944266    0.000000000
 4.750000000   -2.256989322    0.000000000
 4.800000000   -2.751467581    0.000000000
 4.850000000   -3.110498150    0.000000000
 4.900000000   -3.415458855    0.000000000
 4.950000000   -3.473913902    0.000000000
 5.000000000   -3.315332615    0.000000000
 5.050000000   -3.200429124    0.000000000
 5.100000000   -2.878057241    0.000000000
 5.150000000   -2.849248092    0.000000000
 5.200000000   -2.863621862    0.000000000
 5.250000000   -3.154283338    0.000000000
 5.300000000   -3.592721354    0.000000000
 5.350000000   -4.097123893    0.000000000
 5.400000000   -3.989005208    0.000000000
 5.450000000   -4.089301243    0.000000000
 5.500000000   -3.805416497    0.000000000
 5.550000000   -3.358717374    0.000000000
 5.600000000   -2.506661101    0.000000000
 5.650000000   -1.907179628    0.000000000
 5.700000000   -1.043275602    0.000000000
 5.750000000   -0.295748848    0.000000000
 5.800000000    0.545445528    0.000000000
 5.850000000    1.412107322    0.000000000
 5.900000000    2.230643555    0.000000000
 5.950000000    3.156107812    0.000000000
 6.000000000    4.103160466    0.000000000
 6.050000000    4.653847750    0.000000000
 6.100000000    4.923377197    0.000000000
 6.150000000    5.103291029    0.000000000
 6.200000000    4.747738808    0.000000000
 6.250000000    4.698926421    0.000000000
 6.300000000    4.550580035    0.000000000
 6.350000000    4.436051419    0.000000000
 6.400000000    4.224095704    0.000000000
 6.450000000    3.785850867    0.000000000
 6.500000000    3.123372752    0.000000000
 6.550000000    2.258457013    0.000000000
 6.600000000    1.419158980    0.000000000
 6.650000000    0.374965685    0.000000000
 6.700000000   -0.345147396    0.000000000
 6.750000000   -1.165949410    0.000000000
 6.800000000   -1.902447227    0.000000000
 6.850000000   -2.707136512    0.000000000
 6.900000000   -3.644377053    0.000000000
 6.950000000   -4.120295118    0.000000000
 7.000000000   -4.153259049    0.000000000
 7.050000000   -4.124170275    0.000000000
 7.100000000   -3.553252731    0.000000000
 7.150000000   -3.135727360    0.000000000
 7.200000000   -2.610344406    0.000000000
 7.250000000   -1.874148601    0.000000000
 7.300000000   -0.621871827    0.000000000
 7.350000000    0.022258597    0.000000000
 7.400000000    0.659128982    0.000000000
