# Results for GP17_station15_19908_15cm_042_A_fl.avg.csv "Mar-10 12:34": chi(k), k-weighted
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 1132
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 7.71238609
#   reduced chi_square   = 0.50874198
#   r-factor             = 0.02670173
#   Akaike info crit     = -9.74927347
#   Bayesian info crit   = 2.50316970
#  
# [[Parameters]]
#   N_Mg302              =  1.0891763 +/- 4.0911356  (init= 3.0200000)
#   N_O203               =  6.0393864 +/- 1.8653196  (init= 4.8600000)
#   N_Si328              =  2.6034211 +/- 4.6306718  (init= 6.0000000)
#   delr_Mg302           = -0.0394810 +/- 0.1529507  (init= 0.0060000)
#   delr_O203            =  0.0130353 +/- 0.0219821  (init=-0.0175000)
#   delr_Si328           =  0.0017019 +/- 0.0574637  (init=-0.0163000)
#   e0                   =  6.6003857 +/- 3.4064260  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0010000 +/- 299.49713  (init= 0.0050000)
#   sigma2_O203          =  0.0086395 +/- 0.0035990  (init= 0.0093500)
#   sigma2_Si328         =  0.0010000 +/- 0.0152461  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Si328, sigma2_Si328 = -0.985
#   N_Mg302, sigma2_Mg302 =  0.981
#   N_Si328, delr_Mg302  =  0.938
#   N_Mg302, delr_Mg302  =  0.936
#   delr_Mg302, sigma2_Si328 = -0.932
#   delr_Mg302, sigma2_Mg302 =  0.917
#   N_O203, sigma2_O203  =  0.896
#   delr_Si328, sigma2_Mg302 = -0.887
#   delr_Mg302, delr_Si328 = -0.880
#   N_Mg302, N_Si328     =  0.874
#   N_Mg302, delr_Si328  = -0.871
#   N_Mg302, sigma2_Si328 = -0.868
#   N_Si328, sigma2_Mg302 =  0.861
#   N_Si328, delr_Si328  = -0.860
#   delr_O203, e0        =  0.847
#   sigma2_Mg302, sigma2_Si328 = -0.834
#   delr_Si328, sigma2_Si328 =  0.829
#   delr_Si328, e0       =  0.474
#   sigma2_Mg302, sigma2_O203 =  0.422
#   N_Mg302, sigma2_O203 =  0.411
#   delr_Si328, sigma2_O203 = -0.409
#   delr_Mg302, sigma2_O203 =  0.377
#   N_Si328, sigma2_O203 =  0.362
#   N_O203, delr_Si328   = -0.356
#   sigma2_O203, sigma2_Si328 = -0.347
#   N_O203, sigma2_Mg302 =  0.334
#   N_Mg302, N_O203      =  0.315
#   delr_O203, delr_Si328 =  0.299
#   N_O203, N_Si328      =  0.282
#   N_O203, delr_Mg302   =  0.281
#   N_O203, sigma2_Si328 = -0.263
#   N_O203, e0           = -0.252
#   N_Si328, e0          = -0.245
#   e0, sigma2_Si328     =  0.182
#   e0, sigma2_Mg302     = -0.178
#   e0, sigma2_O203      = -0.173
#   delr_Mg302, e0       = -0.110
#   N_Si328, delr_O203   = -0.108
#   N_Mg302, e0          = -0.103
#  
# [[Dataset]]
#   unique_id            = 'dk4zm46b'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0031417, std=0.0078020)
#   epsilon_r            = 0.5543385
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  4.2275705 +/- 1.3057237  := 'N_O203 * s02'
#      e0     =  6.6003857 +/- 3.4064260  := 'e0'
#      r      =  2.0464353 +/- 0.0219821  := 'reff + delr_O203'
#      deltar =  0.0130353 +/- 0.0219821  := 'delr_O203'
#      sigma2 =  0.0086395 +/- 0.0035990  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  1.8223947 +/- 3.2414703  := 'N_Si328 * s02'
#      e0     =  6.6003857 +/- 3.4064260  := 'e0'
#      r      =  3.2805019 +/- 0.0574637  := 'reff + delr_Si328'
#      deltar =  0.0017019 +/- 0.0574637  := 'delr_Si328'
#      sigma2 =  0.0010000 +/- 0.0152461  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  0.7624234 +/- 2.8637949  := 'N_Mg302 * s02'
#      e0     =  6.6003857 +/- 3.4064260  := 'e0'
#      r      =  2.9779190 +/- 0.1529507  := 'reff + delr_Mg302'
#      deltar = -0.0394810 +/- 0.1529507  := 'delr_Mg302'
#      sigma2 =  0.0010000 +/- 299.49713  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# k              expdata        model        
 0.000000000   -0.000000000    0.000000000
 0.050000000   -1.615404e-4    0.000000000
 0.100000000   -0.001239903    0.000000000
 0.150000000   -0.004003960    0.000000000
 0.200000000   -0.009047157    0.000000000
 0.250000000   -0.016761178    0.000000000
 0.300000000   -0.027297685    0.000000000
 0.350000000   -0.040524393    0.000000000
 0.400000000   -0.056165822    0.000000000
 0.450000000   -0.073949295    0.000000000
 0.500000000   -0.092981673    0.000000000
 0.550000000   -0.112241657    0.000000000
 0.600000000   -0.132134270    0.000000000
 0.650000000   -0.150585718    0.000000000
 0.700000000   -0.169506985    0.000000000
 0.750000000   -0.187044955    0.000000000
 0.800000000   -0.203367512    0.000000000
 0.850000000   -0.214120121    0.000000000
 0.900000000   -0.217766184    0.000000000
 0.950000000   -0.209202388    0.000000000
 1.000000000   -0.184085750    0.000000000
 1.050000000   -0.133719526    0.000000000
 1.100000000   -0.059169964    0.000000000
 1.150000000    0.053359281    0.000000000
 1.200000000    0.191616962    0.000000000
 1.250000000    0.343263432    0.000000000
 1.300000000    0.492276951    0.000000000
 1.350000000    0.588737319    0.000000000
 1.400000000    0.640870582    0.000000000
 1.450000000    0.679831998    0.000000000
 1.500000000    0.716478014    0.000000000
 1.550000000    0.767359194    0.000000000
 1.600000000    0.797081122    0.000000000
 1.650000000    0.793635000    0.000000000
 1.700000000    0.770207628    0.000000000
 1.750000000    0.677698900    0.000000000
 1.800000000    0.559979370    0.000000000
 1.850000000    0.455492876    0.000000000
 1.900000000    0.387724209    0.000000000
 1.950000000    0.332747164    0.000000000
 2.000000000    0.324315831    0.000000000
 2.050000000    0.358536717    0.000000000
 2.100000000    0.331417484    0.000000000
 2.150000000    0.509965536    0.000000000
 2.200000000    0.617562797    0.000000000
 2.250000000    0.659788387    0.000000000
 2.300000000    0.654216423    0.000000000
 2.350000000    0.635816211    0.000000000
 2.400000000    0.607460654    0.000000000
 2.450000000    0.510140056    0.000000000
 2.500000000    0.302401572    0.000000000
 2.550000000   -0.056727763    0.000000000
 2.600000000   -0.517416317    0.000000000
 2.650000000   -1.096445627    0.000000000
 2.700000000   -1.599148587    0.000000000
 2.750000000   -2.001208214    0.000000000
 2.800000000   -2.352295435    0.000000000
 2.850000000   -2.544548141    0.000000000
 2.900000000   -2.678025209    0.000000000
 2.950000000   -2.851521400    0.000000000
 3.000000000   -2.946579020    0.000000000
 3.050000000   -2.940852169    0.000000000
 3.100000000   -2.978550644    0.000000000
 3.150000000   -2.770589242    0.000000000
 3.200000000   -2.458768098    0.000000000
 3.250000000   -2.209911213    0.000000000
 3.300000000   -1.802833346    0.000000000
 3.350000000   -1.381141063    0.000000000
 3.400000000   -1.012175429    0.000000000
 3.450000000   -0.605996834    0.000000000
 3.500000000   -0.236360946    0.000000000
 3.550000000    0.285008661    0.000000000
 3.600000000    0.848309729    0.000000000
 3.650000000    1.769670284    0.000000000
 3.700000000    2.626536761    0.000000000
 3.750000000    3.300719271    0.000000000
 3.800000000    3.735243750    0.000000000
 3.850000000    4.263850495    0.000000000
 3.900000000    4.609578964    0.000000000
 3.950000000    4.697062793    0.000000000
 4.000000000    4.672740274    0.000000000
 4.050000000    4.659814136    0.000000000
 4.100000000    4.333709499    0.000000000
 4.150000000    3.974542087    0.000000000
 4.200000000    3.739722749    0.000000000
 4.250000000    3.032948814    0.000000000
 4.300000000    2.374433171    0.000000000
 4.350000000    1.929767233    0.000000000
 4.400000000    1.157438316    0.000000000
 4.450000000    0.285195427    0.000000000
 4.500000000   -0.394621749    0.000000000
 4.550000000   -1.057851706    0.000000000
 4.600000000   -1.629161812    0.000000000
 4.650000000   -2.186879165    0.000000000
 4.700000000   -2.712192015    0.000000000
 4.750000000   -2.866364211    0.000000000
 4.800000000   -2.989440441    0.000000000
 4.850000000   -3.214513161    0.000000000
 4.900000000   -3.401034356    0.000000000
 4.950000000   -2.884673554    0.000000000
 5.000000000   -2.840376245    0.000000000
 5.050000000   -2.352290853    0.000000000
 5.100000000   -2.139020822    0.000000000
 5.150000000   -2.119050280    0.000000000
 5.200000000   -2.640688367    0.000000000
 5.250000000   -2.845427614    0.000000000
 5.300000000   -3.662160539    0.000000000
 5.350000000   -3.671221596    0.000000000
 5.400000000   -3.979631290    0.000000000
 5.450000000   -3.893415218    0.000000000
 5.500000000   -3.600592174    0.000000000
 5.550000000   -2.871366449    0.000000000
 5.600000000   -1.824340912    0.000000000
 5.650000000   -0.818497885    0.000000000
 5.700000000    0.294666652    0.000000000
 5.750000000    1.046466872    0.000000000
 5.800000000    1.806044133    0.000000000
 5.850000000    2.544234005    0.000000000
 5.900000000    3.127243231    0.000000000
 5.950000000    4.150074896    0.000000000
 6.000000000    4.817390382    0.000000000
 6.050000000    5.335816662    0.000000000
 6.100000000    5.347455371    0.000000000
 6.150000000    4.726570636    0.000000000
 6.200000000    4.361755498    0.000000000
 6.250000000    4.202523226    0.000000000
 6.300000000    3.805646027    0.000000000
 6.350000000    3.725507109    0.000000000
 6.400000000    3.150460725    0.000000000
 6.450000000    2.504765935    0.000000000
 6.500000000    1.677113465    0.000000000
 6.550000000    0.607158535    0.000000000
 6.600000000   -0.053371156    0.000000000
 6.650000000   -1.101062474    0.000000000
 6.700000000   -1.797689304    0.000000000
 6.750000000   -2.460549723    0.000000000
 6.800000000   -2.957727323    0.000000000
 6.850000000   -3.739647488    0.000000000
 6.900000000   -3.863068306    0.000000000
 6.950000000   -4.741644829    0.000000000
 7.000000000   -4.373714533    0.000000000
 7.050000000   -4.341415340    0.000000000
 7.100000000   -3.014766136    0.000000000
 7.150000000   -2.535261571    0.000000000
 7.200000000   -1.752730309    0.000000000
 7.250000000   -0.370335426    0.000000000
 7.300000000    0.743860080    0.000000000
 7.350000000    1.351920148    0.000000000
 7.400000000    1.283523861    0.000000000
 7.450000000    1.439679080    0.000000000
 7.500000000    1.801107224    0.000000000
 7.550000000    1.490468399    0.000000000
 7.600000000    0.649336553    0.000000000
