# Results for GP17_station15_19908_3cm_036_A_fl.avg.csv "Mar-10 12:35": |chi(R)|
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 107
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 4.82671940
#   reduced chi_square   = 0.31839106
#   r-factor             = 0.01482230
#   Akaike info crit     = -21.5406430
#   Bayesian info crit   = -9.28819984
#  
# [[Parameters]]
#   N_Mg302              =  0.9168389 +/- 4.8757590  (init= 3.0200000)
#   N_O203               =  5.7991094 +/- 1.9406070  (init= 4.8600000)
#   N_Si328              =  2.8581874 +/- 5.7977413  (init= 6.0000000)
#   delr_Mg302           = -0.0474683 +/- 0.2157760  (init= 0.0060000)
#   delr_O203            = -0.0145656 +/- 0.0246917  (init=-0.0175000)
#   delr_Si328           =  0.0010123 +/- 0.0667221  (init=-0.0163000)
#   e0                   =  6.8931579 +/- 3.8470672  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0010000 +/- 0.0070028  (init= 0.0050000)
#   sigma2_O203          =  0.0083374 +/- 0.0037231  (init= 0.0093500)
#   sigma2_Si328         =  0.0013649 +/- 0.0135488  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Si328, sigma2_Si328 =  0.986
#   N_Mg302, sigma2_Mg302 = -0.984
#   N_Si328, delr_Mg302  =  0.943
#   delr_Mg302, sigma2_Si328 =  0.942
#   N_Mg302, delr_Mg302  =  0.939
#   delr_Mg302, sigma2_Mg302 = -0.927
#   delr_Si328, sigma2_Mg302 =  0.892
#   delr_Mg302, delr_Si328 = -0.885
#   N_O203, sigma2_O203  =  0.883
#   N_Mg302, sigma2_Si328 =  0.883
#   N_Mg302, N_Si328     =  0.883
#   N_Si328, sigma2_Mg302 = -0.878
#   N_Mg302, delr_Si328  = -0.872
#   N_Si328, delr_Si328  = -0.863
#   sigma2_Mg302, sigma2_Si328 = -0.861
#   delr_O203, e0        =  0.850
#   delr_Si328, sigma2_Si328 = -0.839
#   delr_Si328, e0       =  0.482
#   delr_O203, delr_Si328 =  0.386
#   N_Si328, e0          = -0.244
#   N_O203, e0           = -0.216
#   e0, sigma2_Si328     = -0.187
#   N_Si328, delr_O203   = -0.187
#   e0, sigma2_Mg302     =  0.179
#   N_O203, delr_Si328   = -0.139
#   delr_Si328, sigma2_O203 = -0.138
#   delr_O203, sigma2_Si328 = -0.138
#   delr_Mg302, e0       = -0.130
#   e0, sigma2_O203      = -0.124
#   delr_O203, sigma2_Mg302 =  0.124
#   sigma2_Mg302, sigma2_O203 = -0.114
#   N_Mg302, sigma2_O203 =  0.109
#   N_Mg302, e0          = -0.107
#  
# [[Dataset]]
#   unique_id            = 'd2zc77fz'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0029857, std=0.0071254)
#   epsilon_r            = 0.5268237
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  4.0593766 +/- 1.3584249  := 'N_O203 * s02'
#      e0     =  6.8931579 +/- 3.8470672  := 'e0'
#      r      =  2.0188344 +/- 0.0246917  := 'reff + delr_O203'
#      deltar = -0.0145656 +/- 0.0246917  := 'delr_O203'
#      sigma2 =  0.0083374 +/- 0.0037231  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  2.0007312 +/- 4.0584189  := 'N_Si328 * s02'
#      e0     =  6.8931579 +/- 3.8470672  := 'e0'
#      r      =  3.2798123 +/- 0.0667221  := 'reff + delr_Si328'
#      deltar =  0.0010123 +/- 0.0667221  := 'delr_Si328'
#      sigma2 =  0.0013649 +/- 0.0135488  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  0.6417873 +/- 3.4130313  := 'N_Mg302 * s02'
#      e0     =  6.8931579 +/- 3.8470672  := 'e0'
#      r      =  2.9699317 +/- 0.2157760  := 'reff + delr_Mg302'
#      deltar = -0.0474683 +/- 0.2157760  := 'delr_Mg302'
#      sigma2 =  0.0010000 +/- 0.0070028  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# r              expdata        model          feffpath_Fe_O203  feffpath_Fe_Si328  feffpath_Fe_Mg302
 0.000000000    0.002239170    0.006468268    0.012637105    0.026128645    0.007023271
 0.030679616    0.001611639    0.004589989    0.014851878    0.026886066    0.007469957
 0.061359232    2.727599e-4    0.004567220    0.018892474    0.028647191    0.008475217
 0.092038847    0.002658518    0.013445071    0.021677898    0.030338662    0.009433782
 0.122718463    0.005309079    0.024641907    0.022356304    0.031047275    0.009911502
 0.153398079    0.007496716    0.035651212    0.022387480    0.030377170    0.009725585
 0.184077695    0.008653449    0.044553095    0.025315737    0.028555852    0.008934341
 0.214757310    0.008406520    0.049901849    0.033241166    0.026444086    0.007850309
 0.245436926    0.006681219    0.051122472    0.044339005    0.025318317    0.007045877
 0.276116542    0.003796639    0.049082176    0.055646549    0.026086075    0.007101560
 0.306796158    0.001494943    0.046810935    0.064815276    0.028408120    0.007996082
 0.337475773    0.004086093    0.049148752    0.070488321    0.031006738    0.009130648
 0.368155389    0.006587885    0.058701122    0.072622368    0.032618194    0.009931423
 0.398835005    0.007480518    0.072943674    0.072840418    0.032483586    0.010081169
 0.429514621    0.006540324    0.087518079    0.074346556    0.030479268    0.009521776
 0.460194236    0.005131862    0.098981558    0.080429160    0.027202774    0.008461346
 0.490873852    0.006869990    0.105573269    0.091955842    0.024087086    0.007413191
 0.521553468    0.010449558    0.107918141    0.107041055    0.023124261    0.007099501
 0.552233084    0.011633873    0.110108441    0.123308517    0.025265904    0.007831575
 0.582912699    0.006601944    0.119786260    0.140012051    0.029235014    0.009089599
 0.613592315    0.008769503    0.143981430    0.159052043    0.033016081    0.010145442
 0.644271931    0.038368228    0.183647552    0.184670760    0.035172053    0.010521685
 0.674951547    0.086065632    0.234941982    0.221416692    0.035029475    0.010042273
 0.705631162    0.154787497    0.293295576    0.271537967    0.032645087    0.008855531
 0.736310778    0.246189896    0.355250447    0.334113146    0.028856383    0.007549908
 0.766990394    0.360240667    0.418974213    0.406119206    0.025377404    0.007204617
 0.797670010    0.494955880    0.484450743    0.483976330    0.024374361    0.008451165
 0.828349625    0.646338850    0.553416500    0.564798134    0.026584023    0.010519323
 0.859029241    0.808569796    0.628887373    0.647292648    0.030335732    0.012324588
 0.889708857    0.974479270    0.714264338    0.732291917    0.033430840    0.013130168
 0.920388473    1.136321107    0.812299054    0.822752849    0.034458358    0.012518010
 0.951068088    1.286842345    0.924387803    0.923083716    0.032959917    0.010368511
 0.981747704    1.420625011    1.050528108    1.037907755    0.029495154    0.007005660
 1.012427320    1.535631810    1.189920724    1.170760886    0.025899829    0.004438418
 1.043106936    1.634782305    1.341929969    1.323376195    0.025132013    0.007413008
 1.073786552    1.727145450    1.507047364    1.495895768    0.028702649    0.012984336
 1.104466167    1.827931473    1.687542113    1.687814773    0.034561240    0.018445099
 1.135145783    1.956197000    1.887542607    1.899127146    0.039683639    0.022744504
 1.165825399    2.129899463    2.112400087    2.131123064    0.041904171    0.025166719
 1.196505015    2.360077146    2.367392381    2.386453055    0.040026059    0.025225667
 1.227184630    2.647467192    2.656091643    2.668325383    0.033855851    0.022703454
 1.257864246    2.983195338    2.978884970    2.979014036    0.024792520    0.017695378
 1.288543862    3.352060390    3.332064113    3.318139595    0.018771905    0.010663760
 1.319223478    3.736052215    3.707641951    3.681291490    0.025848685    0.003221137
 1.349903093    4.116915104    4.093800327    4.059411221    0.040777916    0.007898910
 1.380582709    4.477685364    4.475759213    4.439055326    0.055898100    0.016186310
 1.411262325    4.803497065    4.836869531    4.803392556    0.067515005    0.022994958
 1.441941941    5.081921574    5.159792282    5.133667769    0.073236246    0.027200175
 1.472621556    5.303016378    5.427677814    5.410865979    0.071466221    0.028079810
 1.503301172    5.459205335    5.625285595    5.617364221    0.061489736    0.025457713
 1.533980788    5.545089728    5.739993806    5.738416240    0.043774310    0.020291787
 1.564660404    5.557273938    5.762650206    5.763359607    0.021890484    0.016779231
 1.595340019    5.494266553    5.688218269    5.686469098    0.023305363    0.022379691
 1.626019635    5.356484258    5.516179079    5.507410503    0.053319307    0.035322685
 1.656699251    5.146347043    5.250660631    5.231278995    0.085941037    0.050298470
 1.687378867    4.868418410    4.900281414    4.868236436    0.115314668    0.064286863
 1.718058482    4.529522044    4.477713217    4.432790937    0.137880410    0.075218533
 1.748738098    4.138761718    3.998987227    3.942787351    0.150920634    0.081617713
 1.779417714    3.707384221    3.482586028    3.418196874    0.152739182    0.082820089
 1.810097330    3.248451498    2.948380228    2.879805833    0.143000513    0.079522759
 1.840776945    2.776322012    2.416480815    2.347907166    0.123190340    0.074773078
 1.871456561    2.305976870    1.906086002    1.841092859    0.097576236    0.074836492
 1.902136177    1.852261152    1.434404157    1.375232550    0.075769377    0.086347724
 1.932815793    1.429150684    1.015735118    0.962704031    0.073604850    0.109787622
 1.963495408    1.049226133    0.660802384    0.611917482    0.093437000    0.140356365
 1.994175024    0.723740531    0.376518588    0.327149558    0.119499109    0.172863361
 2.024854640    0.464364342    0.167202571    0.108683726    0.140195717    0.203286752
 2.055534256    0.289278683    0.053588242    0.046930153    0.150467131    0.228973082
 2.086213872    0.224047318    0.083008481    0.145796588    0.150560309    0.249031404
 2.116893487    0.242073879    0.103867801    0.196667323    0.148023038    0.265061095
 2.147573103    0.271925538    0.087691977    0.209556687    0.159496594    0.281896015
 2.178252719    0.281357437    0.053474071    0.195212382    0.200339297    0.307400709
 2.208932335    0.263686476    0.068953660    0.164521036    0.269251417    0.349977559
 2.239611950    0.218812760    0.140548869    0.128339106    0.354919387    0.414545595
 2.270291566    0.149659673    0.226901261    0.097830077    0.445914171    0.500629018
 2.300971182    0.087262747    0.322661597    0.083124158    0.532698088    0.603741612
 2.331650798    0.166337732    0.433318759    0.084966932    0.608019378    0.717553520
 2.362330413    0.346173263    0.568963368    0.093010899    0.667977108    0.835221426
