# Results for GP17_station27_20892_9cm_031_A_fl.avg.csv "Mar-10 12:33": chi(k), k-weighted
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 173
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 15.1217206
#   reduced chi_square   = 0.99749337
#   r-factor             = 0.02284617
#   Akaike info crit     = 7.19088043
#   Bayesian info crit   = 19.4433236
#  
# [[Parameters]]
#   N_Mg302              =  1.1244166 +/- 6.5447131  (init= 3.0200000)
#   N_O203               =  5.4047256 +/- 2.0336060  (init= 4.8600000)
#   N_Si328              =  2.5999732 +/- 4.8578463  (init= 6.0000000)
#   delr_Mg302           = -0.0598641 +/- 0.2769470  (init= 0.0060000)
#   delr_O203            = -0.0065633 +/- 0.0279300  (init=-0.0175000)
#   delr_Si328           =  0.0031908 +/- 0.0496670  (init=-0.0163000)
#   e0                   =  7.2715765 +/- 4.1965256  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0060665 +/- 0.0556704  (init= 0.0050000)
#   sigma2_O203          =  0.0087716 +/- 0.0042843  (init= 0.0093500)
#   sigma2_Si328         =  0.0010000 +/- 0.0109884  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Si328, sigma2_Si328 =  0.981
#   N_Mg302, sigma2_Mg302 =  0.976
#   N_Si328, delr_Mg302  =  0.920
#   delr_Mg302, sigma2_Si328 =  0.911
#   delr_Mg302, sigma2_Mg302 =  0.908
#   N_Mg302, delr_Mg302  =  0.905
#   N_O203, sigma2_O203  =  0.885
#   N_Si328, sigma2_Mg302 =  0.862
#   delr_O203, e0        =  0.849
#   N_Mg302, N_Si328     =  0.833
#   sigma2_Mg302, sigma2_Si328 =  0.830
#   N_Mg302, sigma2_Si328 =  0.821
#   delr_Si328, sigma2_Mg302 = -0.799
#   delr_Mg302, delr_Si328 = -0.780
#   N_Si328, delr_Si328  = -0.776
#   N_Mg302, delr_Si328  = -0.748
#   delr_Si328, sigma2_Si328 = -0.736
#   delr_Si328, e0       =  0.452
#   delr_O203, delr_Si328 =  0.344
#   N_O203, e0           = -0.196
#   N_O203, delr_Si328   = -0.190
#   delr_Si328, sigma2_O203 = -0.166
#   sigma2_Mg302, sigma2_O203 =  0.151
#   N_Mg302, sigma2_O203 =  0.147
#   N_Mg302, delr_O203   =  0.139
#   N_O203, sigma2_Mg302 =  0.132
#   N_Si328, sigma2_O203 =  0.120
#   N_Mg302, N_O203      =  0.118
#   delr_Mg302, sigma2_O203 =  0.118
#   sigma2_O203, sigma2_Si328 =  0.114
#   delr_O203, sigma2_O203 =  0.108
#   N_Si328, e0          = -0.106
#   N_Mg302, e0          =  0.104
#   N_O203, N_Si328      =  0.101
#  
# [[Dataset]]
#   unique_id            = 'dkwolltf'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0018904, std=0.0044625)
#   epsilon_r            = 0.3335534
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  3.7833079 +/- 1.4235242  := 'N_O203 * s02'
#      e0     =  7.2715765 +/- 4.1965256  := 'e0'
#      r      =  2.0268367 +/- 0.0279300  := 'reff + delr_O203'
#      deltar = -0.0065633 +/- 0.0279300  := 'delr_O203'
#      sigma2 =  0.0087716 +/- 0.0042843  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  1.8199812 +/- 3.4004924  := 'N_Si328 * s02'
#      e0     =  7.2715765 +/- 4.1965256  := 'e0'
#      r      =  3.2819908 +/- 0.0496670  := 'reff + delr_Si328'
#      deltar =  0.0031908 +/- 0.0496670  := 'delr_Si328'
#      sigma2 =  0.0010000 +/- 0.0109884  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  0.7870916 +/- 4.5812992  := 'N_Mg302 * s02'
#      e0     =  7.2715765 +/- 4.1965256  := 'e0'
#      r      =  2.9575359 +/- 0.2769470  := 'reff + delr_Mg302'
#      deltar = -0.0598641 +/- 0.2769470  := 'delr_Mg302'
#      sigma2 =  0.0060665 +/- 0.0556704  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# k              expdata        model        
 0.000000000   -0.000000000    0.000000000
 0.050000000   -1.944480e-4    0.000000000
 0.100000000   -0.001495513    0.000000000
 0.150000000   -0.004840969    0.000000000
 0.200000000   -0.010976096    0.000000000
 0.250000000   -0.020442972    0.000000000
 0.300000000   -0.033568028    0.000000000
 0.350000000   -0.050450059    0.000000000
 0.400000000   -0.071015388    0.000000000
 0.450000000   -0.095058066    0.000000000
 0.500000000   -0.121999707    0.000000000
 0.550000000   -0.151371166    0.000000000
 0.600000000   -0.181878984    0.000000000
 0.650000000   -0.213417273    0.000000000
 0.700000000   -0.245019055    0.000000000
 0.750000000   -0.275980432    0.000000000
 0.800000000   -0.303107187    0.000000000
 0.850000000   -0.326203369    0.000000000
 0.900000000   -0.338065330    0.000000000
 0.950000000   -0.337917768    0.000000000
 1.000000000   -0.320933241    0.000000000
 1.050000000   -0.280628580    0.000000000
 1.100000000   -0.223617356    0.000000000
 1.150000000   -0.142932151    0.000000000
 1.200000000   -0.047291448    0.000000000
 1.250000000    0.061440183    0.000000000
 1.300000000    0.167954287    0.000000000
 1.350000000    0.280597660    0.000000000
 1.400000000    0.375147605    0.000000000
 1.450000000    0.469303345    0.000000000
 1.500000000    0.593321788    0.000000000
 1.550000000    0.701493624    0.000000000
 1.600000000    0.777561905    0.000000000
 1.650000000    0.812444290    0.000000000
 1.700000000    0.778901146    0.000000000
 1.750000000    0.735428479    0.000000000
 1.800000000    0.676626355    0.000000000
 1.850000000    0.616820682    0.000000000
 1.900000000    0.606605009    0.000000000
 1.950000000    0.594825293    0.000000000
 2.000000000    0.608727079    0.000000000
 2.050000000    0.620973669    0.000000000
 2.100000000    0.631502049    0.000000000
 2.150000000    0.698714479    0.000000000
 2.200000000    0.732981932    0.000000000
 2.250000000    0.730423247    0.000000000
 2.300000000    0.727190836    0.000000000
 2.350000000    0.785150704    0.000000000
 2.400000000    0.849106985    0.000000000
 2.450000000    0.810980813    0.000000000
 2.500000000    0.700568535    0.000000000
 2.550000000    0.434572078    0.000000000
 2.600000000   -0.004879638    0.000000000
 2.650000000   -0.470124108    0.000000000
 2.700000000   -0.925445457    0.000000000
 2.750000000   -1.391839473    0.000000000
 2.800000000   -1.724789597    0.000000000
 2.850000000   -2.098375021    0.000000000
 2.900000000   -2.396563266    0.000000000
 2.950000000   -2.650529453    0.000000000
 3.000000000   -2.851060196    0.000000000
 3.050000000   -3.088326476    0.000000000
 3.100000000   -3.197536096    0.000000000
 3.150000000   -3.217324741    0.000000000
 3.200000000   -3.146453129    0.000000000
 3.250000000   -2.915835849    0.000000000
 3.300000000   -2.656238546    0.000000000
 3.350000000   -2.212970052    0.000000000
 3.400000000   -1.749151215    0.000000000
 3.450000000   -1.260830061    0.000000000
 3.500000000   -0.774784464    0.000000000
 3.550000000   -0.098972496    0.000000000
 3.600000000    0.521408324    0.000000000
 3.650000000    1.282415138    0.000000000
 3.700000000    2.169063255    0.000000000
 3.750000000    2.788113429    0.000000000
 3.800000000    3.158116660    0.000000000
 3.850000000    3.615163748    0.000000000
 3.900000000    3.831140595    0.000000000
 3.950000000    4.115157223    0.000000000
 4.000000000    4.190932982    0.000000000
 4.050000000    4.017847139    0.000000000
 4.100000000    3.793760043    0.000000000
 4.150000000    3.820799831    0.000000000
 4.200000000    3.535174176    0.000000000
 4.250000000    3.144303276    0.000000000
 4.300000000    2.806853784    0.000000000
 4.350000000    2.534069283    0.000000000
 4.400000000    1.965293765    0.000000000
 4.450000000    1.366330520    0.000000000
 4.500000000    0.801425968    0.000000000
 4.550000000    0.044818366    0.000000000
 4.600000000   -0.579004002    0.000000000
 4.650000000   -1.017627545    0.000000000
 4.700000000   -1.517696069    0.000000000
 4.750000000   -1.942495694    0.000000000
 4.800000000   -2.220775791    0.000000000
 4.850000000   -2.369713397    0.000000000
 4.900000000   -2.666308066    0.000000000
 4.950000000   -2.649528339    0.000000000
 5.000000000   -2.415955181    0.000000000
 5.050000000   -2.171077496    0.000000000
 5.100000000   -2.084151344    0.000000000
 5.150000000   -2.176063066    0.000000000
 5.200000000   -2.330161552    0.000000000
 5.250000000   -2.487464882    0.000000000
 5.300000000   -3.027808611    0.000000000
 5.350000000   -3.406996468    0.000000000
 5.400000000   -3.624533439    0.000000000
 5.450000000   -3.828169704    0.000000000
 5.500000000   -3.675699044    0.000000000
 5.550000000   -3.584515624    0.000000000
 5.600000000   -2.876446558    0.000000000
 5.650000000   -2.210486727    0.000000000
 5.700000000   -1.811859895    0.000000000
 5.750000000   -0.919226427    0.000000000
 5.800000000    0.100350478    0.000000000
 5.850000000    1.139708922    0.000000000
 5.900000000    1.788814064    0.000000000
 5.950000000    2.597353119    0.000000000
 6.000000000    3.563442504    0.000000000
 6.050000000    3.990253626    0.000000000
 6.100000000    4.458767283    0.000000000
 6.150000000    4.594070517    0.000000000
 6.200000000    4.521866200    0.000000000
 6.250000000    4.624234038    0.000000000
 6.300000000    4.381231779    0.000000000
 6.350000000    4.377764224    0.000000000
 6.400000000    4.078065579    0.000000000
 6.450000000    3.489628983    0.000000000
 6.500000000    2.746808746    0.000000000
 6.550000000    2.045689219    0.000000000
 6.600000000    1.209141870    0.000000000
 6.650000000    0.129054774    0.000000000
 6.700000000   -0.652967189    0.000000000
 6.750000000   -1.586632220    0.000000000
 6.800000000   -2.008024696    0.000000000
 6.850000000   -2.464092267    0.000000000
 6.900000000   -3.201637620    0.000000000
 6.950000000   -3.918650635    0.000000000
 7.000000000   -4.047364605    0.000000000
 7.050000000   -3.868610297    0.000000000
 7.100000000   -3.117392545    0.000000000
 7.150000000   -2.433612887    0.000000000
 7.200000000   -1.643441300    0.000000000
 7.250000000   -1.195843914    0.000000000
 7.300000000    0.030338445    0.000000000
 7.350000000    0.109330108    0.000000000
