# Results for GP17_station5_19119_11cm_022_A_fl.avg.csv "Mar-10 12:33": |chi(R)|
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 250
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 10.3879352
#   reduced chi_square   = 0.68523264
#   r-factor             = 0.01832677
#   Akaike info crit     = -2.25627005
#   Bayesian info crit   = 9.99617312
#  
# [[Parameters]]
#   N_Mg302              =  0.7623329 +/- 4.9568369  (init= 3.0200000)
#   N_O203               =  5.7580861 +/- 1.5770274  (init= 4.8600000)
#   N_Si328              =  2.9078228 +/- 5.6045002  (init= 6.0000000)
#   delr_Mg302           = -0.0244445 +/- 0.2531677  (init= 0.0060000)
#   delr_O203            = -0.0072321 +/- 0.0210895  (init=-0.0175000)
#   delr_Si328           = -0.0071235 +/- 0.0633451  (init=-0.0163000)
#   e0                   =  6.7547103 +/- 3.4459818  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0010102 +/- 0.0356039  (init= 0.0050000)
#   sigma2_O203          =  0.0078149 +/- 0.0029691  (init= 0.0093500)
#   sigma2_Si328         =  0.0010000 +/- 2.9285e-5  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Si328, sigma2_Si328 =  0.979
#   N_Mg302, sigma2_Mg302 =  0.977
#   N_Si328, delr_Mg302  =  0.959
#   N_Mg302, delr_Mg302  =  0.957
#   delr_Mg302, delr_Si328 = -0.938
#   delr_Mg302, sigma2_Mg302 =  0.925
#   N_Mg302, N_Si328     =  0.922
#   N_Mg302, delr_Si328  = -0.919
#   delr_Mg302, sigma2_Si328 =  0.914
#   N_Si328, delr_Si328  = -0.907
#   delr_Si328, sigma2_Mg302 = -0.899
#   N_O203, sigma2_O203  =  0.884
#   N_Mg302, sigma2_Si328 =  0.873
#   N_Si328, sigma2_Mg302 =  0.872
#   delr_O203, e0        =  0.867
#   delr_Si328, sigma2_Si328 = -0.852
#   sigma2_Mg302, sigma2_Si328 =  0.793
#   delr_Si328, e0       =  0.675
#   delr_O203, delr_Si328 =  0.568
#   N_Si328, e0          = -0.490
#   delr_Mg302, e0       = -0.473
#   e0, sigma2_Mg302     = -0.465
#   N_Mg302, e0          = -0.429
#   e0, sigma2_Si328     = -0.427
#   N_Si328, delr_O203   = -0.409
#   delr_Mg302, delr_O203 = -0.392
#   delr_O203, sigma2_Mg302 = -0.383
#   delr_O203, sigma2_Si328 = -0.353
#   N_Mg302, delr_O203   = -0.351
#   N_O203, e0           = -0.231
#   N_O203, delr_Si328   = -0.163
#   e0, sigma2_O203      = -0.156
#   delr_Si328, sigma2_O203 = -0.153
#   sigma2_Mg302, sigma2_O203 =  0.132
#   N_Mg302, sigma2_O203 =  0.129
#   delr_Mg302, sigma2_O203 =  0.124
#   N_O203, sigma2_Mg302 =  0.124
#   N_Si328, sigma2_O203 =  0.120
#   N_Mg302, N_O203      =  0.113
#   N_O203, delr_Mg302   =  0.110
#   sigma2_O203, sigma2_Si328 =  0.109
#   N_O203, N_Si328      =  0.106
#  
# [[Dataset]]
#   unique_id            = 'd3ztnypn'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0022991, std=0.0056753)
#   epsilon_r            = 0.4056775
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  4.0306603 +/- 1.1039192  := 'N_O203 * s02'
#      e0     =  6.7547103 +/- 3.4459818  := 'e0'
#      r      =  2.0261679 +/- 0.0210895  := 'reff + delr_O203'
#      deltar = -0.0072321 +/- 0.0210895  := 'delr_O203'
#      sigma2 =  0.0078149 +/- 0.0029691  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  2.0354760 +/- 3.9231502  := 'N_Si328 * s02'
#      e0     =  6.7547103 +/- 3.4459818  := 'e0'
#      r      =  3.2716765 +/- 0.0633451  := 'reff + delr_Si328'
#      deltar = -0.0071235 +/- 0.0633451  := 'delr_Si328'
#      sigma2 =  0.0010000 +/- 2.9285e-5  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  0.5336331 +/- 3.4697858  := 'N_Mg302 * s02'
#      e0     =  6.7547103 +/- 3.4459818  := 'e0'
#      r      =  2.9929555 +/- 0.2531677  := 'reff + delr_Mg302'
#      deltar = -0.0244445 +/- 0.2531677  := 'delr_Mg302'
#      sigma2 =  0.0010102 +/- 0.0356039  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# r              expdata        model        
 0.000000000    0.002307413    0.028044470
 0.030679616    0.001780161    0.027712925
 0.061359232    4.358329e-4    0.027011725
 0.092038847    0.001899703    0.026704317
 0.122718463    0.004156911    0.027595394
 0.153398079    0.006051647    0.029910386
 0.184077695    0.007092790    0.033122746
 0.214757310    0.006953445    0.036412980
 0.245436926    0.005551531    0.039166816
 0.276116542    0.003130115    0.041210506
 0.306796158    0.001200364    0.042844855
 0.337475773    0.003583056    0.044707605
 0.368155389    0.005853437    0.047447090
 0.398835005    0.006760532    0.051333797
 0.429514621    0.005998859    0.056105978
 0.460194236    0.004358445    0.061172652
 0.490873852    0.005112561    0.065975240
 0.521553468    0.008261565    0.070287918
 0.552233084    0.009848011    0.074377412
 0.582912699    0.006556525    0.078988403
 0.613592315    0.006339417    0.085111984
 0.644271931    0.030485633    0.093582183
 0.674951547    0.071061210    0.104733275
 0.705631162    0.131067218    0.118365877
 0.736310778    0.212865768    0.133999776
 0.766990394    0.317578891    0.151190130
 0.797670010    0.444770423    0.169739195
 0.828349625    0.592265616    0.189757831
 0.859029241    0.756139450    0.211594313
 0.889708857    0.930902790    0.235677888
 0.920388473    1.109904916    0.262347661
 0.951068088    1.285959406    0.291740803
 0.981747704    1.452189446    0.323783518
 1.012427320    1.603076899    0.358278392
 1.043106936    1.735678520    0.395042824
 1.073786552    1.850920285    0.434040645
 1.104466167    1.954754904    0.475457264
 1.135145783    2.058726105    0.519687610
 1.165825399    2.179190942    0.567230609
 1.196505015    2.334480731    0.618511342
 1.227184630    2.540219595    0.673675630
 1.257864246    2.804646893    0.732411182
 1.288543862    3.126327608    0.793838857
 1.319223478    3.494974981    0.856492803
 1.349903093    3.894084818    0.918382903
 1.380582709    4.303737532    0.977118043
 1.411262325    4.702786063    1.030066003
 1.441941941    5.070399566    1.074530293
 1.472621556    5.387181526    1.107930258
 1.503301172    5.636049381    1.127974942
 1.533980788    5.802970901    1.132822895
 1.564660404    5.877581967    1.121220280
 1.595340019    5.853670927    1.092609293
 1.626019635    5.729497744    1.047199099
 1.656699251    5.507913788    0.985992670
 1.687378867    5.196255222    0.910765322
 1.718058482    4.805996357    0.823994226
 1.748738098    4.352166626    0.728742545
 1.779417714    3.852553482    0.628506790
 1.810097330    3.326731217    0.527041571
 1.840776945    2.794970059    0.428182746
 1.871456561    2.277088763    0.335700156
 1.902136177    1.791315150    0.253227921
 1.932815793    1.353209949    0.184336179
 1.963495408    0.974684994    0.132696938
 1.994175024    0.663098159    0.101403457
 2.024854640    0.420329074    0.089109069
 2.055534256    0.241712855    0.087337070
 2.086213872    0.115320468    0.087250150
 2.116893487    0.029312700    0.084968385
 2.147573103    0.068542430    0.080564981
 2.178252719    0.146054981    0.076132457
 2.208932335    0.222147768    0.074223240
 2.239611950    0.287164690    0.076259930
 2.270291566    0.329612417    0.081742006
 2.300971182    0.339797321    0.089177217
 2.331650798    0.315729199    0.097592653
 2.362330413    0.278608423    0.107339802
 2.393010029    0.303532777    0.120079483
 2.423689645    0.461312373    0.138069558
 2.454369261    0.726373679    0.163059847
 2.485048876    1.061427270    0.195531516
 2.515728492    1.442554328    0.234703418
 2.546408108    1.849840612    0.278958094
 2.577087724    2.263982857    0.326236839
 2.607767339    2.666065898    0.374281172
 2.638446955    3.038322358    0.420774785
 2.669126571    3.365142360    0.463447752
 2.699806187    3.634032215    0.500174136
 2.730485802    3.836357444    0.529072327
 2.761165418    3.967766143    0.548606308
 2.791845034    4.028231483    0.557680734
 2.822524650    4.021693411    0.555720553
 2.853204265    3.955323954    0.542725705
 2.883883881    3.838489149    0.519292821
 2.914563497    3.681531890    0.486598511
 2.945243113    3.494547508    0.446342240
 2.975922728    3.286353334    0.400650379
 3.006602344    3.063843449    0.351945868
 3.037281960    2.831852166    0.302788616
 3.067961576    2.593527919    0.255688384
 3.098641192    2.351080716    0.212882791
 3.129320807    2.106668801    0.176063170
 3.160000423    1.863175407    0.146048112
 3.190680039    1.624691092    0.122504351
 3.221359655    1.396616767    0.103971277
 3.252039270    1.185380376    0.088385443
 3.282718886    0.997773007    0.073874563
 3.313398502    0.839853675    0.059335710
 3.344078118    0.715360759    0.044617547
 3.374757733    0.623939622    0.030565735
 3.405437349    0.560398778    0.019636510
 3.436116965    0.516390024    0.017034621
 3.466796581    0.483926370    0.022506757
 3.497476196    0.458292069    0.029149949
 3.528155812    0.438844678    0.033898585
 3.558835428    0.427932187    0.035988536
 3.589515044    0.428677708    0.035473958
 3.620194659    0.442619389    0.032840058
 3.650874275    0.468546284    0.028855876
 3.681553891    0.503122823    0.024472057
 3.712233507    0.542376446    0.020678370
 3.742913122    0.582844549    0.018191788
 3.773592738    0.622024247    0.017005320
 3.804272354    0.658351655    0.016372538
 3.834951970    0.690990133    0.015420841
 3.865631585    0.719587344    0.013628048
 3.896311201    0.744062711    0.010891035
 3.926990817    0.764434595    0.007478653
 3.957670433    0.780676789    0.004287669
 3.988350049    0.792595545    0.004195706
 4.019029664    0.799731572    0.007147683
 4.049709280    0.801305130    0.010189273
 4.080388896    0.796226461    0.012446896
 4.111068512    0.783184359    0.013637497
 4.141748127    0.760806833    0.013690666
 4.172427743    0.727868743    0.012683084
 4.203107359    0.683510336    0.010808724
 4.233786975    0.627431046    0.008357029
 4.264466590    0.560033746    0.005719373
 4.295146206    0.482514514    0.003543224
 4.325825822    0.396928996    0.003086460
 4.356505438    0.306361099    0.004273169
 4.387185053    0.215706604    0.005560642
 4.417864669    0.135750311    0.006359784
 4.448544285    0.100565175    0.006540913
 4.479223901    0.141020832    0.006127783
 4.509903516    0.210228882    0.005222497
 4.540583132    0.279789552    0.003977223
 4.571262748    0.341931176    0.002593632
 4.601942364    0.393807759    0.001446888
 4.632621979    0.434169473    0.001474715
 4.663301595    0.462541532    0.002385029
 4.693981211    0.478921711    0.003243547
 4.724660827    0.483629529    0.003811992
 4.755340442    0.477225378    0.004025716
 4.786020058    0.460476206    0.003875683
 4.816699674    0.434354004    0.003387572
 4.847379290    0.400052013    0.002616180
 4.878058905    0.359001766    0.001648866
 4.908738521    0.312875422    6.891629e-4
