sample name ,N%,C%,H%,S%,C/N ratio,C/H ratio
GT-19119-1cm,0.01,2.69,0.473,0.516,235.3197,5.6891
GT-19119-1cm,0.04,2.61,0.373,0.412,62.4381,6.994
GT-19119-1cm,0.02,2.05,0.382,0.367,98.1058,5.3645
GT-19119-3cm,0.04,2.82,0.343,0.327,77.3174,8.217
GT-19119-3cm,0.04,2.87,0.31,0.295,66.1927,9.2613
GT-19119-3cm,0.05,2.92,0.275,0.287,55.8181,10.6341
GT-19119-5cm,0.03,0.62,0.282,0.273,18.1439,2.1858
GT-19119-5cm,0.03,0.57,0.31,0.246,17.4369,1.8272
GT-19119-5cm,0.03,0.54,0.339,0.239,21.2886,1.5862
GT-19119-7cm,0.02,0.25,0.228,0.228,10.4622,1.0757
GT-19119-7cm,0.04,0.24,0.252,0.216,6.1556,0.9649
GT-19119-7cm,0.03,0.23,0.305,0.223,9.0768,0.7686
GT-19119-9cm,0.03,0.19,0.298,0.222,5.4564,0.6296
GT-19119-9cm,0.02,0.19,0.36,0.212,8.6855,0.5209
GT-19119-9cm,0.02,0.19,0.33,0.2,9.6732,0.5868
GT-19119-11cm,0.02,0.15,0.329,0.213,7.9205,0.4686
GT-19119-11cm,0.02,0.16,0.365,0.216,6.5969,0.4256
GT-19119-11cm,0.02,0.16,0.395,0.206,6.7958,0.4023
GT-19119-15cm,0.02,0.14,0.238,0.207,7.8395,0.5694
GT-19119-15cm,0.04,0.14,0.283,0.197,3.6635,0.4847
GT-19119-15cm,0.03,0.14,0.31,0.195,4.5417,0.4438
