#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_FeTiXRD_striated2_4.001: FeXANES_GT15_FeTiXRD_striated2_4.001
#------------------------------------------
# energy, FeXANES_GT15_FeTiXRD_striated2_4.001
 7032.05000,  0.00100115
 7037.05000,  0.00109806
 7042.05000,  6.72707e-4
 7047.05000,  3.24389e-4
 7052.05000, -1.72950e-5
 7057.05000, -3.91817e-4
 7062.05000, -4.60268e-4
 7067.05000, -4.56739e-4
 7072.05000, -5.98443e-4
 7077.05000, -1.96474e-4
 7082.05000,  1.39074e-4
 7087.05000,  9.84868e-4
 7092.05000,  0.00222981
 7097.05000,  0.00387940
 7102.05000,  0.00825628
 7102.35000,  0.00865765
 7102.65000,  0.00914583
 7102.95000,  0.00958283
 7103.25000,  0.00980522
 7103.55000,  0.01002214
 7103.85000,  0.01029752
 7104.15000,  0.01101092
 7104.45000,  0.01133339
 7104.75000,  0.01179219
 7105.05000,  0.01236841
 7105.35000,  0.01274952
 7105.65000,  0.01336881
 7105.95000,  0.01360031
 7106.25000,  0.01458487
 7106.55000,  0.01534908
 7106.85000,  0.01593161
 7107.15000,  0.01676937
 7107.45000,  0.01727303
 7107.75000,  0.01786169
 7108.05000,  0.01889222
 7108.35000,  0.01993524
 7108.65000,  0.02099232
 7108.95000,  0.02199287
 7109.25000,  0.02356545
 7109.55000,  0.02608408
 7109.85000,  0.02758107
 7110.15000,  0.03292868
 7110.45000,  0.03606867
 7110.75000,  0.04037880
 7111.05000,  0.04643822
 7111.35000,  0.05154221
 7111.65000,  0.06052508
 7111.95000,  0.07778019
 7112.25000,  0.08971113
 7112.55000,  0.10003257
 7112.85000,  0.10652981
 7113.15000,  0.11000156
 7113.45000,  0.10998319
 7113.75000,  0.10906951
 7114.05000,  0.10631208
 7114.35000,  0.10056833
 7114.65000,  0.09680720
 7114.95000,  0.09557558
 7115.25000,  0.09610157
 7115.55000,  0.09735784
 7115.85000,  0.10387282
 7116.15000,  0.10987992
 7116.45000,  0.11540802
 7116.75000,  0.12732178
 7117.05000,  0.13228381
 7117.35000,  0.14454345
 7117.65000,  0.16730753
 7117.95000,  0.18615367
 7118.25000,  0.19694024
 7118.55000,  0.23416673
 7118.85000,  0.26603889
 7119.15000,  0.29846267
 7119.45000,  0.33786022
 7119.75000,  0.35902031
 7120.05000,  0.40125294
 7120.35000,  0.45788066
 7120.65000,  0.47582601
 7120.95000,  0.52522166
 7121.25000,  0.54846875
 7121.55000,  0.58184290
 7121.85000,  0.62673081
 7122.15000,  0.66684557
 7122.45000,  0.71198648
 7122.75000,  0.75086283
 7123.05000,  0.79200447
 7123.35000,  0.82310119
 7123.65000,  0.86449503
 7123.95000,  0.89336264
 7124.25000,  0.92150184
 7124.55000,  0.93810117
 7124.85000,  0.96764650
 7125.15000,  0.98376209
 7125.45000,  1.01151076
 7125.75000,  1.03213007
 7126.05000,  1.05080973
 7126.35000,  1.05936148
 7126.65000,  1.08588569
 7126.95000,  1.10490886
 7127.25000,  1.12344171
 7127.55000,  1.13875050
 7127.85000,  1.15677111
 7128.15000,  1.17327247
 7128.45000,  1.18837978
 7128.75000,  1.20014710
 7129.05000,  1.20778106
 7129.35000,  1.21728511
 7129.65000,  1.21890964
 7129.95000,  1.22612619
 7130.25000,  1.22432327
 7130.55000,  1.22196934
 7130.85000,  1.22309916
 7131.15000,  1.21943254
 7131.45000,  1.21584532
