#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_flakydark_Fe_6.001: FeXANES_GT15_flakydark_Fe_6.001
#------------------------------------------
# energy, FeXANES_GT15_flakydark_Fe_6.001
 7032.05000, -6.07055e-4
 7037.05000,  4.73186e-4
 7042.05000,  2.27587e-4
 7047.05000, -6.68737e-6
 7052.05000, -2.34258e-4
 7057.05000, -2.49905e-4
 7062.05000, -4.16001e-4
 7067.05000, -4.20706e-4
 7072.05000, -3.48123e-4
 7077.05000,  2.44887e-4
 7082.05000,  7.30021e-4
 7087.05000,  0.00178039
 7092.05000,  0.00328227
 7097.05000,  0.00590948
 7102.05000,  0.01063261
 7102.35000,  0.01079936
 7102.65000,  0.01124211
 7102.95000,  0.01176306
 7103.25000,  0.01200040
 7103.55000,  0.01231185
 7103.85000,  0.01309286
 7104.15000,  0.01352507
 7104.45000,  0.01393075
 7104.75000,  0.01446899
 7105.05000,  0.01528196
 7105.35000,  0.01600480
 7105.65000,  0.01652121
 7105.95000,  0.01688791
 7106.25000,  0.01776790
 7106.55000,  0.01839323
 7106.85000,  0.01940337
 7107.15000,  0.02030753
 7107.45000,  0.02110091
 7107.75000,  0.02212773
 7108.05000,  0.02343680
 7108.35000,  0.02468398
 7108.65000,  0.02613374
 7108.95000,  0.02694321
 7109.25000,  0.03064358
 7109.55000,  0.03359298
 7109.85000,  0.03812964
 7110.15000,  0.04430841
 7110.45000,  0.05060051
 7110.75000,  0.05617307
 7111.05000,  0.05976752
 7111.35000,  0.06203881
 7111.65000,  0.06285142
 7111.95000,  0.06630838
 7112.25000,  0.06863000
 7112.55000,  0.06925828
 7112.85000,  0.07261592
 7113.15000,  0.07521402
 7113.45000,  0.07550270
 7113.75000,  0.07706943
 7114.05000,  0.07844396
 7114.35000,  0.07981773
 7114.65000,  0.08209166
 7114.95000,  0.08820771
 7115.25000,  0.09450667
 7115.55000,  0.10158678
 7115.85000,  0.11619918
 7116.15000,  0.13266284
 7116.45000,  0.14967000
 7116.75000,  0.18085592
 7117.05000,  0.19714537
 7117.35000,  0.24954689
 7117.65000,  0.28975952
 7117.95000,  0.32486960
 7118.25000,  0.37694120
 7118.55000,  0.44794150
 7118.85000,  0.51243723
 7119.15000,  0.57346372
 7119.45000,  0.62092496
 7119.75000,  0.68710335
 7120.05000,  0.69904288
 7120.35000,  0.75856143
 7120.65000,  0.78634790
 7120.95000,  0.80380735
 7121.25000,  0.83712408
 7121.55000,  0.86309048
 7121.85000,  0.89530603
 7122.15000,  0.91794965
 7122.45000,  0.97377669
 7122.75000,  0.99480304
 7123.05000,  1.03429629
 7123.35000,  1.08118105
 7123.65000,  1.11055678
 7123.95000,  1.13320449
 7124.25000,  1.15463450
 7124.55000,  1.16374268
 7124.85000,  1.17135785
 7125.15000,  1.18601595
 7125.45000,  1.19267313
 7125.75000,  1.20118560
 7126.05000,  1.20452920
 7126.35000,  1.20717447
 7126.65000,  1.21446658
 7126.95000,  1.22189218
 7127.25000,  1.22643632
 7127.55000,  1.23760241
 7127.85000,  1.24589507
 7128.15000,  1.25992217
 7128.45000,  1.27625363
 7128.75000,  1.27942578
 7129.05000,  1.28064023
 7129.35000,  1.27797328
 7129.65000,  1.26977548
 7129.95000,  1.25068415
 7130.25000,  1.24034848
 7130.55000,  1.21864455
 7130.85000,  1.18916785
 7131.15000,  1.17151771
 7131.45000,  1.15894445
 7131.75000,  1.14745529
 7132.05000,  1.12716323
 7133.05000,  1.07556487
 7134.05000,  1.04283025
 7135.05000,  1.01891815
 7136.05000,  1.00149234
 7137.05000,  0.98985669
 7138.05000,  0.98177318
 7139.05000,  0.98756269
 7140.05000,  1.00065905
 7141.05000,  1.00790006
 7142.05000,  1.01207966
 7143.05000,  1.00244389
 7144.05000,  0.98645644
 7145.05000,  0.97504453
 7146.05000,  0.95713332
 7147.05000,  0.93497721
 7148.05000,  0.92663506
 7149.05000,  0.91089200
 7150.05000,  0.90606030
 7151.05000,  0.89965957
 7152.05000,  0.90324189
 7153.05000,  0.91210444
 7154.05000,  0.92060152
 7155.05000,  0.92703579
 7156.05000,  0.93721024
 7157.05000,  0.94839655
 7158.05000,  0.94981540
 7159.05000,  0.96298886
 7160.05000,  0.97188871
 7161.05000,  0.97637316
 7162.05000,  0.99350230
 7163.05000,  1.00131249
 7164.05000,  1.00772055
 7165.05000,  1.01299787
 7166.05000,  1.01841914
 7167.05000,  1.02051167
 7168.05000,  1.01826442
 7169.05000,  1.01974680
 7170.05000,  1.01801367
 7171.05000,  1.02158082
 7172.05000,  1.02502762
 7173.05000,  1.02848930
 7174.05000,  1.03324866
 7175.05000,  1.03639643
 7176.05000,  1.04232391
