#saved Fri Feb 13 15:41:48 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_rectangles_Fe_2.001: FeXANES_GT15_rectangles_Fe_2.001
#------------------------------------------
# energy, FeXANES_GT15_rectangles_Fe_2.001
 7032.05000, -7.58109e-5
 7037.05000,  5.99094e-4
 7042.05000,  2.73766e-4
 7047.05000, -1.04079e-4
 7052.05000, -1.34591e-4
 7057.05000, -4.11673e-4
 7062.05000, -4.75796e-4
 7067.05000, -4.41945e-4
 7072.05000, -4.61062e-4
 7077.05000,  1.63630e-4
 7082.05000,  9.92656e-4
 7087.05000,  0.00205466
 7092.05000,  0.00341929
 7097.05000,  0.00629880
 7102.05000,  0.00981256
 7102.35000,  0.01380452
 7102.65000,  0.01364706
 7102.95000,  0.01447644
 7103.25000,  0.01506371
 7103.55000,  0.01574211
 7103.85000,  0.01611123
 7104.15000,  0.01692336
 7104.45000,  0.01737003
 7104.75000,  0.01787781
 7105.05000,  0.01885964
 7105.35000,  0.01990899
 7105.65000,  0.02007072
 7105.95000,  0.02146055
 7106.25000,  0.02217127
 7106.55000,  0.02333675
 7106.85000,  0.02500019
 7107.15000,  0.02609370
 7107.45000,  0.02723600
 7107.75000,  0.02809720
 7108.05000,  0.03004589
 7108.35000,  0.03075331
 7108.65000,  0.03432715
 7108.95000,  0.03688368
 7109.25000,  0.04007338
 7109.55000,  0.04120517
 7109.85000,  0.04936154
 7110.15000,  0.05785046
 7110.45000,  0.07044109
 7110.75000,  0.07986770
 7111.05000,  0.08577816
 7111.35000,  0.08886057
 7111.65000,  0.08786831
 7111.95000,  0.08630980
 7112.25000,  0.08623455
 7112.55000,  0.08633394
 7112.85000,  0.09017627
 7113.15000,  0.09107251
 7113.45000,  0.09025969
 7113.75000,  0.09070675
 7114.05000,  0.09242922
 7114.35000,  0.09646057
 7114.65000,  0.10386787
 7114.95000,  0.11209115
 7115.25000,  0.12278770
 7115.55000,  0.13311917
 7115.85000,  0.14088048
 7116.15000,  0.16522058
 7116.45000,  0.19050251
 7116.75000,  0.22994854
 7117.05000,  0.27151769
 7117.35000,  0.32191918
 7117.65000,  0.36435130
 7117.95000,  0.46084946
 7118.25000,  0.51665489
 7118.55000,  0.60205079
 7118.85000,  0.63672896
 7119.15000,  0.71009333
 7119.45000,  0.75534156
 7119.75000,  0.80448491
 7120.05000,  0.82947609
 7120.35000,  0.86039660
 7120.65000,  0.88400485
 7120.95000,  0.92339027
 7121.25000,  0.95325833
 7121.55000,  0.97705318
 7121.85000,  1.00237692
 7122.15000,  1.03537486
 7122.45000,  1.05579672
 7122.75000,  1.08369877
 7123.05000,  1.11287499
 7123.35000,  1.12747937
 7123.65000,  1.15693005
 7123.95000,  1.17275975
 7124.25000,  1.18841063
 7124.55000,  1.19375567
 7124.85000,  1.20025836
 7125.15000,  1.20436880
 7125.45000,  1.20502374
 7125.75000,  1.20876350
 7126.05000,  1.21343903
 7126.35000,  1.21208182
 7126.65000,  1.21401092
 7126.95000,  1.21726360
 7127.25000,  1.21551659
 7127.55000,  1.21412141
 7127.85000,  1.21385501
 7128.15000,  1.21369523
 7128.45000,  1.20929311
 7128.75000,  1.20451448
 7129.05000,  1.19759431
 7129.35000,  1.18871120
 7129.65000,  1.18169279
 7129.95000,  1.16913685
 7130.25000,  1.15730106
 7130.55000,  1.13751734
 7130.85000,  1.12205596
 7131.15000,  1.10357301
 7131.45000,  1.08877207
 7131.75000,  1.07041874
 7132.05000,  1.05619106
 7133.05000,  1.02690586
 7134.05000,  1.01653955
 7135.05000,  1.00590993
 7136.05000,  0.99104025
 7137.05000,  0.98001449
 7138.05000,  0.97842478
 7139.05000,  0.97776794
 7140.05000,  0.97657985
 7141.05000,  0.97479126
 7142.05000,  0.97271968
 7143.05000,  0.96369503
 7144.05000,  0.95777818
 7145.05000,  0.94552723
 7146.05000,  0.93339818
 7147.05000,  0.92790217
 7148.05000,  0.91767393
