#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_super_dark_Fe_8.001: FeXANES_GT15_super_dark_Fe_8.001
#------------------------------------------
# energy, FeXANES_GT15_super_dark_Fe_8.001
 7032.05000, -2.38264e-4
 7037.05000,  6.73407e-4
 7042.05000,  3.16056e-4
 7047.05000,  3.34348e-5
 7052.05000, -3.32626e-4
 7057.05000, -6.58457e-4
 7062.05000, -5.04484e-4
 7067.05000, -4.19267e-4
 7072.05000, -2.25742e-4
 7077.05000,  1.92100e-4
 7082.05000,  9.25577e-4
 7087.05000,  0.00214436
 7092.05000,  0.00407497
 7097.05000,  0.00618103
 7102.05000,  0.01119023
 7102.35000,  0.01327107
 7102.65000,  0.01366689
 7102.95000,  0.01388175
 7103.25000,  0.01465730
 7103.55000,  0.01514394
 7103.85000,  0.01544080
 7104.15000,  0.01642047
 7104.45000,  0.01696822
 7104.75000,  0.01781222
 7105.05000,  0.01849204
 7105.35000,  0.01915520
 7105.65000,  0.01999482
 7105.95000,  0.02082140
 7106.25000,  0.02186294
 7106.55000,  0.02279192
 7106.85000,  0.02373708
 7107.15000,  0.02460877
 7107.45000,  0.02608815
 7107.75000,  0.02693875
 7108.05000,  0.02884302
 7108.35000,  0.03023020
 7108.65000,  0.03247955
 7108.95000,  0.03416171
 7109.25000,  0.03908986
 7109.55000,  0.04408873
 7109.85000,  0.04766996
 7110.15000,  0.05805333
 7110.45000,  0.07181654
 7110.75000,  0.08148891
 7111.05000,  0.08639604
 7111.35000,  0.08645902
 7111.65000,  0.08447524
 7111.95000,  0.08080870
 7112.25000,  0.08040520
 7112.55000,  0.08087796
 7112.85000,  0.08243607
 7113.15000,  0.08425844
 7113.45000,  0.08391399
 7113.75000,  0.08363602
 7114.05000,  0.08562106
 7114.35000,  0.08809718
 7114.65000,  0.09520342
 7114.95000,  0.10021484
 7115.25000,  0.10995214
 7115.55000,  0.11877269
 7115.85000,  0.14230613
 7116.15000,  0.15844829
 7116.45000,  0.18505642
 7116.75000,  0.22768158
 7117.05000,  0.27032101
 7117.35000,  0.29679401
 7117.65000,  0.37921740
 7117.95000,  0.44266580
 7118.25000,  0.50987686
 7118.55000,  0.57369782
 7118.85000,  0.63303483
 7119.15000,  0.68125308
 7119.45000,  0.72357505
 7119.75000,  0.76113793
 7120.05000,  0.79636164
 7120.35000,  0.82780280
 7120.65000,  0.85204318
 7120.95000,  0.88216895
 7121.25000,  0.91584059
 7121.55000,  0.94382196
 7121.85000,  0.96914463
 7122.15000,  0.99066191
 7122.45000,  1.02492904
 7122.75000,  1.05412775
 7123.05000,  1.07063811
 7123.35000,  1.10118105
 7123.65000,  1.13681295
 7123.95000,  1.15235621
 7124.25000,  1.17038049
 7124.55000,  1.19066428
 7124.85000,  1.19793107
 7125.15000,  1.21201461
 7125.45000,  1.22068387
 7125.75000,  1.22578965
 7126.05000,  1.22957136
 7126.35000,  1.22669701
 7126.65000,  1.22284427
 7126.95000,  1.21869151
 7127.25000,  1.20839335
 7127.55000,  1.20337644
 7127.85000,  1.18989060
 7128.15000,  1.17821948
 7128.45000,  1.16806402
 7128.75000,  1.15748778
 7129.05000,  1.15049044
 7129.35000,  1.13935172
 7129.65000,  1.13341324
 7129.95000,  1.12337808
 7130.25000,  1.10925094
 7130.55000,  1.09987557
 7130.85000,  1.08898234
 7131.15000,  1.07452867
 7131.45000,  1.06125747
 7131.75000,  1.04961716
 7132.05000,  1.04765870
 7133.05000,  1.01214244
 7134.05000,  1.00077925
 7135.05000,  0.99069625
 7136.05000,  0.98796662
 7137.05000,  0.99114955
 7138.05000,  1.00223314
 7139.05000,  1.00733158
 7140.05000,  0.99939358
 7141.05000,  0.98936328
 7142.05000,  0.98682124
 7143.05000,  0.97033739
 7144.05000,  0.95614147
 7145.05000,  0.94315004
 7146.05000,  0.93201949
 7147.05000,  0.91708238
 7148.05000,  0.90897306
 7149.05000,  0.89945062
 7150.05000,  0.89871870
 7151.05000,  0.90063595
 7152.05000,  0.90725503
 7153.05000,  0.91928453
 7154.05000,  0.92583690
 7155.05000,  0.93481466
 7156.05000,  0.94471348
 7157.05000,  0.95370206
 7158.05000,  0.95849396
 7159.05000,  0.96275700
 7160.05000,  0.97332408
 7161.05000,  0.98322495
 7162.05000,  0.99255259
 7163.05000,  1.00216478
 7164.05000,  1.00816456
 7165.05000,  1.01890779
 7166.05000,  1.03201657
 7167.05000,  1.03722476
 7168.05000,  1.04111413
 7169.05000,  1.04689897
 7170.05000,  1.04779851
 7171.05000,  1.04999539
 7172.05000,  1.04976157
 7173.05000,  1.05072546
 7174.05000,  1.04364971
 7175.05000,  1.03955353
 7176.05000,  1.03763134
 7177.05000,  1.03583127
 7178.05000,  1.03374318
 7179.05000,  1.02867956
 7180.05000,  1.02629846
 7181.05000,  1.02440567
 7182.05000,  1.02180630
 7183.05000,  1.01701425
 7184.05000,  1.01301259
 7185.05000,  1.01062967
 7186.05000,  1.00490299
 7187.05000,  1.00359147
 7188.05000,  1.00167018
 7189.05000,  0.99715857
 7190.05000,  0.99924910
 7191.05000,  0.99136797
 7192.05000,  0.99097541
 7193.05000,  0.99033400
 7194.05000,  0.98951511
 7195.05000,  0.98797832
 7196.05000,  0.98725228
 7197.05000,  0.98640149
 7198.05000,  0.98772040
 7199.05000,  0.98486961
 7200.05000,  0.98594912
 7201.05000,  0.98787139
 7202.05000,  0.98734573
 7203.05000,  0.98690832
 7204.05000,  0.98662563
 7205.05000,  0.98763919
 7206.05000,  0.98878692
 7207.05000,  0.99063818
 7208.05000,  0.99091285
 7209.05000,  0.99458233
 7210.05000,  0.99345961
 7211.05000,  0.99611102
 7212.05000,  0.99791092
 7213.05000,  0.99988319
 7214.05000,  1.00251351
 7215.05000,  1.00275242
 7216.05000,  1.00576509
 7217.05000,  1.00554186
 7218.05000,  1.00956286
 7219.05000,  1.00905818
 7220.05000,  1.01083485
 7221.05000,  1.00807831
 7222.05000,  1.00691041
 7223.05000,  1.00833329
 7224.05000,  1.00648877
 7225.05000,  1.00603621
 7226.05000,  1.00433790
 7227.05000,  1.00403134
 7228.05000,  1.00327161
 7229.05000,  1.00035855
 7230.05000,  0.99925327
 7231.05000,  0.99946432
 7232.05000,  0.99589425
 7233.05000,  0.99485893
 7234.05000,  0.99524618
