#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_Fe_Flaky1_5.001: FeXANES_GT5_Fe_Flaky1_5.001
#------------------------------------------
# energy, FeXANES_GT5_Fe_Flaky1_5.001
 7032.05000,  7.78803e-4
 7037.05000,  5.31967e-4
 7042.05000,  1.74166e-4
 7047.05000,  4.93053e-5
 7052.05000, -3.09181e-4
 7057.05000, -4.18976e-4
 7062.05000, -3.62881e-4
 7067.05000, -2.32480e-4
 7072.05000, -2.47154e-4
 7077.05000,  6.70755e-5
 7082.05000,  7.48159e-4
 7087.05000,  0.00164165
 7092.05000,  0.00291573
 7097.05000,  0.00444111
 7102.05000,  0.00900817
 7102.35000,  0.00937079
 7102.65000,  0.00963600
 7102.95000,  0.00982764
 7103.25000,  0.01017893
 7103.55000,  0.01021346
 7103.85000,  0.01079440
 7104.15000,  0.01115341
 7104.45000,  0.01172922
 7104.75000,  0.01219554
 7105.05000,  0.01272259
 7105.35000,  0.01315553
 7105.65000,  0.01361506
 7105.95000,  0.01411972
 7106.25000,  0.01484699
 7106.55000,  0.01538084
 7106.85000,  0.01612293
 7107.15000,  0.01691655
 7107.45000,  0.01768418
 7107.75000,  0.01864001
 7108.05000,  0.01938215
 7108.35000,  0.02091973
 7108.65000,  0.02222267
 7108.95000,  0.02379908
 7109.25000,  0.02554965
 7109.55000,  0.02883232
 7109.85000,  0.03245675
 7110.15000,  0.03774671
 7110.45000,  0.04310483
 7110.75000,  0.04809037
 7111.05000,  0.05242312
 7111.35000,  0.05592180
 7111.65000,  0.05838923
 7111.95000,  0.06344950
 7112.25000,  0.06552042
 7112.55000,  0.07078968
 7112.85000,  0.07479962
 7113.15000,  0.07794065
 7113.45000,  0.07874607
 7113.75000,  0.07925467
 7114.05000,  0.07839986
 7114.35000,  0.07830534
 7114.65000,  0.07807313
 7114.95000,  0.07947384
 7115.25000,  0.08273877
 7115.55000,  0.08865843
 7115.85000,  0.09694128
 7116.15000,  0.10484583
 7116.45000,  0.11478287
 7116.75000,  0.13650922
 7117.05000,  0.16271637
 7117.35000,  0.18800051
 7117.65000,  0.19486268
 7117.95000,  0.24210667
 7118.25000,  0.28942396
 7118.55000,  0.32172061
 7118.85000,  0.36822797
 7119.15000,  0.43349692
 7119.45000,  0.48422483
 7119.75000,  0.53425796
 7120.05000,  0.56724170
 7120.35000,  0.61650783
 7120.65000,  0.64758654
 7120.95000,  0.67483424
 7121.25000,  0.69908943
