#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_concentric_gray3_Fe_3.001: FeXANES_GT5_concentric_gray3_Fe_3.001
#------------------------------------------
# energy, FeXANES_GT5_concentric_gray3_Fe_3.001
 7032.05000,  7.55627e-4
 7037.05000,  4.51208e-4
 7042.05000,  4.21549e-4
 7047.05000,  1.64477e-4
 7052.05000, -3.57226e-6
 7057.05000, -1.15149e-4
 7062.05000, -2.09991e-4
 7067.05000, -3.12444e-4
 7072.05000, -6.79242e-4
 7077.05000,  3.05075e-5
 7082.05000, -1.17417e-4
 7087.05000,  8.21281e-4
 7092.05000,  0.00182957
 7097.05000,  0.00273795
 7102.05000,  0.00504570
 7102.35000,  0.00575909
 7102.65000,  0.00582167
 7102.95000,  0.00636616
 7103.25000,  0.00658079
 7103.55000,  0.00630230
 7103.85000,  0.00707871
 7104.15000,  0.00696299
 7104.45000,  0.00722005
 7104.75000,  0.00732670
 7105.05000,  0.00798299
 7105.35000,  0.00834150
 7105.65000,  0.00859378
 7105.95000,  0.00917516
 7106.25000,  0.00970129
 7106.55000,  0.00950559
 7106.85000,  0.01051171
 7107.15000,  0.01099637
 7107.45000,  0.01170356
 7107.75000,  0.01164412
 7108.05000,  0.01307282
 7108.35000,  0.01425209
 7108.65000,  0.01524554
 7108.95000,  0.01615264
 7109.25000,  0.01756958
 7109.55000,  0.01859806
 7109.85000,  0.02141326
 7110.15000,  0.02498007
 7110.45000,  0.02888294
 7110.75000,  0.03310493
 7111.05000,  0.03972851
 7111.35000,  0.04552025
 7111.65000,  0.04941877
 7111.95000,  0.05394785
 7112.25000,  0.06206182
 7112.55000,  0.06529150
 7112.85000,  0.07380323
 7113.15000,  0.07737135
 7113.45000,  0.07683270
 7113.75000,  0.07342238
 7114.05000,  0.06957543
 7114.35000,  0.06732258
 7114.65000,  0.06287214
 7114.95000,  0.06194307
 7115.25000,  0.06320481
 7115.55000,  0.06776028
 7115.85000,  0.07471277
 7116.15000,  0.08391197
 7116.45000,  0.09420055
 7116.75000,  0.10815961
 7117.05000,  0.12073145
 7117.35000,  0.14312616
 7117.65000,  0.16295438
 7117.95000,  0.17344885
 7118.25000,  0.20234821
 7118.55000,  0.23304891
 7118.85000,  0.26154391
 7119.15000,  0.27516263
 7119.45000,  0.31205957
 7119.75000,  0.33525870
 7120.05000,  0.37195935
 7120.35000,  0.40720902
 7120.65000,  0.42110891
 7120.95000,  0.45883634
 7121.25000,  0.48096744
 7121.55000,  0.51700488
 7121.85000,  0.53590752
 7122.15000,  0.59669934
 7122.45000,  0.62712492
 7122.75000,  0.65673561
 7123.05000,  0.72426484
 7123.35000,  0.75688081
 7123.65000,  0.78537003
 7123.95000,  0.84174379
 7124.25000,  0.87633958
 7124.55000,  0.89342703
 7124.85000,  0.92733303
 7125.15000,  0.94282626
 7125.45000,  0.99535154
 7125.75000,  1.02971222
 7126.05000,  1.04517051
 7126.35000,  1.08471383
 7126.65000,  1.10906417
 7126.95000,  1.14916094
 7127.25000,  1.18580423
 7127.55000,  1.21693422
 7127.85000,  1.24802230
 7128.15000,  1.26737074
 7128.45000,  1.29313525
 7128.75000,  1.30989483
 7129.05000,  1.31925656
 7129.35000,  1.32366402
 7129.65000,  1.33313078
 7129.95000,  1.33991344
 7130.25000,  1.34385907
 7130.55000,  1.34868899
 7130.85000,  1.34955461
 7131.15000,  1.34811866
 7131.45000,  1.35054364
 7131.75000,  1.34506931
 7132.05000,  1.34428528
 7133.05000,  1.31367988
 7134.05000,  1.29378568
 7135.05000,  1.24036525
 7136.05000,  1.20868038
 7137.05000,  1.18212991
 7138.05000,  1.17098207
 7139.05000,  1.15252217
 7140.05000,  1.14233617
 7141.05000,  1.12803983
 7142.05000,  1.11814064
 7143.05000,  1.10659903
 7144.05000,  1.10235019
 7145.05000,  1.09413459
 7146.05000,  1.08257438
 7147.05000,  1.06341265
 7148.05000,  1.03747160
 7149.05000,  1.01368809
 7150.05000,  0.99320286
 7151.05000,  0.96340905
 7152.05000,  0.94564397
 7153.05000,  0.93242815
 7154.05000,  0.92744239
 7155.05000,  0.91571957
 7156.05000,  0.91011947
 7157.05000,  0.90206186
 7158.05000,  0.89910995
 7159.05000,  0.89338054
 7160.05000,  0.89321896
 7161.05000,  0.89907322
 7162.05000,  0.90243719
