#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky2_FeXRD_1.001: FeXANES_GT5_flaky2_FeXRD_1.001
#------------------------------------------
# energy, FeXANES_GT5_flaky2_FeXRD_1.001
 7032.05000,  1.62324e-4
 7037.05000,  6.30632e-4
 7042.05000,  3.09310e-4
 7047.05000,  2.95027e-4
 7052.05000,  1.21860e-5
 7057.05000, -1.97043e-4
 7062.05000, -3.79098e-4
 7067.05000, -2.75601e-4
 7072.05000, -3.93658e-4
 7077.05000,  2.76600e-7
 7082.05000,  1.31266e-4
 7087.05000,  4.97335e-4
 7092.05000,  0.00146332
 7097.05000,  0.00277853
 7102.05000,  0.00469437
 7102.35000,  0.00561142
 7102.65000,  0.00554978
 7102.95000,  0.00606808
 7103.25000,  0.00604374
 7103.55000,  0.00623891
 7103.85000,  0.00633833
 7104.15000,  0.00675871
 7104.45000,  0.00707653
 7104.75000,  0.00754002
 7105.05000,  0.00759559
 7105.35000,  0.00765009
 7105.65000,  0.00817701
 7105.95000,  0.00879690
 7106.25000,  0.00903712
 7106.55000,  0.00924645
 7106.85000,  0.00973755
 7107.15000,  0.01032021
 7107.45000,  0.01078797
 7107.75000,  0.01090508
 7108.05000,  0.01177781
 7108.35000,  0.01230361
 7108.65000,  0.01318101
 7108.95000,  0.01392066
 7109.25000,  0.01528258
 7109.55000,  0.01672354
 7109.85000,  0.01841940
 7110.15000,  0.02108601
 7110.45000,  0.02381589
 7110.75000,  0.02708766
 7111.05000,  0.03044562
 7111.35000,  0.03450502
 7111.65000,  0.03931705
 7111.95000,  0.04533997
 7112.25000,  0.05140835
 7112.55000,  0.05498210
 7112.85000,  0.05660758
 7113.15000,  0.05843304
 7113.45000,  0.06080421
 7113.75000,  0.06105985
 7114.05000,  0.05983850
 7114.35000,  0.05880435
 7114.65000,  0.05574272
 7114.95000,  0.05421907
 7115.25000,  0.05474247
 7115.55000,  0.05741775
 7115.85000,  0.06162469
 7116.15000,  0.06662739
 7116.45000,  0.07184943
 7116.75000,  0.07965211
 7117.05000,  0.08869969
 7117.35000,  0.10276886
 7117.65000,  0.11746630
 7117.95000,  0.12526617
 7118.25000,  0.14622487
 7118.55000,  0.17357907
 7118.85000,  0.19268535
 7119.15000,  0.22022668
 7119.45000,  0.26038240
 7119.75000,  0.29388046
 7120.05000,  0.32751512
 7120.35000,  0.35970473
 7120.65000,  0.36791140
 7120.95000,  0.41879216
 7121.25000,  0.44958047
 7121.55000,  0.47339361
 7121.85000,  0.50861418
 7122.15000,  0.55845292
 7122.45000,  0.60114873
 7122.75000,  0.65129103
 7123.05000,  0.66476030
 7123.35000,  0.73496581
 7123.65000,  0.78265829
 7123.95000,  0.83302444
 7124.25000,  0.86884630
 7124.55000,  0.90334223
 7124.85000,  0.93312990
 7125.15000,  0.96416774
 7125.45000,  0.97082865
 7125.75000,  1.02750145
 7126.05000,  1.06636355
 7126.35000,  1.07577937
 7126.65000,  1.12974030
 7126.95000,  1.18019087
 7127.25000,  1.21125922
 7127.55000,  1.25772132
 7127.85000,  1.28239470
 7128.15000,  1.32139836
 7128.45000,  1.34190921
 7128.75000,  1.36476395
 7129.05000,  1.36803029
 7129.35000,  1.37662367
 7129.65000,  1.38520806
 7129.95000,  1.38434804
 7130.25000,  1.38302627
 7130.55000,  1.38458164
 7130.85000,  1.38050155
 7131.15000,  1.37769737
 7131.45000,  1.37574247
 7131.75000,  1.37397494
 7132.05000,  1.36614481
 7133.05000,  1.33108448
 7134.05000,  1.28158246
 7135.05000,  1.22152672
 7136.05000,  1.19179340
 7137.05000,  1.17551639
 7138.05000,  1.14091072
 7139.05000,  1.12282139
 7140.05000,  1.10414816
 7141.05000,  1.09999308
 7142.05000,  1.08604122
 7143.05000,  1.08078726
 7144.05000,  1.07125746
 7145.05000,  1.06052597
 7146.05000,  1.04535859
 7147.05000,  1.02501769
 7148.05000,  1.01504380
 7149.05000,  0.97737538
 7150.05000,  0.94266412
 7151.05000,  0.92134862
 7152.05000,  0.90988891
 7153.05000,  0.89112510
 7154.05000,  0.88515071
 7155.05000,  0.87955997
 7156.05000,  0.87434879
 7157.05000,  0.87065492
 7158.05000,  0.86586293
 7159.05000,  0.86777150
 7160.05000,  0.86955716
 7161.05000,  0.87698603
 7162.05000,  0.88481844
 7163.05000,  0.88901922
 7164.05000,  0.90418918
 7165.05000,  0.91680507
 7166.05000,  0.92492880
 7167.05000,  0.94284150
 7168.05000,  0.95167236
 7169.05000,  0.96819698
 7170.05000,  0.98506692
 7171.05000,  0.99512644
 7172.05000,  1.00531803
 7173.05000,  1.01992821
 7174.05000,  1.02703844
 7175.05000,  1.04385182
 7176.05000,  1.05478172
 7177.05000,  1.05780630
 7178.05000,  1.06222042
 7179.05000,  1.06942602
 7180.05000,  1.07071093
 7181.05000,  1.07361468
 7182.05000,  1.07558085
 7183.05000,  1.07337489
 7184.05000,  1.06844579
 7185.05000,  1.06397851
 7186.05000,  1.06800142
 7187.05000,  1.06108725
 7188.05000,  1.05729152
 7189.05000,  1.05376116
 7190.05000,  1.05199553
 7191.05000,  1.04551931
 7192.05000,  1.04258829
 7193.05000,  1.04051452
 7194.05000,  1.03860228
 7195.05000,  1.03390350
 7196.05000,  1.03275897
 7197.05000,  1.03078419
 7198.05000,  1.02791256
 7199.05000,  1.02469072
 7200.05000,  1.01882248
 7201.05000,  1.01695079
 7202.05000,  1.00980101
 7203.05000,  1.00992694
 7204.05000,  1.00632470
 7205.05000,  1.00011101
