#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky2_Fe_13.001: FeXANES_GT5_flaky2_Fe_13.001
#------------------------------------------
# energy, FeXANES_GT5_flaky2_Fe_13.001
 7032.05000, -0.00167514
 7037.05000,  4.57713e-4
 7042.05000,  2.15920e-4
 7047.05000, -4.62275e-5
 7052.05000, -2.39007e-4
 7057.05000, -3.71173e-4
 7062.05000, -2.68378e-4
 7067.05000, -3.85977e-4
 7072.05000,  8.24121e-5
 7077.05000, -1.66655e-4
 7082.05000,  7.21373e-4
 7087.05000,  0.00180899
 7092.05000,  0.00400967
 7097.05000,  0.00811695
 7102.05000,  0.01409411
 7102.35000,  0.01408498
 7102.65000,  0.01463668
 7102.95000,  0.01534128
 7103.25000,  0.01581432
 7103.55000,  0.01628651
 7103.85000,  0.01672018
 7104.15000,  0.01725036
 7104.45000,  0.01823708
 7104.75000,  0.01878078
 7105.05000,  0.01931105
 7105.35000,  0.02065509
 7105.65000,  0.02121423
 7105.95000,  0.02185487
 7106.25000,  0.02277787
 7106.55000,  0.02383413
 7106.85000,  0.02525808
 7107.15000,  0.02698698
 7107.45000,  0.02754798
 7107.75000,  0.02977712
 7108.05000,  0.03092246
 7108.35000,  0.03288537
 7108.65000,  0.03591841
 7108.95000,  0.03869229
 7109.25000,  0.04218682
 7109.55000,  0.04551199
 7109.85000,  0.05132641
 7110.15000,  0.05928735
 7110.45000,  0.07088973
 7110.75000,  0.08716784
 7111.05000,  0.10026864
 7111.35000,  0.11069325
 7111.65000,  0.12287750
 7111.95000,  0.13975893
 7112.25000,  0.16550317
 7112.55000,  0.17508335
 7112.85000,  0.19416658
 7113.15000,  0.19178232
 7113.45000,  0.18538128
 7113.75000,  0.17751527
 7114.05000,  0.17512049
 7114.35000,  0.17511286
 7114.65000,  0.17741603
 7114.95000,  0.18068512
 7115.25000,  0.18557128
 7115.55000,  0.19262972
 7115.85000,  0.19896317
 7116.15000,  0.21658607
 7116.45000,  0.23344779
 7116.75000,  0.25375032
 7117.05000,  0.26970599
 7117.35000,  0.29850062
 7117.65000,  0.32411154
 7117.95000,  0.35337904
 7118.25000,  0.38837977
 7118.55000,  0.42802971
 7118.85000,  0.45021369
 7119.15000,  0.52030144
 7119.45000,  0.56845006
 7119.75000,  0.61653311
 7120.05000,  0.65762407
 7120.35000,  0.69667244
 7120.65000,  0.73075160
 7120.95000,  0.75947502
 7121.25000,  0.78082921
 7121.55000,  0.80642935
 7121.85000,  0.82700068
 7122.15000,  0.84180516
 7122.45000,  0.86765692
 7122.75000,  0.87499070
 7123.05000,  0.91714058
 7123.35000,  0.93628104
 7123.65000,  0.95520428
 7123.95000,  0.96753759
 7124.25000,  0.98526939
 7124.55000,  0.99603771
 7124.85000,  1.00475994
 7125.15000,  1.01151213
 7125.45000,  1.01556629
 7125.75000,  1.02735377
 7126.05000,  1.03200641
 7126.35000,  1.04212294
 7126.65000,  1.05242575
 7126.95000,  1.06078792
 7127.25000,  1.07016153
 7127.55000,  1.08014914
 7127.85000,  1.09529188
 7128.15000,  1.10714010
 7128.45000,  1.11554015
 7128.75000,  1.11888627
 7129.05000,  1.12771914
 7129.35000,  1.13238528
 7129.65000,  1.13868901
 7129.95000,  1.13882031
 7130.25000,  1.13483047
 7130.55000,  1.13389266
 7130.85000,  1.12560852
 7131.15000,  1.12571999
 7131.45000,  1.12098595
 7131.75000,  1.11827817
 7132.05000,  1.11218422
 7133.05000,  1.09229948
 7134.05000,  1.07483533
 7135.05000,  1.06933393
 7136.05000,  1.05481465
 7137.05000,  1.04829448
 7138.05000,  1.04033480
 7139.05000,  1.03498951
 7140.05000,  1.02521539
 7141.05000,  1.02105346
 7142.05000,  1.02170611
 7143.05000,  1.02456873
 7144.05000,  1.02655780
 7145.05000,  1.02417460
 7146.05000,  1.01959796
 7147.05000,  1.01042113
 7148.05000,  1.00077302
 7149.05000,  0.99045484
 7150.05000,  0.98263278
 7151.05000,  0.97462518
 7152.05000,  0.97333706
 7153.05000,  0.96545907
 7154.05000,  0.96243004
 7155.05000,  0.95832898
 7156.05000,  0.95391573
 7157.05000,  0.95168956
 7158.05000,  0.94971611
 7159.05000,  0.95179156
 7160.05000,  0.95485243
 7161.05000,  0.95570082
 7162.05000,  0.95818915
 7163.05000,  0.96114984
 7164.05000,  0.96173308
 7165.05000,  0.96157911
 7166.05000,  0.96245411
 7167.05000,  0.97054950
 7168.05000,  0.97586174
 7169.05000,  0.97944291
 7170.05000,  0.98508790
 7171.05000,  0.98822096
 7172.05000,  0.99254483
 7173.05000,  0.99757534
 7174.05000,  1.00300987
 7175.05000,  1.00649002
 7176.05000,  1.00913682
 7177.05000,  1.01226343
 7178.05000,  1.01466673
 7179.05000,  1.01877165
 7180.05000,  1.02329172
 7181.05000,  1.02582715
 7182.05000,  1.02861564
 7183.05000,  1.03007676
 7184.05000,  1.03151930
 7185.05000,  1.03194507
 7186.05000,  1.03076377
 7187.05000,  1.03147471
 7188.05000,  1.03117280
 7189.05000,  1.02804571
 7190.05000,  1.02949708
 7191.05000,  1.02641632
 7192.05000,  1.02254274
 7193.05000,  1.02208696
 7194.05000,  1.02050615
 7195.05000,  1.02011611
 7196.05000,  1.01669688
 7197.05000,  1.01342184
 7198.05000,  1.01152605
 7199.05000,  1.00919942
 7200.05000,  1.00591170
 7201.05000,  1.00564405
 7202.05000,  1.00290138
 7203.05000,  1.00329393
 7204.05000,  0.99897602
 7205.05000,  0.99917480
 7206.05000,  0.99825839
 7207.05000,  0.99879790
 7208.05000,  0.99942921
 7209.05000,  0.99891670
 7210.05000,  0.99954518
 7211.05000,  1.00014733
 7212.05000,  0.99818348
 7213.05000,  0.99954232
 7214.05000,  0.99807211
 7215.05000,  1.00364466
 7216.05000,  1.00525578
 7217.05000,  1.00524552
 7218.05000,  1.00436369
 7219.05000,  1.00511415
 7220.05000,  1.00663029
 7221.05000,  1.00385253
 7222.05000,  1.00607094
 7223.05000,  1.00967122
 7224.05000,  1.00916006
 7225.05000,  1.01029181
 7226.05000,  1.00813387
 7227.05000,  1.00884449
 7228.05000,  1.00752001
 7229.05000,  1.00519684
 7230.05000,  1.00224117
 7231.05000,  1.00829350
 7232.05000,  1.00101383
 7233.05000,  0.99912344
 7234.05000,  0.99641015
 7235.05000,  0.99398093
 7236.05000,  0.98929801
 7237.05000,  0.98848268
 7238.05000,  0.98816433
 7239.05000,  0.98595856
 7240.05000,  0.98429407
 7241.05000,  0.98273284
 7242.05000,  0.98127759
 7243.05000,  0.98385538
 7244.05000,  0.97931006
 7245.05000,  0.97761170
 7246.05000,  0.97518945
 7247.05000,  0.98170465
 7248.05000,  0.97630282
 7249.05000,  0.97243488
 7250.05000,  0.97494766
