#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky_nodule_Fe_6.001: FeXANES_GT5_flaky_nodule_Fe_6.001
#------------------------------------------
# energy, FeXANES_GT5_flaky_nodule_Fe_6.001
 7032.05000,  4.59112e-4
 7037.05000,  3.02604e-4
 7042.05000,  1.16192e-4
 7047.05000, -1.03523e-4
 7052.05000, -8.93101e-5
 7057.05000, -1.32062e-4
 7062.05000, -3.09792e-4
 7067.05000, -1.23279e-4
 7072.05000, -5.46709e-5
 7077.05000, -1.37924e-5
 7082.05000,  4.07634e-4
 7087.05000,  0.00133076
 7092.05000,  0.00213305
 7097.05000,  0.00329592
 7102.05000,  0.00791210
 7102.35000,  0.00780193
 7102.65000,  0.00861273
 7102.95000,  0.00891716
 7103.25000,  0.00923083
 7103.55000,  0.00943681
 7103.85000,  0.00975058
 7104.15000,  0.01024655
 7104.45000,  0.01116061
 7104.75000,  0.01157803
 7105.05000,  0.01171769
 7105.35000,  0.01227832
 7105.65000,  0.01376534
 7105.95000,  0.01425171
 7106.25000,  0.01470653
 7106.55000,  0.01576632
 7106.85000,  0.01737392
 7107.15000,  0.01845643
 7107.45000,  0.01981206
 7107.75000,  0.02139875
 7108.05000,  0.02442150
 7108.35000,  0.02685766
 7108.65000,  0.02990970
 7108.95000,  0.03368192
 7109.25000,  0.04218984
 7109.55000,  0.04634507
 7109.85000,  0.06473586
 7110.15000,  0.07669002
 7110.45000,  0.10371261
 7110.75000,  0.10365609
 7111.05000,  0.14520611
 7111.35000,  0.16579868
 7111.65000,  0.18740729
 7111.95000,  0.20134288
 7112.25000,  0.21178343
 7112.55000,  0.22467135
 7112.85000,  0.23550867
 7113.15000,  0.24221508
 7113.45000,  0.24844814
 7113.75000,  0.25552495
 7114.05000,  0.25702398
 7114.35000,  0.26760080
 7114.65000,  0.27305656
 7114.95000,  0.27710186
 7115.25000,  0.28449402
 7115.55000,  0.29051880
 7115.85000,  0.29860746
 7116.15000,  0.30868774
 7116.45000,  0.32273977
 7116.75000,  0.32927742
 7117.05000,  0.35200695
 7117.35000,  0.36317863
 7117.65000,  0.37746139
 7117.95000,  0.39884253
 7118.25000,  0.42341118
 7118.55000,  0.44427283
 7118.85000,  0.46054078
 7119.15000,  0.48987890
 7119.45000,  0.51117233
 7119.75000,  0.53312025
 7120.05000,  0.55725351
 7120.35000,  0.57491260
 7120.65000,  0.59542311
 7120.95000,  0.60614784
 7121.25000,  0.63482951
 7121.55000,  0.65489449
 7121.85000,  0.67898165
 7122.15000,  0.70471543
 7122.45000,  0.71942194
 7122.75000,  0.74918633
 7123.05000,  0.77264060
 7123.35000,  0.78836533
 7123.65000,  0.81375802
 7123.95000,  0.83456565
 7124.25000,  0.85191894
 7124.55000,  0.87398951
 7124.85000,  0.88472375
 7125.15000,  0.89893373
 7125.45000,  0.92357390
 7125.75000,  0.93077549
 7126.05000,  0.95776006
 7126.35000,  0.97491473
 7126.65000,  0.99833419
 7126.95000,  1.00381352
 7127.25000,  1.03768016
 7127.55000,  1.05696498
 7127.85000,  1.07178103
 7128.15000,  1.07945146
 7128.45000,  1.10032870
 7128.75000,  1.10810375
 7129.05000,  1.12736766
 7129.35000,  1.13187702
 7129.65000,  1.13447001
 7129.95000,  1.14547671
 7130.25000,  1.14595397
 7130.55000,  1.14475095
 7130.85000,  1.14270195
 7131.15000,  1.14262212
 7131.45000,  1.13286865
 7131.75000,  1.12430205
 7132.05000,  1.11846932
 7133.05000,  1.08737829
 7134.05000,  1.05173334
 7135.05000,  1.02898628
 7136.05000,  1.01380853
 7137.05000,  1.00863973
 7138.05000,  1.00737538
 7139.05000,  1.00816624
 7140.05000,  1.00382228
 7141.05000,  1.00429914
 7142.05000,  1.00247535
 7143.05000,  0.99643721
 7144.05000,  0.99303267
 7145.05000,  0.99069442
 7146.05000,  0.99273407
 7147.05000,  0.99126693
 7148.05000,  0.99015976
 7149.05000,  0.99141676
 7150.05000,  0.98326261
 7151.05000,  0.98370060
 7152.05000,  0.98097482
 7153.05000,  0.97872839
 7154.05000,  0.97524897
 7155.05000,  0.97542348
 7156.05000,  0.97283433
 7157.05000,  0.96947546
 7158.05000,  0.97346794
 7159.05000,  0.97136496
 7160.05000,  0.97405665
 7161.05000,  0.97333316
 7162.05000,  0.96988794
 7163.05000,  0.97730517
 7164.05000,  0.97918374
 7165.05000,  0.98017240
 7166.05000,  0.97963836
 7167.05000,  0.98095597
 7168.05000,  0.98166671
 7169.05000,  0.98546826
 7170.05000,  0.98298757
 7171.05000,  0.98374061
 7172.05000,  0.98609241
 7173.05000,  0.98838984
 7174.05000,  0.98765935
 7175.05000,  0.98396244
 7176.05000,  0.98303605
 7177.05000,  0.98313894
 7178.05000,  0.98230807
 7179.05000,  0.98539433
 7180.05000,  0.98310259
 7181.05000,  0.98313997
 7182.05000,  0.98672692
 7183.05000,  0.98876576
 7184.05000,  0.98900381
 7185.05000,  0.98905102
 7186.05000,  0.99328037
 7187.05000,  0.99506746
 7188.05000,  1.00455360
 7189.05000,  1.00778655
 7190.05000,  1.01543057
 7191.05000,  1.01868001
 7192.05000,  1.01910856
 7193.05000,  1.02061865
 7194.05000,  1.02566678
 7195.05000,  1.02307401
 7196.05000,  1.02042822
 7197.05000,  1.01543485
 7198.05000,  1.00283944
 7199.05000,  0.99906039
 7200.05000,  0.99383032
 7201.05000,  0.98732404
 7202.05000,  0.98226694
 7203.05000,  0.97748040
 7204.05000,  0.97026027
 7205.05000,  0.96895205
 7206.05000,  0.96462742
 7207.05000,  0.96325453
 7208.05000,  0.96853645
 7209.05000,  0.96949622
 7210.05000,  0.97194757
 7211.05000,  0.98906369
 7212.05000,  1.00311317
 7213.05000,  1.01253245
 7214.05000,  1.02628701
 7215.05000,  1.03601528
 7216.05000,  1.05035360
 7217.05000,  1.05789183
 7218.05000,  1.05826206
 7219.05000,  1.06664674
 7220.05000,  1.06950909
 7221.05000,  1.07353375
 7222.05000,  1.07071734
 7223.05000,  1.05936591
 7224.05000,  1.05339496
 7225.05000,  1.04349549
 7226.05000,  1.03754579
 7227.05000,  1.02673341
 7228.05000,  1.01927012
 7229.05000,  1.01036246
 7230.05000,  0.99872831
 7231.05000,  0.98485364
 7232.05000,  0.98408818
 7233.05000,  0.97008264
 7234.05000,  0.96734873
 7235.05000,  0.96143246
 7236.05000,  0.95677859
 7237.05000,  0.95227540
 7238.05000,  0.95259168
 7239.05000,  0.95362887
 7240.05000,  0.95467411
 7241.05000,  0.95607334
 7242.05000,  0.95860201
 7243.05000,  0.96104774
 7244.05000,  0.96237412
 7245.05000,  0.96290595
 7246.05000,  0.96810682
 7247.05000,  0.96913520
 7248.05000,  0.96750783
 7249.05000,  0.97323275
 7250.05000,  0.97353012
 7251.05000,  0.97458088
 7252.05000,  0.97690356
 7253.05000,  0.97657403
 7254.05000,  0.98363404
 7255.05000,  0.98635836
 7256.05000,  0.97222231
 7257.05000,  0.97235701
 7258.05000,  0.97751113
 7259.05000,  0.97757569
 7260.05000,  0.97333230
 7261.05000,  0.97794594
 7262.05000,  0.98118768
 7263.05000,  0.98476253
 7264.05000,  0.99742921
 7265.05000,  0.98322697
 7266.05000,  0.98247350
 7267.05000,  0.98188371
 7268.05000,  0.98303814
 7269.05000,  0.97522563
 7270.05000,  0.98997851
 7271.05000,  0.99790650
 7272.05000,  1.00224623
 7273.05000,  1.00624032
 7274.05000,  1.00805144
 7275.05000,  1.01167511
 7276.05000,  1.01049724
 7277.05000,  1.01828637
 7278.05000,  1.01365233
 7279.05000,  1.01277848
 7280.05000,  1.01618690
 7281.05000,  1.01947953
 7282.05000,  1.01917356
 7283.05000,  1.02518266
 7284.05000,  1.02635275
 7285.05000,  1.02897788
 7286.05000,  1.02640036
 7287.05000,  1.03102834
 7288.05000,  1.03475675
 7289.05000,  1.03562339
 7290.05000,  1.03479986
 7291.05000,  1.03353711
 7292.05000,  1.03504781
 7293.05000,  1.02784116
 7294.05000,  1.03277807
 7295.05000,  1.02242431
 7296.05000,  1.02853368
 7297.05000,  1.02371742
 7298.05000,  1.01190517
 7299.05000,  1.01364048
 7300.05000,  1.00781981
 7301.05000,  1.00560219
 7302.05000,  0.99866787
 7303.05000,  0.99546435
 7304.05000,  0.99144161
