#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flakysmooth2_Fe_19.001: FeXANES_GT5_flakysmooth2_Fe_19.001
#------------------------------------------
# energy, FeXANES_GT5_flakysmooth2_Fe_19.001
 7032.05000,  3.44316e-4
 7037.05000,  1.76999e-4
 7042.05000,  1.08222e-4
 7047.05000,  6.51337e-5
 7052.05000,  9.77783e-6
 7057.05000, -2.54789e-4
 7062.05000, -3.14689e-4
 7067.05000, -3.73395e-4
 7072.05000,  1.87791e-4
 7077.05000,  3.03933e-4
 7082.05000,  9.10159e-5
 7087.05000,  0.00135738
 7092.05000,  0.00240847
 7097.05000,  0.00349977
 7102.05000,  0.00677945
 7102.35000,  0.00658313
 7102.65000,  0.00739757
 7102.95000,  0.00726485
 7103.25000,  0.00749777
 7103.55000,  0.00794020
 7103.85000,  0.00811993
 7104.15000,  0.00875803
 7104.45000,  0.00885687
 7104.75000,  0.00949930
 7105.05000,  0.00961645
 7105.35000,  0.00975245
 7105.65000,  0.00971780
 7105.95000,  0.01118833
 7106.25000,  0.01176769
 7106.55000,  0.01227741
 7106.85000,  0.01240418
 7107.15000,  0.01343625
 7107.45000,  0.01419072
 7107.75000,  0.01471657
 7108.05000,  0.01607370
 7108.35000,  0.01730109
 7108.65000,  0.01852718
 7108.95000,  0.02003366
 7109.25000,  0.02171350
 7109.55000,  0.02494248
 7109.85000,  0.02926039
 7110.15000,  0.03352708
 7110.45000,  0.04287421
 7110.75000,  0.05317770
 7111.05000,  0.06025799
 7111.35000,  0.07062744
 7111.65000,  0.07254748
 7111.95000,  0.07886950
 7112.25000,  0.08440287
 7112.55000,  0.09155848
 7112.85000,  0.10236581
 7113.15000,  0.10553851
 7113.45000,  0.10119306
 7113.75000,  0.09191717
 7114.05000,  0.08093081
 7114.35000,  0.07288388
 7114.65000,  0.06804622
 7114.95000,  0.07059321
 7115.25000,  0.07348075
 7115.55000,  0.08582092
 7115.85000,  0.09757952
 7116.15000,  0.11451233
 7116.45000,  0.13632915
 7116.75000,  0.15627129
 7117.05000,  0.18666423
 7117.35000,  0.22277234
 7117.65000,  0.27040595
 7117.95000,  0.29911547
 7118.25000,  0.33740949
 7118.55000,  0.38379787
 7118.85000,  0.41722161
 7119.15000,  0.44085596
 7119.45000,  0.47908114
 7119.75000,  0.49320341
 7120.05000,  0.53219928
 7120.35000,  0.55995383
 7120.65000,  0.58595055
 7120.95000,  0.61249572
 7121.25000,  0.64344139
 7121.55000,  0.67152038
 7121.85000,  0.70891941
 7122.15000,  0.73525184
 7122.45000,  0.76823997
 7122.75000,  0.81394055
 7123.05000,  0.82262266
 7123.35000,  0.87700312
 7123.65000,  0.89798931
 7123.95000,  0.92426407
 7124.25000,  0.94169997
 7124.55000,  0.97746769
 7124.85000,  0.98380964
 7125.15000,  1.01699804
 7125.45000,  1.01960605
 7125.75000,  1.04949225
 7126.05000,  1.06180535
 7126.35000,  1.07855710
 7126.65000,  1.08232125
 7126.95000,  1.09328973
 7127.25000,  1.10219382
 7127.55000,  1.12128385
 7127.85000,  1.12199069
 7128.15000,  1.13497759
 7128.45000,  1.14495634
 7128.75000,  1.14953577
 7129.05000,  1.15285720
 7129.35000,  1.15589889
 7129.65000,  1.15947636
 7129.95000,  1.16160010
 7130.25000,  1.16331873
 7130.55000,  1.16327412
 7130.85000,  1.16541859
 7131.15000,  1.16050925
 7131.45000,  1.16099575
 7131.75000,  1.15787612
 7132.05000,  1.15566867
 7133.05000,  1.15312763
 7134.05000,  1.15167591
 7135.05000,  1.14502068
 7136.05000,  1.13911136
 7137.05000,  1.13057137
 7138.05000,  1.12192726
 7139.05000,  1.10756841
 7140.05000,  1.09785564
 7141.05000,  1.08900132
 7142.05000,  1.08591694
 7143.05000,  1.07145561
 7144.05000,  1.05607538
 7145.05000,  1.04843031
 7146.05000,  1.02982468
 7147.05000,  1.01765207
 7148.05000,  1.00056397
 7149.05000,  0.98865745
 7150.05000,  0.97226853
 7151.05000,  0.95735877
 7152.05000,  0.94262307
 7153.05000,  0.93417211
 7154.05000,  0.92469851
 7155.05000,  0.91588593
 7156.05000,  0.90897654
 7157.05000,  0.90276632
 7158.05000,  0.89895034
 7159.05000,  0.89691038
 7160.05000,  0.89952130
 7161.05000,  0.89863164
 7162.05000,  0.89972136
 7163.05000,  0.89943081
 7164.05000,  0.90211895
 7165.05000,  0.91093428
 7166.05000,  0.91381038
 7167.05000,  0.91673987
 7168.05000,  0.92513681
 7169.05000,  0.93287294
 7170.05000,  0.93675446
 7171.05000,  0.94652414
 7172.05000,  0.95515056
 7173.05000,  0.96104980
 7174.05000,  0.97110284
 7175.05000,  0.97837327
 7176.05000,  0.98319973
 7177.05000,  0.98133209
 7178.05000,  0.98646413
 7179.05000,  0.99096693
 7180.05000,  0.99667548
 7181.05000,  1.00102543
 7182.05000,  1.00093281
 7183.05000,  1.00594592
 7184.05000,  1.00635028
 7185.05000,  1.00866208
 7186.05000,  1.01498901
 7187.05000,  1.01350483
 7188.05000,  1.01641653
 7189.05000,  1.01848179
 7190.05000,  1.01824750
 7191.05000,  1.01964436
 7192.05000,  1.01605023
 7193.05000,  1.01819761
 7194.05000,  1.01722891
 7195.05000,  1.01607292
 7196.05000,  1.01703037
 7197.05000,  1.01610525
 7198.05000,  1.01778239
 7199.05000,  1.01779570
 7200.05000,  1.01381045
 7201.05000,  1.01501776
 7202.05000,  1.01474718
 7203.05000,  1.01441966
 7204.05000,  1.01353815
 7205.05000,  1.01464058
 7206.05000,  1.00705728
 7207.05000,  1.01066366
 7208.05000,  1.00799105
 7209.05000,  1.00685167
 7210.05000,  1.00847526
 7211.05000,  1.00499852
 7212.05000,  1.00393978
 7213.05000,  1.00262163
 7214.05000,  1.00039165
 7215.05000,  0.99952777
 7216.05000,  1.00016788
 7217.05000,  0.99771418
 7218.05000,  0.99521274
 7219.05000,  0.99548929
 7220.05000,  0.99637765
 7221.05000,  0.99360451
 7222.05000,  0.99348390
 7223.05000,  0.98925640
 7224.05000,  0.99171166
 7225.05000,  0.98680370
 7226.05000,  0.98727930
 7227.05000,  0.98681992
 7228.05000,  0.98571769
 7229.05000,  0.98485644
 7230.05000,  0.98454611
