#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_white_gray_particles_Fe_5.001: FeXANES_GT5_white_gray_particles_Fe_5.001
#------------------------------------------
# energy, FeXANES_GT5_white_gray_particles_Fe_5.001
 7032.05000, -0.00134958
 7037.05000,  6.24840e-4
 7042.05000,  3.55430e-4
 7047.05000,  1.00106e-5
 7052.05000, -4.84839e-4
 7057.05000, -3.73417e-4
 7062.05000, -6.98179e-4
 7067.05000, -3.31692e-4
 7072.05000, -2.36445e-4
 7077.05000,  4.99734e-4
 7082.05000,  6.34559e-4
 7087.05000,  0.00231841
 7092.05000,  0.00450595
 7097.05000,  0.00777033
 7102.05000,  0.01197240
 7102.35000,  0.01380057
 7102.65000,  0.01419305
 7102.95000,  0.01494332
 7103.25000,  0.01549051
 7103.55000,  0.01603874
 7103.85000,  0.01667317
 7104.15000,  0.01740752
 7104.45000,  0.01817139
 7104.75000,  0.01855210
 7105.05000,  0.01949874
 7105.35000,  0.02028088
 7105.65000,  0.02127162
 7105.95000,  0.02194920
 7106.25000,  0.02262718
 7106.55000,  0.02381936
 7106.85000,  0.02429362
 7107.15000,  0.02588100
 7107.45000,  0.02737996
 7107.75000,  0.02904219
 7108.05000,  0.03041973
 7108.35000,  0.03239820
 7108.65000,  0.03372081
 7108.95000,  0.03729308
 7109.25000,  0.04088710
 7109.55000,  0.04577970
 7109.85000,  0.04938132
 7110.15000,  0.05989905
 7110.45000,  0.07074060
 7110.75000,  0.08474230
 7111.05000,  0.09277547
 7111.35000,  0.09413253
 7111.65000,  0.09449329
 7111.95000,  0.09168462
 7112.25000,  0.09051185
 7112.55000,  0.09030422
 7112.85000,  0.09270039
 7113.15000,  0.09393427
 7113.45000,  0.09336628
 7113.75000,  0.09383481
 7114.05000,  0.09648303
 7114.35000,  0.09748403
 7114.65000,  0.10638341
 7114.95000,  0.11022361
 7115.25000,  0.12439034
 7115.55000,  0.13722950
 7115.85000,  0.15039874
 7116.15000,  0.17617762
 7116.45000,  0.20226065
 7116.75000,  0.23571545
 7117.05000,  0.27687223
 7117.35000,  0.31185794
 7117.65000,  0.37808262
 7117.95000,  0.42498915
 7118.25000,  0.50504799
 7118.55000,  0.55202641
 7118.85000,  0.63225000
 7119.15000,  0.68361593
 7119.45000,  0.69606608
 7119.75000,  0.75679113
 7120.05000,  0.78169697
 7120.35000,  0.81858367
 7120.65000,  0.85453058
 7120.95000,  0.88219731
 7121.25000,  0.91950633
 7121.55000,  0.94687313
 7121.85000,  0.96651897
 7122.15000,  0.99129745
 7122.45000,  1.02355360
 7122.75000,  1.05161002
 7123.05000,  1.08182733
 7123.35000,  1.10486000
 7123.65000,  1.12971348
 7123.95000,  1.14480013
 7124.25000,  1.15386875
 7124.55000,  1.17613403
 7124.85000,  1.18524064
 7125.15000,  1.19505698
 7125.45000,  1.20374852
 7125.75000,  1.21185428
 7126.05000,  1.21997245
 7126.35000,  1.22316126
 7126.65000,  1.22760754
 7126.95000,  1.22949674
 7127.25000,  1.23219443
 7127.55000,  1.23272430
 7127.85000,  1.22348509
 7128.15000,  1.22438411
 7128.45000,  1.21953748
 7128.75000,  1.21329159
 7129.05000,  1.20243011
 7129.35000,  1.19506030
 7129.65000,  1.18245293
 7129.95000,  1.16702503
 7130.25000,  1.16261365
 7130.55000,  1.14165195
 7130.85000,  1.12574764
 7131.15000,  1.11065891
 7131.45000,  1.09986902
 7131.75000,  1.08122165
 7132.05000,  1.06942161
 7133.05000,  1.05601998
 7134.05000,  1.03805208
 7135.05000,  1.02666042
 7136.05000,  1.01011142
 7137.05000,  1.00585132
 7138.05000,  1.00473565
 7139.05000,  1.00922203
 7140.05000,  1.01012956
 7141.05000,  1.00639631
 7142.05000,  1.00121186
 7143.05000,  0.99652274
 7144.05000,  0.98052349
 7145.05000,  0.96640251
 7146.05000,  0.94716938
 7147.05000,  0.93628037
 7148.05000,  0.92318311
 7149.05000,  0.91450907
 7150.05000,  0.91471734
 7151.05000,  0.91278796
 7152.05000,  0.91992641
 7153.05000,  0.92898512
 7154.05000,  0.93763652
 7155.05000,  0.95023444
 7156.05000,  0.95806809
 7157.05000,  0.96355971
 7158.05000,  0.96987401
 7159.05000,  0.97720260
 7160.05000,  0.97924789
 7161.05000,  0.98999892
 7162.05000,  0.99662892
 7163.05000,  1.00387689
 7164.05000,  1.01192112
 7165.05000,  1.02330638
 7166.05000,  1.03280402
 7167.05000,  1.04241697
 7168.05000,  1.04444595
 7169.05000,  1.05131411
 7170.05000,  1.05707201
 7171.05000,  1.05708087
 7172.05000,  1.05687979
 7173.05000,  1.05364733
 7174.05000,  1.04832466
 7175.05000,  1.04813355
 7176.05000,  1.04672786
 7177.05000,  1.04348040
 7178.05000,  1.04496299
 7179.05000,  1.04227036
 7180.05000,  1.04035223
 7181.05000,  1.03907101
 7182.05000,  1.03139485
 7183.05000,  1.03047779
 7184.05000,  1.02710222
 7185.05000,  1.02312845
 7186.05000,  1.02006648
 7187.05000,  1.01827110
 7188.05000,  1.01684450
 7189.05000,  1.01500083
 7190.05000,  1.00853487
 7191.05000,  1.00623338
 7192.05000,  1.00565710
 7193.05000,  1.00135506
 7194.05000,  0.99955663
 7195.05000,  0.99777145
 7196.05000,  0.99425262
 7197.05000,  0.99551802
 7198.05000,  0.99289848
 7199.05000,  0.99122332
 7200.05000,  0.99160698
 7201.05000,  0.99163180
 7202.05000,  0.99173801
 7203.05000,  0.98896510
 7204.05000,  0.98754612
 7205.05000,  0.98805859
 7206.05000,  0.98724422
 7207.05000,  0.98643800
 7208.05000,  0.98803498
 7209.05000,  0.98769295
 7210.05000,  0.98790158
 7211.05000,  0.99154918
 7212.05000,  0.99127790
