spectrum,cluster,r_factor,r_factor_w,chi_sq,weight_sum,n_refs,Biotite,Mackinawite (aged),Siderite-s,Hornblende,Augite,Mackinawite,Siderite-n,Vivianite,6L-Fhy,Ferrosmectite,Maghemite,Pyrrhotite,2L-Fhy,Ilmenite,Jarosite,Green Rust - Carbonate,Green Rust - Sulfate,Hematite,Nontronite,Lepidocrocite,Pyrite,Hematite on sand,2L-Fhy on sand,FeS,Schwertmannite,Goethite
FeXANES_GT15_FeTiXRD_striated2_1.001,4,0.0190,0.0216,0.0004,1.0111,3,0.0755,0.0000,0.7562,0.0000,0.0000,0.1683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_FeTiXRD_striated2_2.001,4,0.0143,0.0185,0.0003,1.0216,2,0.0000,0.0000,0.7430,0.0000,0.0000,0.2570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_FeTiXRD_striated2_3.001,4,0.0143,0.0184,0.0003,1.0217,2,0.0000,0.0000,0.7521,0.0000,0.0000,0.2479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_FeTiXRD_striated2_4.001,5,0.0123,0.0136,0.0001,1.0276,3,0.1179,0.0000,0.4090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_FeTiXRD_striated2_5.001,5,0.0199,0.0234,0.0005,1.0230,3,0.0000,0.0000,0.6781,0.0000,0.0000,0.0632,0.0000,0.0000,0.0000,0.0000,0.2587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_FeTiXRD_striated2_6.001,3,0.0288,0.0315,0.0009,1.0117,3,0.4245,0.0000,0.0000,0.0000,0.0000,0.0000,0.1863,0.0000,0.0000,0.0000,0.0000,0.3892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_FeTiXRD_striated2_7.001,4,0.0145,0.0163,0.0003,1.0238,3,0.2293,0.0000,0.3530,0.0000,0.0000,0.4177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_FeTiXRD_striated2_8.001,3,0.0310,0.0333,0.0012,1.0220,3,0.4870,0.0000,0.0000,0.0000,0.0000,0.3230,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_Fe_1.001,3,0.0301,0.0326,0.0009,1.0073,3,0.4179,0.0000,0.0000,0.0000,0.0000,0.0000,0.1834,0.0000,0.0000,0.0000,0.0000,0.3987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_Fe_2.001,1,0.0100,0.0109,0.0001,1.0092,3,0.3070,0.0000,0.5379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_Fe_3.001,1,0.0111,0.0124,0.0001,1.0068,3,0.0000,0.0000,0.5897,0.0000,0.0000,0.0000,0.1869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_Fe_4.001,4,0.0289,0.0305,0.0008,1.0001,3,0.2321,0.0000,0.5836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_Fe_5.001,5,0.0199,0.0228,0.0005,1.0237,3,0.0000,0.1367,0.0000,0.0000,0.0000,0.0000,0.0000,0.3219,0.0000,0.0000,0.5414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_Fe_6.001,4,0.0181,0.0207,0.0004,1.0148,3,0.2363,0.0000,0.1766,0.0000,0.0000,0.5871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
