spectrum,cluster,fe_counts,fe_source,map_file,n_pixels
FeXANES_GT15_flakydark_Fe_1.001,3,45471.85546875,map_pixel,1x1_10um_flaky_dark_gt15_001.h5,1
FeXANES_GT15_flakydark_Fe_2.001,3,44664.94921875,map_pixel,1x1_10um_flaky_dark_gt15_001.h5,1
FeXANES_GT15_flakydark_Fe_3.001,3,43071.0,map_pixel,1x1_10um_flaky_dark_gt15_001.h5,1
FeXANES_GT15_flakydark_Fe_4.001,1,38368.50390625,map_pixel,1x1_10um_flaky_dark_gt15_001.h5,1
FeXANES_GT15_flakydark_Fe_5.001,3,37787.85546875,map_pixel,1x1_10um_flaky_dark_gt15_001.h5,1
FeXANES_GT15_flakydark_Fe_6.001,3,45998.26953125,map_pixel,1x1_10um_flaky_dark_gt15_001.h5,1
FeXANES_GT15_flaky_gray_mix_Fe_1.001,1,21791.658203125,map_pixel,1x1_10um_flaky_gray_mix_gt15_001.h5,1
FeXANES_GT15_flaky_gray_mix_Fe_2.001,1,22009.345703125,map_pixel,1x1_10um_flaky_gray_mix_gt15_001.h5,1
FeXANES_GT15_flaky_gray_mix_Fe_3.001,5,16629.783203125,map_pixel,1x1_10um_flaky_gray_mix_gt15_001.h5,1
FeXANES_GT15_flaky_gray_mix_Fe_4.001,2,11143.5908203125,map_pixel,1x1_10um_flaky_gray_mix_gt15_001.h5,1
FeXANES_GT15_flaky_gray_mix_Fe_5.001,1,13838.32421875,map_pixel,1x1_10um_flaky_gray_mix_gt15_001.h5,1
FeXANES_GT15_flaky_gray_mix_Fe_6.001,1,13527.6591796875,map_pixel,1x1_10um_flaky_gray_mix_gt15_001.h5,1
FeXANES_GT15_flaky_gray_mix_Fe_7.001,2,18879.150390625,map_pixel,1x1_10um_flaky_gray_mix_gt15_001.h5,1
FeXANES_GT15_flaky_gray_mix_Fe_8.001,2,20301.94140625,map_pixel,1x1_10um_flaky_gray_mix_gt15_001.h5,1
FeXANES_GT5_concentric_gray1_Fe_1.001,1,42875.61328125,map_pixel,2x2_10um_concentric_gray_1_001.h5,1
FeXANES_GT5_concentric_gray1_Fe_2.001,1,41902.92578125,map_pixel,2x2_10um_concentric_gray_1_001.h5,1
FeXANES_GT5_concentric_gray1_Fe_3.001,4,39171.64453125,map_pixel,2x2_10um_concentric_gray_1_001.h5,1
FeXANES_GT5_concentric_gray1_Fe_4.001,1,48084.8515625,map_pixel,2x2_10um_concentric_gray_1_001.h5,1
FeXANES_GT5_concentric_gray1_Fe_5.001,1,32604.125,map_pixel,2x2_10um_concentric_gray_1_001.h5,1
FeXANES_GT5_concentric_gray1_Fe_6.001,1,29842.349609375,map_pixel,2x2_10um_concentric_gray_1_001.h5,1
FeXANES_GT5_concentric_gray1_Fe_7.001,1,23064.203125,map_pixel,2x2_10um_concentric_gray_1_001.h5,1
FeXANES_GT5_concentric_gray1_Fe_8.001,2,30370.8125,map_pixel,2x2_10um_concentric_gray_1_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_1.001,5,12902.8203125,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_10.001,5,51629.50390625,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_11.001,5,55484.76953125,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_2.001,5,44539.14453125,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_3.001,2,12951.6025390625,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_4.001,2,30242.833984375,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_5.001,4,117186.9296875,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_6.001,4,105345.828125,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_7.001,4,110000.2265625,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_8.001,1,17830.892578125,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_concentric_gray3_Fe_9.001,1,18703.001953125,map_pixel,2x2_10um_concentric_gray_3_001.h5,1
FeXANES_GT5_Fe_Flaky1_1.001,1,46985.1015625,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_Fe_Flaky1_10.001,1,46924.359375,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_Fe_Flaky1_2.001,1,39008.6484375,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_Fe_Flaky1_3.001,4,56514.671875,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_Fe_Flaky1_4.001,1,52744.37890625,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_Fe_Flaky1_5.001,1,46013.0078125,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_Fe_Flaky1_6.001,1,40624.28515625,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_Fe_Flaky1_7.001,1,40302.40625,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_Fe_Flaky1_8.001,1,21319.361328125,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_Fe_Flaky1_9.001,1,21519.36328125,map_pixel,2x2_10um_flaky_1_001.h5,1
FeXANES_GT5_flaky2_FeXRD_1.001,2,13850.810546875,map_pixel,2x2_10um_flaky_2_001.h5,1
FeXANES_GT5_flaky2_FeXRD_10.001,1,12758.2451171875,map_pixel,2x2_10um_flaky_2_001.h5,1
FeXANES_GT5_flaky2_FeXRD_11.001,2,11638.5029296875,map_pixel,2x2_10um_flaky_2_001.h5,1
FeXANES_GT5_flaky2_FeXRD_12.001,2,30019.185546875,map_pixel,2x2_10um_flaky_2_001.h5,1
FeXANES_GT5_flaky2_FeXRD_13.001,2,31766.884765625,map_pixel,2x2_10um_flaky_2_001.h5,1
FeXANES_GT5_flaky2_FeXRD_14.001,2,28767.982421875,map_pixel,2x2_10um_flaky_2_001.h5,1
FeXANES_GT5_flaky2_FeXRD_15.001,2,21351.9375,map_pixel,2x2_10um_flaky_2_001.h5,1
